,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,107719.9937888889,183326.6925333333,77.38144028467745,76.3290553764681,60.39741481057248,38.74308751824093,33.736855464009636,1,0.10902728661983196
1,107755.86151818182,183331.1214,35.82169309989182,37.93776705281117,26.329889822898604,23.214225848050045,16.80030391024491,2,0.10902728661983196
2,107797.93544545454,183278.9048727273,73.2721221465358,97.89061404598641,79.94610413050283,89.74849509831338,87.88706708832096,3,0.10902728661983196
3,107764.40281538464,183318.4132153846,32.23360092343762,14.423440742339242,13.69539469492374,13.33644884282443,32.98267578010945,4,0.10902728661983196
4,107723.42537142856,183309.4027142857,86.96395567140183,76.41912173821423,80.5931550667022,51.44951725725561,50.91750188864431,5,0.10902728661983196
5,107742.897625,183330.1258375,49.531769916217925,44.33114891995811,45.00533614110707,44.32796546878207,33.6068331910943,6,0.10902728661983196
6,107806.755275,183274.783715,95.95534382351224,73.0517847601344,82.58101013522239,91.01679785976971,93.85164933450758,7,0.10902728661983196
7,107758.59206,183312.54344,23.83222837148848,22.960109548115078,31.771525680370786,46.00790776741959,25.544629931722763,8,0.10902728661983196
8,107776.02779,183310.31861,75.48929321699057,72.2811108544865,77.85869218754962,73.7471429705294,90.5200176170117,9,0.10902728661983196
9,107726.3215,183318.8376333333,93.16896096118636,61.43677808097663,70.91367297336993,61.48120276091131,64.99921613410974,10,0.10902728661983196
10,107766.74172,183327.35406,24.85734311832156,20.716952655490488,23.82456205625155,28.232979291194066,30.432814610612652,11,0.10902728661983196
11,107777.31210000002,183299.6196181818,55.572743673651274,65.4634669867371,81.59888756615742,92.72981287162969,90.82082293268846,12,0.10902728661983196
12,107751.80372307693,183298.45846153845,90.28207830936664,81.33459541377717,62.85436325017407,49.437439642763,54.18269629702797,13,0.10902728661983196
13,107732.68432857144,183327.4764857143,76.29058858761816,66.13729211734488,68.13787097365562,66.66103629507089,67.29225727749906,14,0.10902728661983196
14,107776.3765111111,183291.22352222225,79.52489084214088,75.42633650001787,95.09638131963258,59.82926863847925,70.70698707150501,15,0.10902728661983196
