,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107763.8972,183306.3371,35.47616839762743,35.15608999749297,50.130040570114964,67.9153931274948,80.17264783477201,11.0
1,107764.0323,183306.1285,37.1663477603888,36.36769407245349,51.77920254098102,70.22928465411323,83.05523565670987,12.0
2,107764.3457,183305.6431,40.973195640396185,40.15778687001369,56.46484718553205,76.00379936168896,89.8067051062219,13.0
3,107764.6566,183305.1606,43.549317350238226,45.06267014015627,62.33691176203653,81.56948870325753,94.30530768156213,14.0
4,107764.9495,183304.7066,50.778276534202654,52.73244449012585,69.23318808472874,86.44045064688912,97.11661532628004,15.0
5,107765.2262,183304.2798,65.40888285740361,59.510006899718704,70.50474894227716,84.77993477267118,95.01388332392573,16.0
6,107765.5199,183303.8306,73.59505766052554,64.78539958143269,74.75446494815364,89.05676052343838,99.87474180257396,17.0
7,107765.665,183303.6102,75.09799456118473,67.7468774469919,78.7129620741736,93.23310316380636,103.7297439696448,18.0
8,107765.9775,183303.1391,78.96896556004118,76.15300589255233,89.06206314948855,102.40578914882303,110.29053702810968,19.0
9,107766.2798,183302.6873,88.82998443928406,83.44963492455598,95.44240174400443,106.8249819392671,112.31248912276608,20.0
10,107766.5826,183302.2372,96.8311912061792,87.40476912854912,96.4050771809731,105.62405815534497,110.09192329008107,21.0
11,107766.9205,183301.737,101.79538584476539,90.96172257121957,98.98789717586294,107.46585025587511,111.60640262762523,22.0
12,107767.0703,183301.5159,102.60653442401608,91.99065768017118,100.37078108849364,109.11718807754622,113.30681133742634,23.0
13,107767.4281,183300.9884,106.71913392334157,94.79215075145977,101.79156465253068,109.3136808009973,112.92153178161595,24.0
14,107767.7068,183300.5785,108.27383129375852,94.12999983127999,100.92312608747874,110.12104297817707,115.97369282020246,25.0
15,107768.029,183300.1056,106.16093949814916,93.7701671353915,102.73406670092204,114.21091530182753,121.59939354194323,26.0
16,107768.3297,183299.665,102.56485696438637,93.59568991828685,105.079312802557,118.24871435157633,126.40455199578629,27.0
17,107768.5048,183299.4087,101.83133612961855,92.7416983152377,105.0724288567562,119.55966830388886,128.86815625532716,28.0
18,107768.9068,183298.8208,95.31511734094528,88.22714283847337,104.04984044318044,122.14482436249038,133.67827503958708,29.0
19,107769.0577,183298.6003,89.76308164085387,85.7910104945005,105.2134057046004,126.67890305968479,140.33640777173213,30.0
20,107769.3743,183298.1381,83.29523808648929,84.55134816705143,108.03066231990083,131.74144135551109,145.74582906948058,31.0
21,107769.6467,183297.741,86.87187503273405,87.55009278004763,107.97001978676214,128.26982197730985,139.96587471577553,32.0
22,107769.9654,183297.2773,99.77107132531037,88.65574066622335,101.39502687875739,118.04120455286605,129.6675874988296,33.0
23,107770.2848,183296.8136,104.47875088699652,87.15607747809949,97.16123192067955,113.30739272169632,125.5571075490028,34.0
24,107770.5726,183296.3966,96.71677137499049,86.740581141897,100.374603782243,117.00146972674249,127.90597564785712,35.0
25,107770.8661,183295.9717,94.73890414077849,88.46126883543292,103.43566309470567,119.44146242184485,128.78240168015648,36.0
26,107771.0316,183295.7324,97.3750813600702,88.44635532820953,102.17572777792772,117.76603046740048,127.2639356159942,37.0
27,107771.2925,183295.355,99.42517619348313,87.53565526586928,99.80199897339038,115.25034622398296,125.32652600195715,38.0
28,107771.614,183294.8899,96.8644423568042,86.4193086501826,99.34846737091566,114.91112029982084,124.76673866537473,39.0
29,107771.9338,183294.4267,93.19199113828424,83.82057040726839,97.83096630698422,115.18942911325499,126.8882892272066,40.0
30,107772.2507,183293.9672,86.10165542332993,79.12023474304372,97.05023652339966,118.67304295325972,133.32297906799502,41.0
31,107772.5471,183293.5366,77.88668230497605,75.34952103036171,96.68862149821324,120.63079455286882,136.0778884701545,42.0
32,107772.8104,183293.1531,73.61546120703505,73.50582289832504,96.92344531245037,122.35525190892456,138.48061680081875,43.0
33,107773.1021,183292.7268,72.22691993946559,73.48476064824406,97.36584063987645,122.73020272528562,138.55995666040693,44.0
34,107773.4071,183292.2794,72.44462078187567,74.89415493707446,97.44220217024063,120.05655357178364,133.27537681171577,45.0
35,107773.5618,183292.0519,74.61013368366369,75.54906937362446,96.61659290118764,117.91345102479873,130.3268297126586,46.0
36,107773.984,183291.4287,84.19869059384827,75.38293669094635,90.75922102386025,110.3335765890881,124.00393500962306,47.0
37,107774.1271,183291.2168,83.35108094540155,74.30441366933422,89.41751589221877,109.240809805392,123.46327637734207,48.0
38,107774.4549,183290.7302,77.70228150059646,72.71552619358364,90.27342127704624,112.09550933052016,127.58723439654554,49.0
39,107774.8051,183290.2086,74.36836092709665,71.71993909459817,92.79861368885042,117.77042360641342,135.0442527506098,50.0
