,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,107719.99378888888,183326.6925333333,91.18340408282306,88.02510529439465,65.48684287671057,31.557115633315814,17.460317039576612,1,0.1385831053444715
1,107755.8615181818,183331.12140000003,23.876221254977747,34.57181206643017,27.042927463117937,26.121389957609626,38.283827408459814,2,0.1385831053444715
2,107797.93544545454,183278.9048727273,79.83236247122629,86.87942436434754,73.85304101543902,72.32310341238183,89.8126591175615,3,0.1385831053444715
3,107764.40281538464,183318.4132153846,11.610869078361443,24.745629738396104,17.952836435717387,21.895296655368263,14.91236785337274,4,0.1385831053444715
4,107723.42537142856,183309.4027142857,92.85219380119307,91.49183466898839,82.70261342696597,70.45574232047454,50.543175917079076,5,0.1385831053444715
5,107742.897625,183330.1258375,70.04699909283248,58.48814666306408,38.104061134283896,19.523789801773994,17.50098978263779,6,0.1385831053444715
6,107806.75527500005,183274.783715,91.11192853729908,91.85069789111705,93.23562853988922,82.46188394900037,54.127517629182854,7,0.1385831053444715
7,107758.59205999998,183312.54344,32.838928376785226,16.20127809365635,7.192618286917436,27.101141176363317,34.62021280025751,8,0.1385831053444715
8,107776.02779,183310.31861,80.17453036399802,75.66433849340952,78.67327886516968,70.38394335141545,86.32511663469253,9,0.1385831053444715
9,107726.3215,183318.8376333333,94.92843656844894,85.42714981907618,76.06917790234144,71.70317207654938,56.54306863070778,10,0.1385831053444715
10,107766.74172,183327.35406,12.349494178794792,19.12822886291955,37.92804812939817,36.73397436125152,36.98372024438996,11,0.1385831053444715
11,107777.3121,183299.6196181818,79.21045694088725,73.37689292080545,80.69008341950133,90.53537451692877,92.81101684771595,12,0.1385831053444715
12,107751.80372307693,183298.45846153845,89.68316107660304,89.60415576137314,89.96077006001597,64.61932160456405,56.27625730942648,13,0.1385831053444715
13,107732.68432857144,183327.47648571432,77.23286009290221,90.43063579658869,79.29625963414321,54.397090090240766,50.53162957678214,14,0.1385831053444715
14,107776.37651111111,183291.22352222225,72.60140422857192,76.14168110770666,91.2653455922177,91.77965615793823,83.11562788255755,15,0.1385831053444715
