,Unnamed: 0,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,0,41564.53508,204206.635,53.20472997403915,80.46221746707941,215.12863009818005,149.96815706226076,209.93423864508765,297.20769939568777,415.7663415545687,420.0552415266538,2001,-0.2613005859459816
1,1,41548.70351,204311.6093,65.49668264498693,36.2171444265681,125.14802458797207,239.56376674441728,245.46775587771128,319.6193031065092,378.69014114263695,580.9328571687629,2002,-0.2613005859459816
2,2,41589.68646,204167.8156,55.88966548464924,45.53526875895165,102.92098306708222,323.8206374640809,362.4665405306146,572.7256253627517,562.3237796748978,550.1082214884808,2003,-0.2613005859459816
3,3,41668.92012,204238.2888,31.216545023996584,49.056327631813645,103.11306941400896,167.9409555587884,282.7091440189687,432.2211430972105,548.062827926026,620.2430636762675,2004,-0.2613005859459816
4,4,41521.64592,204334.5815,62.68529369846689,92.80766985400932,191.643477289916,288.13236169944867,346.62412684738587,450.2171843124411,474.5727312472716,460.7302669588616,2005,-0.2613005859459816
5,5,41617.05436,204259.0171,35.61975606516967,65.61161199686227,186.284411053639,308.3670967937197,382.8132688000542,432.28252051344487,379.3252511286958,349.9935884205496,2006,-0.2613005859459816
6,6,41576.95294,204271.2311,33.85499065084423,61.72670827056431,146.3710539799011,190.15679315890551,360.1599289471979,257.9695304270911,412.4139868688181,553.6431702080706,2007,-0.2613005859459816
7,7,41533.54743,204357.0333,50.119862784440166,58.76393035102718,198.2552592191392,151.79227687190394,234.9263807847475,406.0533382654759,513.8964743039559,508.7288740087486,2008,-0.2613005859459816
8,8,41642.94946,204299.055,63.07037391848173,40.362127034411465,117.07981930990836,187.06353009556256,227.75278839912764,279.1486237197891,305.19787432193164,467.4732818709798,2009,-0.2613005859459816
9,9,41701.0223,204261.7069,59.12689048319048,63.98732702139629,132.6993254478475,224.73548397382064,354.7825071899633,496.42977369447465,666.009894471053,756.0472778054872,2010,-0.2613005859459816
10,10,41513.61527,204286.1329,26.672725114406948,61.15772726066636,176.52642179540663,265.5065804627844,335.8556239008942,306.7458390084976,459.8295987658497,441.2591346255085,2011,-0.2613005859459816
11,11,41619.48192,204273.3088,68.44350355681559,73.72715629361235,143.51183721856756,158.35850844589282,239.43429019902905,215.5243343240689,326.046873817634,451.7881351466779,2012,-0.2613005859459816
12,12,41684.4859,204247.3604,39.12604281305657,57.30338390897996,164.62894777451416,319.04902419891823,430.7063431285384,585.4640579565607,720.2652653927428,832.0927196465728,2013,-0.2613005859459816
13,13,41591.14582,204181.2118,52.29265139471335,47.315800304050455,80.22221861671669,166.75975146546767,323.34681327891616,498.4367371654513,634.4354460158478,651.0431671437299,2014,-0.2613005859459816
14,14,41563.2081,204364.9004,36.88526102533061,94.44455831563464,127.41997853492832,215.74874921542116,277.4674133182415,391.5985373049858,537.0511600790567,514.784759749092,2015,-0.2613005859459816
