,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,41564.53508,204206.635,209.3786926837546,2.9375451577274596,-216.85671507073397,-327.9188764607825,-215.67151771484012,205.71508667742032,840.1347174288935,1354.7354581091097,2001,0.6375509839647047
1,41548.70351,204311.6093,297.99822559635186,127.47845572513143,-75.11124406080184,-205.73813421619607,-179.77811352632875,70.22295319090507,483.56072295090826,827.1944999942555,2002,0.6375509839647047
2,41589.68646,204167.8156,205.2108630055951,7.763189921334172,-186.47351544402082,-268.41304613523243,-127.69987139241128,314.60004088641796,958.3269499181594,1475.1801837392982,2003,0.6375509839647047
3,41668.92012,204238.2888,208.03420387642936,6.713754363206133,-183.0241002090492,-260.24513063383205,-120.24737545910563,308.68029768765683,927.0143979954688,1422.052542050082,2004,0.6375509839647047
4,41521.64592,204334.5815,366.6600905761661,153.01131970079177,-68.28746571775544,-189.1672612351639,-111.48490223351851,233.54870054183272,759.614672492823,1186.497797461578,2005,0.6375509839647047
5,41617.05436,204259.0171,162.14024995421863,21.1357632117321,-115.65692394503564,-169.46629366123076,-59.06508590534457,273.84860175778067,755.2081993527036,1139.967722959287,2006,0.6375509839647047
6,41576.95294,204271.2311,188.43135871384413,-11.412821558227085,-229.2228812990702,-345.391591504454,-250.13682480159292,140.1279326290547,736.042556132498,1222.76345287345,2007,0.6375509839647047
7,41533.54743,204357.0333,335.00954177964985,135.80648273528953,-88.40378373705902,-225.21998690361139,-179.55675694872656,120.6569553163283,601.1326281043241,997.1298548610532,2008,0.6375509839647047
8,41642.94946,204299.055,222.8400592323748,31.715045989858933,-173.1853361859557,-284.7605365573275,-205.2054598710288,138.74568691534026,666.5425070528622,1097.3587700469836,2009,0.6375509839647047
9,41701.0223,204261.7069,196.31512162235154,27.991432164059606,-116.4880499212645,-158.00334174680802,-6.493304642730379,396.85712205032416,960.0947840813826,1405.4230842943532,2010,0.6375509839647047
10,41513.61527,204286.1329,359.5096088632514,165.43620816136288,-41.080257965910825,-159.57312438812488,-101.65079461480916,196.0420794392119,658.6374151212358,1035.1285917269158,2011,0.6375509839647047
11,41619.48192,204273.3088,204.45586922401702,-35.160913628296996,-226.57954923312707,-306.52011567224247,-199.05940362666212,134.4203605142358,604.7347924235793,979.6571016699426,2012,0.6375509839647047
12,41684.4859,204247.3604,231.60913504918912,23.081144718514516,-173.28933305048625,-243.08041821532393,-65.25841762757858,445.14407485526795,1174.211073152429,1754.5654016410394,2013,0.6375509839647047
13,41591.14582,204181.2118,211.67052411916626,12.816516987930745,-179.6554386218014,-261.2467428834875,-125.66769598311173,301.606801541268,922.2581760209868,1420.450152121181,2014,0.6375509839647047
14,41563.2081,204364.9004,405.48447668854226,212.1173253730855,-2.4397679988077705,-134.8748445726609,-98.77757781404335,169.6365312777056,601.3250989454888,956.3813964503844,2015,0.6375509839647047
