,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,107719.9979,183326.6793,79.94008343146874,93.67158354997689,65.78356883937913,50.03822551233466,69.72173518686782,58.42273587812418,45.39240513520956,20.38614357817131,1
1,107755.6395,183331.2104,8.814621902701639,29.39407478424043,41.70401957869577,77.05754178030224,43.856807164506336,24.733001706951967,19.303398799151775,29.769007824832812,2
2,107797.4476,183278.6469,79.31899873054812,90.59266374928954,64.16613054224308,60.480058363168986,96.27748410476431,82.35769205902176,72.24216268403258,83.34550094639137,3
3,107764.0831,183318.0822,15.265763679170767,18.407772791932576,49.36049308903331,14.116954248226191,6.954469275180829,32.372173386776645,52.16972384296086,13.466707869622718,4
4,107723.0048,183309.1898,82.20962439056389,97.3336031083701,86.78762935311394,84.16602984771198,92.52220197260995,69.05322595365286,28.62335777972319,26.11691987814387,5
5,107742.871,183330.0981,79.41669772824504,47.066437237204454,36.954678535094196,51.35920717036161,38.800213041277836,32.08538886101566,43.1856173730699,33.45795999031235,6
6,107806.7161,183274.99,85.89251669399066,82.64043506606785,75.82450699124902,67.61095096419399,71.6961670856082,44.56395741805513,83.1138916471314,93.39791303481427,7
7,107758.6659,183312.5732,45.99803634444051,25.117080444361033,56.67343997561988,18.412273417001973,36.534466002359046,22.971319174301318,16.46268211448427,28.477766009371138,8
8,107775.383,183309.8767,68.51592134924633,89.30464753471443,74.2563741257006,82.5444587505601,87.48431856789401,59.11341008563237,55.896938190950905,87.88714167252131,9
9,107726.3815,183318.7508,77.40647829762311,94.12676579165961,63.07820661377994,48.291778819105815,77.46292005516354,84.36751019972203,89.08049687430317,36.377526039578484,10
10,107766.4694,183327.2822,35.23148037782671,2.7655512521997228,16.58349603091193,30.91111026334228,14.119924741558453,42.55089739012041,61.108593285705545,49.43698678071545,11
11,107777.0025,183299.3846,81.92124468068302,92.63098055206297,91.14540336118041,58.363744583625675,86.36648805276619,81.50771679900663,56.95370456190277,86.3660215335938,12
12,107752.314,183298.7686,86.50802522374907,76.71313814638575,91.6177378153801,86.35095438351192,73.05628535285472,86.75585270968236,21.471087671082522,70.44264421626791,13
13,107732.7209,183327.4299,91.67925617009212,99.74680588648923,69.27503983277103,63.05410358871933,46.19247279284777,63.15574224861967,82.03049011318863,80.01514009005935,14
14,107776.5235,183291.4178,64.85950961980984,71.29210080271844,71.28917775181445,30.33612461201317,70.45512078009396,89.77035967192683,72.83145568684013,92.44421157685906,15
