Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41565.59265666668,204206.96052222225,41.31965692437651,127.61696424291031,246.76447757924151,355.7929585402506,364.3621385140013,2001
1,41549.1776,204310.533875,59.98944748925632,130.2430613990356,269.9278521851918,291.44954518090856,421.39257102340696,2002
2,41589.569225,204168.115775,22.763488696828333,135.65336220469487,279.60416612970016,390.6678004106682,510.0395626077345,2003
3,41668.75582,204238.61746666665,48.02364110842646,154.50350996930885,317.2827168738166,426.0531360999896,508.4704941051464,2004
4,41521.489305,204334.882175,37.03532505005593,157.12682897591824,300.21662455275333,424.8131089552624,534.67689594458,2005
5,41617.044348,204259.03512,51.98944952427088,114.47381384654868,268.0467907914331,369.840734102536,391.0996562984644,2006
6,41576.955798,204271.22694,67.44468646853281,114.4204700533511,139.42676602795206,286.37505706532323,396.3262008984264,2007
7,41532.757848,204357.01175,67.58745660677728,127.4556321277516,222.3991066260117,384.7556143938016,420.99841869009646,2008
8,41642.451125,204298.9764,34.97944121869324,153.43665904534362,223.47717789301527,231.99047126926868,321.2889534366288,2009
9,41701.9493775,204262.2071625,56.73556725490613,226.7233681832805,311.18540701060084,492.2356431292765,605.6269917127514,2010
10,41513.514865000005,204286.3595,57.511541906280826,266.01534408455,289.7093471502442,311.5943214227264,360.22808117583486,2011
11,41619.62907333334,204273.00583333336,67.95472161299512,120.99401843880536,277.8416335856814,253.75205188005816,318.40690467399924,2012
12,41684.651975,204247.00405,44.493025677894096,212.79522061812523,401.605151562719,562.8007122250657,737.3263245739083,2013
13,41591.159478,204181.23082,71.60933989303469,122.32349307525672,240.58915098677295,405.8358367928791,474.8941883911966,2014
14,41562.70514875,204364.9238625,47.63396246321936,199.80721056502497,292.91185950773985,353.64175848324845,410.4536480281069,2015
