,Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,0,107719.99378888888,183326.6925333333,73.14863186823698,66.29164891230364,111.5292714236451,105.76316068396817,61.04201206620161,1,-0.2899406213522451
1,1,107755.8615181818,183331.12140000003,29.418338203549432,70.87450895757807,141.8632879300603,136.90288396752746,61.60287652000476,2,-0.2899406213522451
2,2,107797.93544545454,183278.9048727273,68.64748905645394,134.47406128512912,182.15420183396617,164.05916131069986,99.78518633507213,3,-0.2899406213522451
3,3,107764.40281538464,183318.4132153846,22.71885641810089,62.3703371357676,78.1294293590555,100.40824053325106,61.48873120330356,4,-0.2899406213522451
4,4,107723.42537142856,183309.4027142857,85.3411349039943,91.72101765143782,83.20750512868266,110.68753840170336,62.26545287861418,5,-0.2899406213522451
5,5,107742.897625,183330.1258375,47.44089680929256,68.32831754017197,124.78932908826243,100.67777414069784,80.54426186194269,6,-0.2899406213522451
6,6,107806.75527500005,183274.783715,63.63303704818709,111.84263417394963,154.19734353434558,179.18022412008708,107.78105323233392,7,-0.2899406213522451
7,7,107758.59205999998,183312.54344,33.785035698377186,53.79334225038765,101.28055088680742,105.33225589935512,60.70578573047892,8,-0.2899406213522451
8,8,107776.02779,183310.31861,43.6367113254676,57.56492842578725,93.68099149289137,128.56509794123346,68.74021474528148,9,-0.2899406213522451
9,9,107726.3215,183318.8376333333,74.34432858273419,127.92070494993204,82.29579937268734,109.90368103786368,94.73785280558587,10,-0.2899406213522451
10,10,107766.74172,183327.35406,46.008214144517815,56.09802573957532,101.29321517121348,114.2865643607772,81.60947208394862,11,-0.2899406213522451
11,11,107777.3121,183299.6196181818,63.46930149433975,32.54331028171545,102.37931171861275,96.21699935824252,114.88365818510388,12,-0.2899406213522451
12,12,107751.80372307693,183298.45846153845,67.37017335013414,61.418177506754425,122.22390994791353,118.64630727759004,72.30578997692974,13,-0.2899406213522451
13,13,107732.68432857144,183327.47648571432,47.19363736468212,59.62462640984486,110.14148501706224,113.65691872636276,59.283301801787225,14,-0.2899406213522451
14,14,107776.37651111111,183291.22352222225,72.74035644813651,91.85041703740896,110.30185984975031,130.14684805615877,101.08829514462144,15,-0.2899406213522451
