,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,107719.9979,183326.6793,105.23733705337897,83.35835103692467,57.29836463496356,33.90781343228124,19.890103534318467,1,0.9583952527656157
1,107755.6395,183331.2104,32.81141108160977,31.11470201634316,29.973448883110404,29.170300619758585,28.51290373162935,2,0.9583952527656157
2,107797.4476,183278.6469,141.49153883206944,142.58968046782556,143.52624419336183,143.3682054761799,142.1050261957202,3,0.9583952527656157
3,107764.0831,183318.0822,16.96309337721229,16.42404383998544,17.788005430261876,20.21855328062941,22.2372198810314,4,0.9583952527656157
4,107723.0048,183309.1898,124.50362738730618,99.0420620368334,67.99061948018146,39.59299271687221,22.246200646812614,5,0.9583952527656157
5,107742.871,183330.0981,59.154986272178895,50.68901421890499,40.842781733251876,31.81093327163702,26.002063672455137,6,0.9583952527656157
6,107806.7161,183274.99,112.64103125101767,121.75611550201812,133.3020110217613,143.17020879527186,148.02880951574855,7,0.9583952527656157
7,107758.6659,183312.5732,34.015971597158185,30.54310520683936,27.829236452010647,26.001163087742164,24.964176035397912,8,0.9583952527656157
8,107775.383,183309.8767,82.15294569083348,82.72025141592165,83.45612445159882,83.54231374111563,82.77271392417612,9,0.9583952527656157
9,107726.3815,183318.7508,147.08340370597824,120.13000423548537,86.1850946276707,54.07796702752122,33.58983487364037,10,0.9583952527656157
10,107766.4694,183327.2822,23.210340869123957,24.70861989364048,28.030357446201716,31.84170144284204,34.42678099028504,11,0.9583952527656157
11,107777.0025,183299.3846,73.87842919436045,80.60586008745997,88.92229498622551,95.87654120358191,99.17809875104368,12,0.9583952527656157
12,107752.314,183298.7686,114.91001469173746,98.64401836262414,78.45073589753414,59.333132953902656,46.95977804100203,13,0.9583952527656157
13,107732.7209,183327.4299,92.08128239554271,83.867663603618,73.77791488356004,63.87243905366905,56.93744321097771,14,0.9583952527656157
14,107776.5235,183291.4178,103.76299757544314,103.55219006142171,103.45697373646681,103.02842365543377,102.21557508444141,15,0.9583952527656157
