,Unnamed: 0,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,0,107719.9979,183326.6793,35.78549484809386,57.53244560001449,56.19388948661975,128.23070311178105,92.06330548501091,113.0284502661805,122.7916603652526,67.57687589379766,1,-0.3573537464756857
1,1,107755.6395,183331.2104,39.92288498432456,38.475799180002646,63.722891337214485,65.72919418415032,120.92363294104187,119.60757485162894,95.81183356676031,75.80135580648498,2,-0.3573537464756857
2,2,107797.4476,183278.6469,32.646967817653604,76.46678999376425,123.212635449621,179.5965275216436,192.1202572700853,201.17265230007592,146.85993231646484,86.14371065321126,3,-0.3573537464756857
3,3,107764.0831,183318.0822,16.757706104851152,33.7002780606156,65.70324883545742,119.73295955622632,116.91861613013724,93.73458210669104,106.3472892680218,83.35212432908297,4,-0.3573537464756857
4,4,107723.0048,183309.1898,32.476912482018854,54.352815979191405,96.06107368313668,115.89433836039572,109.07565535945388,150.04212087557858,118.24771407849596,70.76720881988602,5,-0.3573537464756857
5,5,107742.871,183330.0981,38.915013320062,52.065138595576784,54.2699170851332,74.72564966758125,118.73658323853957,78.490560763241,131.4184461288284,73.18248634406427,6,-0.3573537464756857
6,6,107806.7161,183274.99,29.822130457325876,85.94457475460779,137.65555493770103,184.7792703233942,203.25824456212237,168.6933650275249,126.71309802786332,100.03600766728712,7,-0.3573537464756857
7,7,107758.6659,183312.5732,35.84615934757494,26.204408253436814,61.20916583350037,136.49620185472284,114.37910248378591,94.95593897241292,111.4469504518206,62.93723971267092,8,-0.3573537464756857
8,8,107775.383,183309.8767,34.437530474750794,51.533638415532494,84.26726445887158,111.91050196978708,124.76903955388512,112.24554341213678,116.98752746220772,83.83406082561842,9,-0.3573537464756857
9,9,107726.3815,183318.7508,24.030093888491454,68.92321938945021,95.36488044963576,125.40747992347036,132.5299613478222,126.17166860074067,99.65019655762576,90.86554814303926,10,-0.3573537464756857
10,10,107766.4694,183327.2822,24.22426327179066,37.50921522432759,48.34513174479654,66.8004439245412,133.27801670196746,82.69331731714183,126.89031827149428,67.27528549453663,11,-0.3573537464756857
11,11,107777.0025,183299.3846,49.94556631563794,56.09587437013405,73.35948246512636,92.86841597625136,114.67416979517805,119.87513603683138,108.77776750598623,85.77630329387432,12,-0.3573537464756857
12,12,107752.314,183298.7686,11.21451449473222,80.2083544237846,94.25300358647992,142.6172721560203,116.42562763166713,123.42028707586844,109.96610714934305,73.43912476186688,13,-0.3573537464756857
13,13,107732.7209,183327.4299,54.08880904567773,87.58594024373637,63.67323512312129,87.96868659137871,116.13599343386208,98.11443976248648,93.75744921865105,71.65112329115128,14,-0.3573537464756857
14,14,107776.5235,183291.4178,56.09362527240987,76.21942190055438,101.0580607266701,127.45391045817364,142.91275986055848,130.2343234659432,113.30636496734088,70.51479108136857,15,-0.3573537464756857
