,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9979,183326.6793,32.298787736755486,72.22197049638113,122.14657603201417,101.0989102882456,72.95105792853916,1
1,107755.6395,183331.2104,35.47003637525329,41.22643816559764,112.49151806124601,116.05955319481276,90.05535336413732,2
2,107797.4476,183278.6469,77.88143260575367,149.74485497950903,164.79376789803376,140.55829205321908,115.76049730899467,3
3,107764.0831,183318.0822,24.28224124500309,55.142972880897915,105.3560562207023,130.7121667085481,65.84307888288805,4
4,107723.0048,183309.1898,69.83277099171909,70.7356439252562,131.89695133697305,133.92570894243167,88.45961155921937,5
5,107742.871,183330.0981,29.211666817903016,59.72139849237682,141.570886619116,100.03107215229541,85.21705026318625,6
6,107806.7161,183274.99,74.78408533490322,116.6252372789245,140.48312939515586,145.30214259557135,113.17175168992354,7
7,107758.6659,183312.5732,30.821209324658312,49.13749625432201,96.08094273282724,115.50712583873398,67.78935242549073,8
8,107775.383,183309.8767,58.07562683285359,67.33859387038628,107.40977961857558,126.94231032420667,83.62337811148647,9
9,107726.3815,183318.7508,78.4957327327345,125.49710762412423,112.78439023440374,118.12992306465388,77.5805070690504,10
10,107766.4694,183327.2822,23.281900795663613,56.432186308583624,93.27097452614595,113.2016341389225,67.99550026135648,11
11,107777.0025,183299.3846,55.0127152692646,68.16959219307138,93.2613296575533,105.69677249853027,85.63143737650427,12
12,107752.314,183298.7686,68.09992639977295,82.9127129371481,88.1126225937211,112.6696175557986,88.81296254708744,13
13,107732.7209,183327.4299,37.425338183465854,44.32135735076264,85.43021266188046,110.81661349542954,104.88790860853321,14
14,107776.5235,183291.4178,69.55171123392891,87.47657828450839,104.78124420886493,113.65182096685355,105.91678031112626,15
