,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,41564.53508,204206.635,46.77704097758326,38.058288821838374,129.63294666751315,320.63630134102357,493.4327896210059,2001,0.9875815366030993
1,41548.70351,204311.6093,175.7602813305186,76.80382278011761,63.38481444171404,173.6058241920047,318.65636205721535,2002,0.9875815366030993
2,41589.68646,204167.8156,52.20557307257512,95.33143881438681,219.81441412212203,388.81753247825975,506.7014323592547,2003,0.9875815366030993
3,41668.92012,204238.2888,55.5897331141024,89.21636497020887,212.65980384407166,380.0792967367627,492.2209894296521,2004,0.9875815366030993
4,41521.64592,204334.5815,228.77681553552628,146.53505832385272,171.38180898777796,298.5367217209537,425.89508039699956,2005,0.9875815366030993
5,41617.05436,204259.0171,55.96631322681067,101.18990573418054,200.81334611426072,324.9474857260393,406.88218374558267,2006,0.9875815366030993
6,41576.95294,204271.2311,20.280608014717814,4.436067116574844,89.98023028531922,279.60493877010435,455.03511643628445,2007,0.9875815366030993
7,41533.54743,204357.0333,195.85329019345025,93.3319397013316,93.78455158754369,222.01335505346526,374.78281854300184,2008,0.9875815366030993
8,41642.94946,204299.055,74.80795548917627,31.588352042327816,88.92775777339321,253.58237969427336,414.82790936773176,2009,0.9875815366030993
9,41701.0223,204261.7069,77.64129212020866,152.58109658664014,287.61453813793105,414.90022373647173,467.56809900285117,2010,0.9875815366030993
10,41513.61527,204286.1329,240.59097335350808,142.72871652054815,143.91059948463544,255.26771629014485,382.51579034809134,2011,0.9875815366030993
11,41619.48192,204273.3088,40.1598491724129,-51.70462329482061,28.87467112455723,232.101918886927,398.691066106679,2012,0.9875815366030993
12,41684.4859,204247.3604,84.57977518467922,159.70820132764746,305.2303067414217,469.43938508140485,566.3831555863841,2013,0.9875815366030993
13,41591.14582,204181.2118,58.94579028983574,91.99821548007591,211.37177659048936,376.9356660777784,491.46293438125434,2014,0.9875815366030993
14,41563.2081,204364.9004,287.17637900208683,165.56079355582264,140.4710353823418,231.9926944793935,352.32261530706984,2015,0.9875815366030993
