,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,50.178636722786436,72.45165518688613,121.1018367745889,120.98921618504022,79.17376665397735,1
1,107755.86151818182,183331.1214,32.2303301891452,79.9260445716998,106.33381395798146,131.46853336801576,63.8030785889909,2
2,107797.93544545454,183278.9048727273,82.84482832092317,178.32536805522386,213.00511098759387,197.27246038496278,106.43393392298424,3
3,107764.40281538464,183318.4132153846,38.33647446997426,48.757106453863464,133.9527530096246,123.08027331408863,88.91016018263088,4
4,107723.42537142856,183309.4027142857,92.71376509170469,66.97733276079984,115.00363191503178,110.54834883675647,66.97020402588652,5
5,107742.897625,183330.1258375,40.25025861740328,78.24665888974455,109.38985873844429,100.86947708795319,66.08077749052667,6
6,107806.755275,183274.783715,87.54283853234024,156.29940149910195,179.7391996166172,169.1397820851,103.46057872627551,7
7,107758.59206,183312.54344,52.23291974560723,86.5556922063002,102.36423200286764,110.13666460052691,69.64812282677303,8
8,107776.02779,183310.31861,39.02984577181343,84.4658014176992,126.86537569471501,104.00351748735434,92.52193275672454,9
9,107726.3215,183318.8376333333,95.39831735088251,111.64517677668046,124.60936023136941,111.4424040815882,68.36839244252398,10
10,107766.74172,183327.35406,34.750225330821365,68.1923880329914,104.69821422931382,134.7368720413384,72.96249110394018,11
11,107777.31210000002,183299.6196181818,70.27087466394363,76.020364993501,119.29989712524585,117.33418913206991,72.4441292152003,12
12,107751.80372307693,183298.45846153845,98.89681125787428,83.5903211410808,75.95351085406952,106.96820524297418,92.99336868749316,13
13,107732.68432857144,183327.4764857143,42.28307403363163,92.85011219627867,107.53485929055643,135.03276529049458,65.58302004140415,14
14,107776.3765111111,183291.22352222225,75.89474905600844,99.71371325059116,138.5817597490951,140.34935813866616,102.42052205321144,15
