,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,107719.9937888889,183326.6925333333,22.588616054630133,54.26417581685035,165.8683470554868,136.5262301544313,102.52098512240553,95.57948558291136,93.12007965061841,69.3232944362613,1
1,107755.86151818182,183331.1214,36.22832379603437,26.177723992842942,48.0832687075612,95.09298756048116,121.87345654499671,116.55972227643018,91.51431507555579,67.55256168476949,2
2,107797.93544545454,183278.9048727273,45.56160718097656,97.35654644778666,149.96334857337428,181.72103649293297,198.98649906651855,201.82428093748985,148.2216272056489,80.88164658231004,3
3,107764.40281538464,183318.4132153846,30.328321867704254,34.636128465076496,58.64970935424914,90.95901035808566,90.17461162547697,167.45129382826872,107.17322509570627,59.141337206434336,4
4,107723.42537142856,183309.4027142857,64.01204387708039,84.97934808719836,115.92483670857096,137.27212998930702,113.94579587293268,111.39917176680447,107.78531448989096,63.66613173594801,5
5,107742.897625,183330.1258375,31.304361654301896,42.06646422585051,95.57406134002399,123.2026454123741,200.35256056522053,108.83369111428367,100.5058853343258,71.74328895976545,6
6,107806.755275,183274.783715,55.964274321270395,73.75446200405284,143.2280316892544,189.7733364951137,191.51902736388493,183.4680485669111,146.9945850242393,76.2521411257362,7
7,107758.59206,183312.54344,41.031643522450715,38.95379167027269,101.36472207221841,83.53005005956639,99.26757119881907,81.93164357391701,94.94012843830775,85.45764575903394,8
8,107776.02779,183310.31861,52.9782141971519,35.83113198065991,35.78149391584862,79.82681224352284,131.98512698346437,116.90665388985727,113.9911943057842,76.62878366584374,9
9,107726.3215,183318.8376333333,80.79184528173447,71.83420827130305,51.102080268706885,88.48293196924504,113.4942517712228,99.74787933536317,93.68890009210091,83.52776441653866,10
10,107766.74172,183327.35406,28.691567372937705,33.99451566351227,77.19416263376671,74.37080061929716,143.90257491469805,128.70342927664782,112.1880695085328,75.52181536906679,11
11,107777.31210000002,183299.6196181818,59.83852280620781,50.62238635378812,63.83550913034158,92.97238549100412,120.06676572097001,101.62508738031146,100.30251936990305,92.24992857601164,12
12,107751.80372307693,183298.45846153845,76.83583179394822,59.66700822874101,86.00769454729283,113.78953728715149,140.90605868990693,92.01145673687796,92.81711025746304,61.12792713623688,13
13,107732.68432857144,183327.4764857143,53.62170710622065,57.282492472179364,90.87090134085206,109.62573052991284,147.86682693997076,97.38042244355722,120.7281446478595,80.30709051323274,14
14,107776.3765111111,183291.22352222225,74.61853005557644,85.25552658741478,99.19559627398299,86.23999852524003,114.75302561202606,121.44492668333407,111.16607051062887,87.93081215761804,15
