,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,107719.9979,183326.6793,93.47801016812274,71.93331325533856,59.198460543538374,43.5784555336662,17.16620389739524,1,0.2490472581018539
1,107755.6395,183331.2104,27.82679296909511,32.13853007292941,18.814774116834027,24.701615999145325,39.939630531470335,2,0.2490472581018539
2,107797.4476,183278.6469,84.95874945811599,81.66894947950574,93.79076004097969,85.67473216381359,86.98084920517631,3,0.2490472581018539
3,107764.0831,183318.0822,27.32366589316289,17.30862985611393,21.966662591952698,19.612062436928603,22.613169148284037,4,0.2490472581018539
4,107723.0048,183309.1898,96.26332446351716,86.2711942610375,80.31056986013179,53.77012235343582,17.990908077724338,5,0.2490472581018539
5,107742.871,183330.0981,69.02730073784853,28.825456454179434,29.650118400112575,25.424071706018474,29.38092136468074,6,0.2490472581018539
6,107806.7161,183274.99,95.69797858245853,93.69915663392378,96.01140430435358,82.86797853954486,68.44463235320181,7,0.2490472581018539
7,107758.6659,183312.5732,32.94408739870687,24.759386651325276,23.668877293883583,15.284225919693977,29.780294486781706,8,0.2490472581018539
8,107775.383,183309.8767,71.88351666278398,69.10067198385863,88.68517967766962,83.22113829885716,86.44519540406704,9,0.2490472581018539
9,107726.3815,183318.7508,92.18686592691078,80.24675539228134,80.74568904497066,92.15120667300863,22.41769125624897,10,0.2490472581018539
10,107766.4694,183327.2822,26.226908410524086,17.351317254511766,16.044196037736125,46.67034098186089,29.60166455001506,11,0.2490472581018539
11,107777.0025,183299.3846,73.37663350249314,60.67400169763903,77.83344664731555,67.36154681109534,86.91758273877593,12,0.2490472581018539
12,107752.314,183298.7686,97.00088406354973,82.02234081739589,82.5277406585414,77.67898248252503,50.94330361612526,13,0.2490472581018539
13,107732.7209,183327.4299,84.66435140903732,49.064910626683364,76.08674713276953,78.81282370774767,69.21566256295218,14,0.2490472581018539
14,107776.5235,183291.4178,87.90054477160623,85.28763771812994,57.10653100571673,75.83803870855066,81.09214753967721,15,0.2490472581018539
