x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,x_clhs,y_clhs,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
41564.53508,204206.635,0.55,46700.42,150.2467739302127,73.28999041667032,222.26996161547763,112.6653163055169,354.5809394439011,186.68217188488185,2.04,0.13,7.76,0.63,37.08,4.53,1,41565.381,204207.342,0,0,10,2.516,7.84,20.725,22.106,65.499,12.396,0.0,12.58,1.281,0.26224,13,32.7,10.7,10.3,41564.53508,204206.635,0.55,46700.42,150.2467739302127,73.28999041667032,222.26996161547763,112.6653163055169,354.5809394439011,186.68217188488185,2.04,0.13,7.76,0.63,37.08,4.53,1,41565.381,204207.342,0,0,10,2.516,7.84,20.725,22.106,65.499,12.396,0.0,12.58,1.281,0.26224,13,32.7,10.7,10.3,0.016246876858885706,0.00368,0.013997448479539093,40.49149884286161,0.1939925595090831,0.166944266297576,60.01680959082022,0.5400327355538295,45.59341538049867,145.15056969568306,295.32896738498795,459.7400432865893,0.5400327355538295,0.3618497519534735,0.050424
41548.70351,204311.6093,0.849275,48080.26,134.66882008769176,112.80207020241151,148.8211936184172,107.63936654933548,219.2113643787326,120.50138458709078,1.86,0.07,5.91,0.16,28.12,4.28,2,41549.211,204310.992,0,0,10,1.162,8.32,20.482,25.616,59.907,14.477,2.1,8.27,1.403,0.41344,20,31.1,28.1,35.1,41548.70351,204311.6093,0.849275,48080.26,134.66882008769176,112.80207020241151,148.8211936184172,107.63936654933548,219.2113643787326,120.50138458709078,1.86,0.07,5.91,0.16,28.12,4.28,2,41549.211,204310.992,0,0,10,1.162,8.32,20.482,25.616,59.907,14.477,2.1,8.27,1.403,0.41344,20,31.1,28.1,35.1,0.04650911557076831,0.0226,0.04125521851712108,263.9593051668345,0.15438710562910643,0.13694804579843334,49.233106178494985,75.41015257637912,87.02221290612064,124.28013569000856,192.3717583854255,278.3452885685029,75.41015257637912,63.502843633883074,0.087446
41589.68646,204167.8156,0.55,46944.42,190.342979244559,94.6235888115037,275.7321587443016,158.6607554348161,396.56307496705097,249.7573466584595,2.16,0.1,8.15,0.93,39.79,7.78,3,41588.221,204167.503,0,0,10,2.714,8.32,23.113,24.67,66.901,8.43,4.0,18.31,1.386,0.30754,22,28.3,8.7,6.4,41589.68646,204167.8156,0.55,46944.42,190.342979244559,94.6235888115037,275.7321587443016,158.6607554348161,396.56307496705097,249.7573466584595,2.16,0.1,8.15,0.93,39.79,7.78,3,41588.221,204167.503,0,0,10,2.714,8.32,23.113,24.67,66.901,8.43,4.0,18.31,1.386,0.30754,22,28.3,8.7,6.4,0.011783451552174664,0.00186,0.011023040292947971,24.115068624696114,0.200569388122122,0.18779696156259987,67.51339673892588,8.759716520201238,71.62129251340957,188.9687344143053,347.83725187601675,505.5510705489041,8.759716520201238,7.4369695450365265,0.059971
41668.92012,204238.2888,0.45,53527.92,180.94068970967896,93.7583155312787,268.6758117995202,156.63741128768822,382.5696388923382,249.04452484645225,2.21,0.21,8.25,0.79,38.92,7.47,4,41668.451,204238.44,0,0,10,1.622,8.17,24.345,27.206,66.315,6.478,1.7,10.14,1.279,0.32295,24,31.6,16.7,18.5,41668.92012,204238.2888,0.45,53527.92,180.94068970967896,93.7583155312787,268.6758117995202,156.63741128768822,382.5696388923382,249.04452484645225,2.21,0.21,8.25,0.79,38.92,7.47,4,41668.451,204238.44,0,0,10,1.622,8.17,24.345,27.206,66.315,6.478,1.7,10.14,1.279,0.32295,24,31.6,16.7,18.5,0.02663667595400924,0.00991,0.023411137429174618,113.6068525813899,0.16779008474966453,0.14742830774763838,53.00078206109276,11.115130626462424,72.28646368420092,186.5294545315868,339.629580064415,488.75147921813567,11.115130626462424,8.938475208610601,0.073566
41521.64592,204334.5815,0.85,47262.62,207.47376114998687,167.4258341958287,251.6954278587899,187.8579753824137,323.9243832882793,233.9511096595295,1.96,0.13,6.65,0.66,32.71,8.17,5,41520.385,204334.195,0,0,50,2.584,8.74,22.371,26.333,68.302,5.365,3.9,17.62,1.528,0.33342,2,25.0,27.804,38.97,41521.64592,204334.5815,0.85,47262.62,207.47376114998687,167.4258341958287,251.6954278587899,187.8579753824137,323.9243832882793,233.9511096595295,1.96,0.13,6.65,0.66,32.71,8.17,5,41520.385,204334.195,0,0,10,1.686,8.18,20.992,26.516,58.833,14.65,2.4,11.35,1.413,0.41837,7,26.2,17.6,20.7,0.028610810964985647,0.01114,0.027902971650821014,156.19643678284004,0.1682988880293273,0.1642719917455984,59.05612135325862,91.51440941514372,122.93561997656649,191.983412710398,293.9365757187907,401.6268393077988,91.51440941514372,84.97437989127111,0.085313
41617.05436,204259.0171,0.6149792,51612.3,170.21111737912238,86.26068686105619,242.00733382854585,142.28749823296468,318.58666313128845,211.76561121429677,2.08,0.13,7.49,0.54,33.88,4.6,6,41615.875,204258.051,0,0,10,2.89,8.29,22.163,23.213,64.251,12.535,1.5,16.25,1.436,0.35694,5,28.3,11.3,6.4,41617.05436,204259.0171,0.6149792,51612.3,170.21111737912238,86.26068686105619,242.00733382854585,142.28749823296468,318.58666313128845,211.76561121429677,2.08,0.13,7.49,0.54,33.88,4.6,6,41615.875,204258.051,0,0,10,2.89,8.29,22.163,23.213,64.251,12.535,1.5,16.25,1.436,0.35694,5,28.3,11.3,6.4,0.013320385904920006,0.00239,0.012460792994091058,30.986566673668662,0.14597683183473978,0.13668090496644975,49.137068495963774,23.106534504742434,80.74710068145775,176.59033063685877,296.9428979782589,408.9019767145678,23.106534504742434,20.121913825627132,0.060897
41576.95294,204271.2311,1.15,48437.26,117.49145270743844,49.67402076134101,177.55804638483605,80.35850933755005,314.1385172337525,151.46342114450795,2.05,0.14,7.4,0.55,33.61,3.4,7,41578.212,204271.787,0,0,10,1.758,8.19,21.157,25.013,59.196,15.791,1.1,10.11,1.306,0.27939,4,31.1,13.3,13.1,41576.95294,204271.2311,1.15,48437.26,117.49145270743844,49.67402076134101,177.55804638483605,80.35850933755005,314.1385172337525,151.46342114450795,2.05,0.14,7.4,0.55,33.61,3.4,7,41578.212,204271.787,0,0,10,1.758,8.19,21.157,25.013,59.196,15.791,1.1,10.11,1.306,0.27939,4,31.1,13.3,13.1,0.020367205053177455,0.00603,0.018066426005743284,70.42808009539877,0.1752017638983007,0.15541154870764876,55.87077372502052,-7.570501880626033,28.847207160413816,116.91818931734382,255.93508314224889,412.7441336843112,-7.570501880626033,0.0,0.056264
41533.54743,204357.0333,0.65,48325.06,159.5292908939999,132.43983735855522,184.8605696721739,134.41695924440484,265.0920442227326,161.88359994921444,1.9,0.03,6.17,0.24,29.45,4.1,8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,61.627,13.808,6.7,19.12,1.585,0.39937,12,25.0,35.786,55.569,41533.54743,204357.0333,0.65,48325.06,159.5292908939999,132.43983735855522,184.8605696721739,134.41695924440484,265.0920442227326,161.88359994921444,1.9,0.03,6.17,0.24,29.45,4.1,8,41533.32,204357.264,0,0,10,2.594,8.21,22.041,25.989,58.685,15.325,2.0,15.4,1.435,0.44652,15,25.4,17.1,18.5,0.02706194969602102,0.01018,0.026825355224202017,147.05847737055964,0.16526381493753292,0.1639286338672111,58.93268348464714,78.63828706438541,95.42364479879096,145.2832588997646,231.1590869762284,333.8363886297959,78.63828706438541,74.04692040878794,0.088678
41642.94946,204299.055,0.65,53586.61,125.8716210391403,73.8663049228253,179.05216170431407,99.20351947005962,287.52646019715854,151.2930156772506,2.04,0.11,6.84,0.18,31.61,2.0,9,41642.385,204297.786,0,0,10,3.398,8.34,22.787,21.302,65.61,13.088,2.2,16.99,1.366,0.36434,16,28.6,20.2,20.3,41642.94946,204299.055,0.65,53586.61,125.8716210391403,73.8663049228253,179.05216170431407,99.20351947005962,287.52646019715854,151.2930156772506,2.04,0.11,6.84,0.18,31.61,2.0,9,41642.385,204297.786,0,0,10,3.398,8.34,22.787,21.302,65.61,13.088,2.2,16.99,1.366,0.36434,16,28.6,20.2,20.3,0.031160107299936474,0.01273,0.028979942351390557,163.20946610397243,0.15387707308610604,0.1432357440351627,51.49354672076356,21.00544808890108,52.41214555055169,126.86974209987852,243.1612609395517,373.5336710407917,21.00544808890108,18.15425310490817,0.062406
41701.0223,204261.7069,0.05,54124.14,217.96501389066907,117.99863291002046,311.99472162322314,198.4294941125246,393.59897658713953,292.2241059294245,2.22,0.19,8.53,1.0,40.11,7.95,10,41702.154,204262.206,0,0,10,1.758,8.17,23.295,31.426,60.784,7.79,1.383,10.45,1.366,0.32171,8,27.2,12.1,13.7,41701.0223,204261.7069,0.05,54124.14,217.96501389066907,117.99863291002046,311.99472162322314,198.4294941125246,393.59897658713953,292.2241059294245,2.22,0.19,8.53,1.0,40.11,7.95,10,41702.154,204262.206,0,0,10,1.758,8.17,23.295,31.426,60.784,7.79,1.383,10.45,1.366,0.32171,8,27.2,12.1,13.7,0.019436373358178726,0.00547,0.018579664252737344,73.88866685889906,0.19196418131534546,0.18367525986293617,66.03163643900675,30.410748586017288,105.19968105621072,225.6541605550724,369.6716966227696,493.9485094190987,30.410748586017288,27.195991672384142,0.076544
