,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41565.59265666668,204206.96052222225,53.3185844005484,122.15356847619135,193.89845540499036,242.48283355390367,412.8414199377985,2001
1,41549.1776,204310.533875,86.50070870345323,106.22357466902538,102.40902666659395,245.74563197164258,174.7632222409097,2002
2,41589.569225,204168.115775,63.127895430619304,246.5013148173886,254.88378418815148,332.99339651680845,406.6254782255984,2003
3,41668.75582,204238.61746666665,32.01649890062581,188.2115688576934,307.16671382907606,354.62041050451813,394.2724934335083,2004
4,41521.489305,204334.882175,66.67902665490763,166.26841431210337,287.8156822594105,445.401926429209,342.4419671125557,2005
5,41617.044348,204259.03512,70.62565198271959,150.87072822716434,210.98788835324265,349.86672111204155,355.4298187331439,2006
6,41576.955798,204271.22694,51.74260330625265,137.87514119710985,222.07711698852646,286.50259221025067,327.3760570767865,2007
7,41532.757848,204357.01175,51.2379911991426,189.84733453818876,239.0849899615415,320.035246499342,282.46045270548836,2008
8,41642.451125,204298.9764,45.74044385454704,176.8585646193967,289.16420754262873,221.12867595303422,302.18752480510784,2009
9,41701.9493775,204262.2071625,69.69798356115065,211.47901014937258,309.7207844194797,378.1454074522858,398.7085100718107,2010
10,41513.514865000005,204286.3595,74.84602306055538,194.4927021641983,253.46313582086026,299.56423800750866,265.0146738161303,2011
11,41619.62907333334,204273.00583333336,33.54682410375614,234.5685938757692,284.5588943244329,318.2159264359365,229.9053672739529,2012
12,41684.651975,204247.00405,45.222365560827264,146.10903262840878,227.2329303812419,376.8766815996045,560.5734870783265,2013
13,41591.159478,204181.23082,63.987443845196886,186.61083850012358,331.1737640668055,363.9454126939478,396.1350309407168,2014
14,41562.70514875,204364.9238625,47.67481426123953,203.97586778365633,284.69576761648375,290.0984703696739,274.3516169220188,2015
