,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,41564.53508,204206.635,57.02289849322826,57.35263769641517,237.09201252395826,270.1768917096863,196.12786615953422,357.5149136886523,406.12954275199075,323.68303861070814,2001
1,41548.70351,204311.6093,67.88200651608595,88.28436659154056,240.42337424897613,215.36982676434565,265.08819532822235,245.42106598496412,378.0167865653288,239.8268764969157,2002
2,41589.68646,204167.8156,47.334059664688795,53.57227851380847,245.68124119026018,264.7145772207661,237.09477128638648,263.7488002777701,299.3890923952362,435.80913692647636,2003
3,41668.92012,204238.2888,42.466394240999065,54.684576992057224,238.60110312364927,360.5318440212859,363.09894673374015,331.45671568145,302.29036795151376,382.75349963018823,2004
4,41521.64592,204334.5815,45.77530263086629,82.27172152006125,165.12569679617644,282.8935819592938,359.03974137543355,412.21386963084444,396.5119277553458,380.83307106316363,2005
5,41617.05436,204259.0171,80.27791758096613,97.09611406319559,188.51993935769775,220.5518563504967,260.7422690562151,341.6926958392225,341.36202479843257,338.1961946121003,2006
6,41576.95294,204271.2311,30.748535357242496,45.3070457249568,172.6873498457572,329.20627656577346,251.21418942581704,182.60590316777046,199.7194829772774,309.2554123036603,2007
7,41533.54743,204357.0333,54.27024969201823,44.54906918132934,164.50577343040968,392.41090997815405,300.94967094315416,369.9372954677136,449.7910872026357,256.0704205609146,2008
8,41642.94946,204299.055,50.86378018322965,50.63841289467313,176.83072609777062,185.85199738781236,192.23202817709358,421.98291358958795,339.1924594246048,337.790156035167,2009
9,41701.0223,204261.7069,54.17431203127007,55.29560761822036,251.6815017028942,321.8080709629138,437.89176900771014,498.23580915255025,478.1131937695223,384.6668443800762,2010
10,41513.61527,204286.1329,80.85603449001923,38.18427071636816,137.6365471130202,106.10380422298758,264.814988653775,121.67611980050901,447.16348660740164,320.49251862875883,2011
11,41619.48192,204273.3088,62.409482417717655,91.21595103524281,232.8912253595597,198.6659696567073,335.5833044218095,279.4083562181654,384.4304219912325,287.91046589645595,2012
12,41684.4859,204247.3604,76.89089690168818,95.30996903858225,129.6647391377876,266.4094831174019,372.07654113632526,386.5968360042025,358.07873321002455,512.0456668002842,2013
13,41591.14582,204181.2118,39.30690212886411,75.0100914942306,174.7978936367107,367.1452710730006,428.1281473989419,390.9871798685403,346.6356123033153,279.44320773462334,2014
14,41563.2081,204364.9004,60.19064175548715,76.82035522143774,297.9585089322644,351.82224337399674,396.33168908025806,446.8787604073329,438.54989777998094,217.58596878473008,2015
