,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,41564.53508,204206.635,38.39776729185963,70.4206999945958,73.71059257889418,92.80719892838604,96.4814117702505,2001,-155.39997631572854
1,41548.70351,204311.6093,81.63913638571861,71.97832414937079,96.39845480081614,77.42705994283841,91.2974233319517,2002,-155.39997631572854
2,41589.68646,204167.8156,74.9603104883582,53.70009925775348,87.37099643724386,92.30200063031975,86.1797415777304,2003,-155.39997631572854
3,41668.92012,204238.2888,40.125508237123974,61.69653463375333,94.54266902053615,89.3408777858191,85.69011105356572,2004,-155.39997631572854
4,41521.64592,204334.5815,53.19660972971366,80.81388612000302,67.63648615004145,95.00245573082259,91.63229006078049,2005,-155.39997631572854
5,41617.05436,204259.0171,79.80317398910606,85.70352241491284,89.99866880241505,90.90483012190755,95.62801085931513,2006,-155.39997631572854
6,41576.95294,204271.2311,61.347417643418936,46.60908932530412,79.73728284176943,98.55880013332782,90.86541595080969,2007,-155.39997631572854
7,41533.54743,204357.0333,97.30476161198654,86.89941944626563,90.4133968279041,77.94465666053348,88.63441099670013,2008,-155.39997631572854
8,41642.94946,204299.055,68.17933776078097,84.81820776435768,72.38532188814746,92.16695144333038,94.73598278293038,2009,-155.39997631572854
9,41701.0223,204261.7069,82.91491976704384,89.54440495903944,87.08601564533083,72.45802199684695,87.01861652935935,2010,-155.39997631572854
10,41513.61527,204286.1329,70.60656485686363,82.11428472530577,76.9790357879408,83.649882119928,86.92659223899128,2011,-155.39997631572854
11,41619.48192,204273.3088,68.8783792910864,53.377791887017906,88.69072104863363,91.37298232030386,87.61911592648454,2012,-155.39997631572854
12,41684.4859,204247.3604,53.23727044691327,90.23333854252931,97.93226516361501,82.01710612300616,97.93387459809932,2013,-155.39997631572854
13,41591.14582,204181.2118,70.29265412951615,90.62045754379352,67.62067094029469,81.95531746902391,97.40600557798035,2014,-155.39997631572854
14,41563.2081,204364.9004,83.02540858874069,62.80059089460991,75.32888137975641,73.43252140544736,87.44770025061399,2015,-155.39997631572854
