x,y,Unnamed: 0,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,x_clhs,y_clhs,Unnamed: 0,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
41564.5350769347,204206.6350445384,5707,0.55,46700.42,131.1,41.7,173.9,82.1,203.7,160.2,2.04,0.13,7.76,0.63,37.08,4.53,POINT (487360.74572300375 5665157.524426416),1,41565.381,204207.342,0,0,10,2.516,7.84,20.725,22.106,65.499,12.396,0.0,12.58,1.281,0.26224,13,32.7,10.7,10.3,41564.5350769347,204206.6350445384,5707,0.55,46700.42,131.1,41.7,173.9,82.1,203.7,160.2,2.04,0.13,7.76,0.63,37.08,4.53,POINT (487360.74572300375 5665157.524426416),1,41565.381,204207.342,0,0,50,2.806,8.5,22.136,28.516,64.364,7.121,3.2,17.92,1.469,0.32284,18,25.0,25.104,36.484,0.04327499036628776,0.02046,0.04325062032429554,300.00334608689684,0.1640446943377095,0.1640446943377095,58.974407464232684,15.042383497214578,69.75810334656848,181.53760259088745,329.4305346242497,436.1320055805245,69.75810334656848,66.14,0.060556
41548.70350637949,204311.6092516128,11480,0.849275000000332,48080.26000000001,123.0,55.4,134.8,79.6,151.6,121.4,1.86,0.07,5.91,0.16,28.12,4.28,POINT (487342.9922624455 5665262.147642509),2,41549.211,204310.992,0,0,10,1.162,8.32,20.482,25.616,59.907,14.477,2.1,8.27,1.403,0.41344,20,31.1,28.1,35.1,41548.70350637949,204311.6092516128,11480,0.849275000000332,48080.26000000001,123.0,55.4,134.8,79.6,151.6,121.4,1.86,0.07,5.91,0.16,28.12,4.28,POINT (487342.9922624455 5665262.147642509),2,41549.211,204310.992,0,0,50,4.294,8.79,18.516,41.816,50.414,7.769,16.1,21.47,1.369,0.40142,23,25.0,36.536,49.772,0.06194457926853959,0.03338,0.061909695563536135,489.4482743099031,0.15231025145940394,0.15231025145940394,54.755850939348626,118.5711020918878,106.81932002091108,133.4168523173745,202.74791834406977,269.74850156617043,106.81932002091108,101.94,0.124644
41589.68645659421,204167.81563104223,6927,0.55,46944.42,151.7,49.1,200.9,104.9,217.0,196.1,2.16,0.1,8.15,0.93,39.79,7.78,POINT (487386.5968327209 5665119.18975482),3,41588.221,204167.503,0,0,10,2.714,8.32,23.113,24.67,66.901,8.43,4.0,18.31,1.386,0.30754,22,28.3,8.7,6.4,41589.68645659421,204167.81563104223,6927,0.55,46944.42,151.7,49.1,200.9,104.9,217.0,196.1,2.16,0.1,8.15,0.93,39.79,7.78,POINT (487386.5968327209 5665119.18975482),3,41588.221,204167.503,0,0,50,4.55,8.62,23.378,30.686,64.001,5.313,9.6,22.75,1.432,0.30815,6,25.0,22.713,31.887,0.03881262065853241,0.01756,0.03879076357232001,257.4808776777082,0.16592794595642563,0.16592794595642563,59.651440322675526,48.44997339650699,120.09235180598404,241.44326990397747,382.9974388241877,475.0440268789478,120.09235180598404,114.79,0.062734
41668.92011756163,204238.28879173196,25046,0.4499999999999999,53527.92000000001,146.9,48.8,197.4,103.9,212.7,195.7,2.21,0.21,8.25,0.79,38.92,7.47,POINT (487464.4890758196 5665191.080228904),4,41668.451,204238.44,0,0,10,1.622,8.17,24.345,27.206,66.315,6.478,1.7,10.14,1.279,0.32295,24,31.6,16.7,18.5,41668.92011756163,204238.28879173196,25046,0.4499999999999999,53527.92000000001,146.9,48.8,197.4,103.9,212.7,195.7,2.21,0.21,8.25,0.79,38.92,7.47,POINT (487464.4890758196 5665191.080228904),4,41668.451,204238.44,0,0,50,3.452,8.73,20.368,25.121,62.385,12.494,3.4,17.26,1.352,0.27097,422,25.0,31.41,47.845,0.05476535726846976,0.02825,0.05473451649773694,414.2274939860624,0.15984051738334845,0.15984051738334845,57.46299713938666,49.8266804822798,117.9077502015403,235.79537400038865,373.4067945142865,462.3134996941636,117.9077502015403,112.67,0.045959
41521.64592351891,204334.58148620185,8518,0.8499999999999999,47262.62,160.4,74.3,188.9,119.3,193.2,187.2,1.96,0.13,6.65,0.66,32.71,8.17,POINT (487315.5275392472 5665284.609093723),5,41520.385,204334.195,0,0,10,1.686,8.18,20.992,26.516,58.833,14.65,2.4,11.35,1.413,0.41837,7,26.2,17.6,20.7,41521.64592351891,204334.58148620185,8518,0.8499999999999999,47262.62,160.4,74.3,188.9,119.3,193.2,187.2,1.96,0.13,6.65,0.66,32.71,8.17,POINT (487315.5275392472 5665284.609093723),5,41520.385,204334.195,0,0,50,2.584,8.74,22.371,26.333,68.302,5.365,3.9,17.62,1.528,0.33342,2,25.0,27.804,38.97,0.04749210257266308,0.02326,0.04746535769012934,341.0595224819756,0.15961049427882062,0.15961049427882062,57.38030335677224,185.26805121075327,187.44547551593223,231.6710954585039,311.5076184319466,377.8866085591601,187.44547551593223,180.22,0.05639
41617.0543552294,204259.01709711645,19201,0.6149791999987124,51612.29999999999,141.4,46.2,184.0,96.8,191.3,174.6,2.08,0.13,7.49,0.54,33.88,4.6,POINT (487412.2715695653 5665210.84269717),6,41615.875,204258.051,0,0,10,2.89,8.29,22.163,23.213,64.251,12.535,1.5,16.25,1.436,0.35694,5,28.3,11.3,6.4,41617.0543552294,204259.01709711645,19201,0.6149791999987124,51612.29999999999,141.4,46.2,184.0,96.8,191.3,174.6,2.08,0.13,7.49,0.54,33.88,4.6,POINT (487412.2715695653 5665210.84269717),6,41615.875,204258.051,0,0,50,1.146,8.73,18.542,25.639,63.887,10.474,9.5,17.13,1.611,0.34154,9,25.0,18.975,24.261,0.03161656879729187,0.01301,0.03159876412298187,190.7645910357052,0.1689032055948814,0.1689032055948814,60.721052326517345,55.53706940784971,117.7654178216384,216.08705619393152,325.07489071519353,392.6343825809173,117.7654178216384,112.54,0.055397
41576.95293945124,204271.2311379509,13168,1.15,48437.26000000001,114.0,33.5,150.4,66.0,189.7,139.7,2.05,0.14,7.4,0.55,33.61,3.4,POINT (487371.9683250545 5665222.312149615),7,41578.212,204271.787,0,0,10,1.758,8.19,21.157,25.013,59.196,15.791,1.1,10.11,1.306,0.27939,4,31.1,13.3,13.1,41576.95293945124,204271.2311379509,13168,1.15,48437.26000000001,114.0,33.5,150.4,66.0,189.7,139.7,2.05,0.14,7.4,0.55,33.61,3.4,POINT (487371.9683250545 5665222.312149615),7,41578.212,204271.787,0,0,50,3.694,8.39,21.116,27.217,57.237,15.546,1.1,19.84,1.401,0.3022,3,25.0,25.267,33.202,0.04242332341408742,0.0199,0.04239943298304861,291.79211080788116,0.15958366827135909,0.15958366827135909,57.37065935151463,-14.555804466986045,33.42841470122147,140.1314818502126,288.0161375959542,398.4324927361129,33.42841470122147,31.33,0.055027
41533.5474325054,204357.03331070676,12607,0.6500000000000001,48325.06,135.9,62.2,154.3,92.9,171.0,145.8,1.9,0.03,6.17,0.24,29.45,4.1,POINT (487327.0092895877 5665307.26704516),8,41533.32,204357.264,0,0,10,2.594,8.21,22.041,25.989,58.685,15.325,2.0,15.4,1.435,0.44652,15,25.4,17.1,18.5,41533.5474325054,204357.03331070676,12607,0.6500000000000001,48325.06,135.9,62.2,154.3,92.9,171.0,145.8,1.9,0.03,6.17,0.24,29.45,4.1,POINT (487327.0092895877 5665307.26704516),8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,61.627,13.808,6.7,19.12,1.585,0.39937,12,25.0,35.786,55.569,0.0626765914105752,0.03392,0.06264129547748136,497.36625118609686,0.15774640762744654,0.15774640762744654,56.710160343792744,138.8610777586956,130.48910321314833,165.70161314573872,245.5361942173082,319.0132871821705,130.48910321314833,124.88000000000001,0.06575
41642.94945818215,204299.0550411502,25333,0.6500000000000001,53586.60999999999,118.4,41.9,151.2,75.4,179.8,139.6,2.04,0.11,6.84,0.18,31.61,2.0,POINT (487437.4154572213 5665251.334156993),9,41642.385,204297.786,0,0,10,3.398,8.34,22.787,21.302,65.61,13.088,2.2,16.99,1.366,0.36434,16,28.6,20.2,20.3,41642.94945818215,204299.0550411502,25333,0.6500000000000001,53586.60999999999,118.4,41.9,151.2,75.4,179.8,139.6,2.04,0.11,6.84,0.18,31.61,2.0,POINT (487437.4154572213 5665251.334156993),9,41642.385,204297.786,0,0,50,1.628,8.63,22.144,46.729,42.481,10.79,8.317,18.12,1.514,0.325,470,25.0,28.698,47.318,0.050944208663516406,0.0256,0.050915519748882754,375.37075561214857,0.16501484707592975,0.16501484707592975,59.32317938347903,34.227994749898734,65.53845915154653,148.00706637778018,268.66245748971323,361.2789604633547,65.53845915154653,62.080000000000005,0.104775
41701.02229841746,204261.70686767064,28024,0.05,54124.140000000014,165.7,57.2,218.6,124.5,216.1,219.7,2.22,0.19,8.53,1.0,40.11,7.95,POINT (487496.1422140705 5665215.07546525),10,41702.154,204262.206,0,0,10,1.758,8.17,23.295,31.426,60.784,7.79,1.383,10.45,1.366,0.32171,8,27.2,12.1,13.7,41701.02229841746,204261.70686767064,28024,0.05,54124.140000000014,165.7,57.2,218.6,124.5,216.1,219.7,2.22,0.19,8.53,1.0,40.11,7.95,POINT (487496.1422140705 5665215.07546525),10,41702.154,204262.206,0,0,50,2.258,8.9,22.885,35.65,58.597,5.753,3.425,15.4,1.251,0.28289,14,25.0,36.388,60.008,0.06459783414841766,0.03533,0.06456145627941112,518.0409685850473,0.15955992132497882,0.15955992132497882,57.3621222750946,95.4386629783168,172.70228843292676,286.29204891987723,401.3077639961442,465.030000812518,172.70228843292676,165.88,0.07336
