x,y,Unnamed: 0,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,x_clhs,y_clhs,Unnamed: 0,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
41513.61527143428,204286.13286993653,3251,0.1585535999993816,46209.19,154.1,73.5,178.2,113.6,179.3,170.2,2.0,0.11,6.91,0.65,33.87,7.52,POINT (487308.39262552833 5665236.040356963),11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,47.839,5.119,14.933,20.58,1.366,0.32572,404,25.0,29.935,49.938,41513.61527143428,204286.13286993653,3251,0.1585535999993816,46209.19,154.1,73.5,178.2,113.6,179.3,170.2,2.0,0.11,6.91,0.65,33.87,7.52,POINT (487308.39262552833 5665236.040356963),11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,47.839,5.119,14.933,20.58,1.366,0.32572,404,25.0,29.935,49.938,0.05327462173216467,0.02721,0.053244620459888384,398.97805703931886,0.16433274488425578,0.16433274488425578,59.07796223246764,189.94160872437385,182.8160397735196,212.69876065501305,277.50110419160654,335.1927118338959,182.8160397735196,175.72,0.117298
41619.4819187581,204273.3088023756,22376,0.6500000000000001,52247.32000000001,80.5,31.0,135.5,70.6,165.3,136.8,0.87,-0.27,5.62,0.11,29.04,2.18,POINT (487414.4348660078 5665225.170915795),12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,59.544,13.993,1.3,17.0,1.487,0.29367,416,25.0,26.077,34.227,41619.4819187581,204273.3088023756,22376,0.6500000000000001,52247.32000000001,80.5,31.0,135.5,70.6,165.3,136.8,0.87,-0.27,5.62,0.11,29.04,2.18,POINT (487414.4348660078 5665225.170915795),12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,59.544,13.993,1.3,17.0,1.487,0.29367,416,25.0,26.077,34.227,0.04376944760711283,0.02078,0.0437447991145971,304.69548053204875,0.15860650489509562,0.15860650489509562,57.01936709336788,-10.616925574477666,23.17599110847894,117.21711842045616,245.474944390078,336.50405540997446,23.17599110847894,21.57,0.049178
41684.48590413986,204247.36038497745,26454,0.3500000000000001,53809.54000000001,181.6,61.9,239.7,134.0,239.4,233.8,2.28,0.19,8.98,1.01,43.05,9.3,POINT (487479.87913185015 5665200.432977606),13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,41684.48590413986,204247.36038497745,26454,0.3500000000000001,53809.54000000001,181.6,61.9,239.7,134.0,239.4,233.8,2.28,0.19,8.98,1.01,43.05,9.3,POINT (487479.87913185015 5665200.432977606),13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,0.04215731182788475,0.01973,0.04213357119961819,289.2994143838942,0.16662145873379675,0.16662145873379675,59.900759602884236,96.0853960911494,184.70683045129687,318.30808956799,459.6918888504968,542.989294699444,184.70683045129687,177.56,0.110408
41591.14581668674,204181.21181360356,8256,0.4499999999999999,47210.22,148.2,49.3,196.3,103.6,212.5,193.9,2.14,0.06,8.04,0.87,40.15,7.84,POINT (487387.8089499994 5665132.605153706),14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,45.749,13.236,3.942,21.04,1.379,0.35335,21,25.0,27.238,36.878,41591.14581668674,204181.21181360356,8256,0.4499999999999999,47210.22,148.2,49.3,196.3,103.6,212.5,193.9,2.14,0.06,8.04,0.87,40.15,7.84,POINT (487387.8089499994 5665132.605153706),14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,45.749,13.236,3.942,21.04,1.379,0.35335,21,25.0,27.238,36.878,0.046104816553360566,0.02233,0.04607885291233051,327.423006750753,0.15872215011054502,0.15872215011054502,57.06094178790303,52.74237347079897,118.7838797515059,234.30948815471143,370.942581981132,460.5194037672012,118.7838797515059,113.52,0.104865
41563.20809519153,204364.9003766114,18672,0.7354848000010195,51506.51000000001,158.6,80.6,172.5,118.4,171.3,168.2,1.89,0.05,6.11,0.29,28.96,4.2,POINT (487356.5083485134 5665315.675208915),15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,41563.20809519153,204364.9003766114,18672,0.7354848000010195,51506.51000000001,158.6,80.6,172.5,118.4,171.3,168.2,1.89,0.05,6.11,0.29,28.96,4.2,POINT (487356.5083485134 5665315.675208915),15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,0.05819411183135966,0.03067,0.05816134017879483,449.7117607275233,0.15878338835295952,0.15878338835295952,57.08295706291772,231.7372286859286,204.56674677382497,210.7262127022334,256.0331082674482,305.7324304703332,204.56674677382497,196.88,0.083134
41513.61527143428,204286.13286993653,3251,0.1585535999993816,46209.19,154.1,73.5,178.2,113.6,179.3,170.2,2.0,0.11,6.91,0.65,33.87,7.52,POINT (487308.39262552833 5665236.040356963),11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,47.839,5.119,14.933,20.58,1.366,0.32572,404,25.0,29.935,49.938,41513.61527143428,204286.13286993653,3251,0.1585535999993816,46209.19,154.1,73.5,178.2,113.6,179.3,170.2,2.0,0.11,6.91,0.65,33.87,7.52,POINT (487308.39262552833 5665236.040356963),11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4,0.04041327431801672,0.01859,0.035650147099743706,214.70854464590377,0.15543567045391046,0.1370930050361398,49.28521932476113,189.94160872437385,182.8160397735196,212.69876065501305,277.50110419160654,335.1927118338959,189.94160872437385,161.1227864520071,0.099158
41619.4819187581,204273.3088023756,22376,0.6500000000000001,52247.32000000001,80.5,31.0,135.5,70.6,165.3,136.8,0.87,-0.27,5.62,0.11,29.04,2.18,POINT (487414.4348660078 5665225.170915795),12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,59.544,13.993,1.3,17.0,1.487,0.29367,416,25.0,26.077,34.227,41619.4819187581,204273.3088023756,22376,0.6500000000000001,52247.32000000001,80.5,31.0,135.5,70.6,165.3,136.8,0.87,-0.27,5.62,0.11,29.04,2.18,POINT (487414.4348660078 5665225.170915795),12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13.0,12.8,0.019905222558735593,0.00575,0.017336001606008476,64.69952026800911,0.17693531163320525,0.15399824528110684,55.362688215251495,-10.616925574477666,23.17599110847894,117.21711842045616,245.474944390078,336.50405540997446,-10.616925574477666,0.0,0.072715
41684.48590413986,204247.36038497745,26454,0.3500000000000001,53809.54000000001,181.6,61.9,239.7,134.0,239.4,233.8,2.28,0.19,8.98,1.01,43.05,9.3,POINT (487479.87913185015 5665200.432977606),13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,41684.48590413986,204247.36038497745,26454,0.3500000000000001,53809.54000000001,181.6,61.9,239.7,134.0,239.4,233.8,2.28,0.19,8.98,1.01,43.05,9.3,POINT (487479.87913185015 5665200.432977606),13,41685.271,204247.395,0,0,10,2.474,8.23,23.505,29.156,63.239,7.605,1.133,13.73,1.38,0.26512,423,30.4,11.0,11.0,0.016938199880836207,0.00404,0.015221909389537908,48.433587797858095,0.19357942720955665,0.1740268450979816,62.563011342476884,96.0853960911494,184.70683045129687,318.30808956799,459.6918888504968,542.989294699444,96.0853960911494,82.27354821741531,0.058961
41591.14581668674,204181.21181360356,8256,0.4499999999999999,47210.22,148.2,49.3,196.3,103.6,212.5,193.9,2.14,0.06,8.04,0.87,40.15,7.84,POINT (487387.8089499994 5665132.605153706),14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,45.749,13.236,3.942,21.04,1.379,0.35335,21,25.0,27.238,36.878,41591.14581668674,204181.21181360356,8256,0.4499999999999999,47210.22,148.2,49.3,196.3,103.6,212.5,193.9,2.14,0.06,8.04,0.87,40.15,7.84,POINT (487387.8089499994 5665132.605153706),14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3,0.020963297065049718,0.00639,0.018733815371352693,75.75434205989055,0.1711289556330589,0.15296258014280656,54.99036445245497,52.74237347079897,118.7838797515059,234.30948815471143,370.942581981132,460.5194037672012,52.74237347079897,44.49475025065379,0.07043
41563.20809519153,204364.9003766114,18672,0.7354848000010195,51506.51000000001,158.6,80.6,172.5,118.4,171.3,168.2,1.89,0.05,6.11,0.29,28.96,4.2,POINT (487356.5083485134 5665315.675208915),15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,41563.20809519153,204364.9003766114,18672,0.7354848000010195,51506.51000000001,158.6,80.6,172.5,118.4,171.3,168.2,1.89,0.05,6.11,0.29,28.96,4.2,POINT (487356.5083485134 5665315.675208915),15,41563.215,204365.006,0,0,10,2.168,8.25,21.544,44.312,46.326,9.362,2.725,14.11,1.438,0.39557,17,25.6,24.8,29.4,0.04041327431801672,0.01859,0.0398965119002978,266.5523935992257,0.15543567045391046,0.1535580996817619,55.20445496044156,231.7372286859286,204.56674677382497,210.7262127022334,256.0331082674482,305.7324304703332,231.7372286859286,220.4841631414187,0.128833
