,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41668.31481,204315.4004,72.03676607070007,91.64374772626768,82.94662032281458,88.87406769366818,73.2460480824335,11.0
1,41668.31481,204315.4004,77.73627693823552,77.85095577749595,68.62856244351968,83.44144030254502,86.56558484672529,12.0
2,41668.44947,204314.7587,74.0972493977299,87.71232430771907,64.88043764152475,82.3165967890041,91.27100327057647,13.0
3,41668.57399,204314.1439,79.91151190955783,87.07894656790975,69.33692459984971,91.58425472052727,94.37764150015869,14.0
4,41668.70589,204313.4887,91.56039365408593,65.72307324646067,69.44531832362343,75.9274307521384,88.48137866249863,15.0
5,41668.70589,204313.4887,75.324436100067,61.46654083490541,77.13396956861038,66.95523781250549,92.4552201819861,16.0
6,41668.84943,204312.794,85.47934113170004,66.65725297841891,82.4956909837285,74.35632309796914,85.36261601571269,17.0
7,41668.98012,204312.1909,79.68243886674952,68.17604871014922,89.42973995195233,90.11590720465632,97.87168715031389,18.0
8,41669.12606,204311.5522,70.16229941800742,94.0630008233229,54.192138292481836,90.86486544299844,95.68249808206173,19.0
9,41669.12606,204311.5522,55.66647124910544,59.354191396919305,88.7097409544501,96.46617163803471,88.69473805476778,20.0
10,41669.28864,204310.8778,78.36168386184616,69.13238857506342,64.38981200142665,89.41150917034413,82.05959440828148,21.0
11,41669.46967,204310.1615,51.63893431373056,98.08167120075007,79.36654990250906,94.35858149562287,82.79973469978478,22.0
12,41669.46967,204310.1615,76.33884283503473,80.65002223692912,74.70738915019332,88.74790900121364,87.03819031629894,23.0
13,41669.65117,204309.472,52.953113337547435,63.34205101156924,86.12398767226544,99.77060840080031,96.7572141480192,24.0
14,41669.81435,204308.8737,93.06831999226577,75.85657122810738,74.59549518533073,92.62309335707297,96.34186632496284,25.0
15,41670.00186,204308.2093,63.31832067913871,83.95429134082,74.7224891886969,93.16151250051391,90.24704630087619,26.0
16,41670.00186,204308.2093,41.56808746565395,88.0750446579027,91.96077535778898,70.4470644784075,84.45622905595658,27.0
17,41670.15453,204307.6858,70.45712941906494,89.73327875714106,91.42530313784607,81.78389206791354,89.99228414677314,28.0
18,41670.3466,204307.0499,74.38525732239867,76.80560910816718,60.94859536850527,90.12431313056723,91.45810798143795,29.0
19,41670.52277,204306.4886,98.85160953147937,62.64747263794969,69.51888306727172,88.22177021112257,90.90548478329642,30.0
20,41670.73131,204305.8502,72.26739519443399,72.55134388847794,82.42180031508425,98.05923543575868,78.54245068739043,31.0
