x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,Unnamed: 0,x_clhs,y_clhs,z,t,code,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,x_clhs,y_clhs,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,Unnamed: 0,x_clhs,y_clhs,z,t,code,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
107719.9979,183326.6793,26.1909152,40954.67,57.35405828991824,64.25718400465516,53.06648128199058,72.02920189979466,37.27781413785084,59.175440943248766,0.99,0.96,1.04,0.15,1.31,-3.69,5166,107720.118,183326.96,26.1909152,40954.67,1,10,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4,107719.9979,183326.6793,26.1909152,40954.67,57.35405828991824,64.25718400465516,53.06648128199058,72.02920189979466,37.27781413785084,59.175440943248766,0.99,0.96,1.04,0.15,1.31,-3.69,5166,107720.118,183326.96,26.1909152,40954.67,1,10,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4,0.031327621669965396,0.01283,0.03073875500664068,181.91613473973518,0.1415937702597306,0.13904059414391473,49.98538164380796,124.8481200719244,68.39422422776498,37.77584161055757,22.216470596466525,19.099222487317306,124.8481200719244,117.15563302118215,0.036516
107755.6395,183331.2104,26.8825864,42473.18,13.98124343148456,20.162956994912747,20.75511936979604,23.81303326437108,31.36378797315815,29.34047339509133,0.97,1.04,1.01,0.45,1.3,-2.5,19244,107755.589,183331.1,26.8951584,42473.18,2,10,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5,107755.6395,183331.2104,26.8825864,42473.18,13.98124343148456,20.162956994912747,20.75511936979604,23.81303326437108,31.36378797315815,29.34047339509133,0.97,1.04,1.01,0.45,1.3,-2.5,19244,107755.589,183331.1,26.8951584,42473.18,2,10,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5,0.01703016528782021,0.00409,0.01763633548371393,63.896354986478286,0.10643853304887631,0.11022311654079167,39.625438744592174,35.920293688412336,17.876337074675767,19.69727594266058,28.14041758466512,35.911812853499534,35.920293688412336,34.899514817171394,0.016459
107797.4476,183278.6469,28.4585888,42812.37,103.55076640381095,76.10347003479123,128.3311197916262,98.69369189262422,140.30695266995386,129.875783353568,0.96,1.04,1.06,0.49,1.71,-2.57,22350,107797.402,183278.579,28.4706568,42812.37,3,10,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8,107797.4476,183278.6469,28.4585888,42812.37,103.55076640381095,76.10347003479123,128.3311197916262,98.69369189262422,140.30695266995386,129.875783353568,0.96,1.04,1.06,0.49,1.71,-2.57,22350,107797.402,183278.579,28.4706568,42812.37,3,10,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8,0.024946765143411105,0.00886,0.024627772166788367,127.03895682028724,0.1287574975143799,0.12720218325915125,45.72944840521276,130.90800436840968,116.85635676015184,131.7668787514707,150.2164964603011,162.10671939213177,130.90800436840968,123.67805121499478,0.025741
107763.959,183318.2535,27.3376096,42491.37,4.375736976315452,15.673926870994302,7.377176589669389,15.787339657368369,25.002127686151,14.8658814048356,0.97,1.04,1.02,0.47,1.32,-2.9,19352,107763.816,183318.112,27.3446688,42491.37,4,10,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6,107763.959,183318.2535,27.3376096,42491.37,4.375736976315452,15.673926870994302,7.377176589669389,15.787339657368369,25.002127686151,14.8658814048356,0.97,1.04,1.02,0.47,1.32,-2.9,19352,107763.816,183318.112,27.3446688,42491.37,4,10,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6,0.013138134568614724,0.00232,0.013350533549309528,35.04812809742835,0.10510507654891779,0.10683727306405863,38.40822100028706,26.23391039255724,4.845570492902729,5.730889117630836,17.025975834226756,29.05776758207165,26.23391039255724,24.86559672877897,0.018351
107723.0048,183309.1898,26.586,40592.63,71.89690929671438,73.6523012338056,65.34462101399674,83.59665955766927,41.84196454093233,71.34383034260946,1.0,0.97,1.02,0.25,1.31,-3.02,1556,107723.005,183309.182,26.586,40592.63,5,10,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8,107723.0048,183309.1898,26.586,40592.63,71.89690929671438,73.6523012338056,65.34462101399674,83.59665955766927,41.84196454093233,71.34383034260946,1.0,0.97,1.02,0.25,1.31,-3.02,1556,107723.005,183309.182,26.586,40592.63,5,10,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8,0.02900479844691781,0.01138,0.029473707453231416,171.91711109859247,0.1423548390032776,0.14470093458811026,52.02028575996948,144.5129077705391,84.8060529036617,48.8145473365781,26.993358840840816,19.229438166664767,144.5129077705391,140.72891258555782,0.044555
107742.7404,183330.3354,26.664,41813.36,28.522242695986773,31.999496955421492,33.32459746062346,40.62643075125067,32.05625429202808,42.05485068612317,0.97,1.01,1.01,0.32,1.28,-3.06,14669,107742.651,183330.207,26.664,41906.95,6,10,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5,107742.7404,183330.3354,26.664,41813.36,28.522242695986773,31.999496955421492,33.32459746062346,40.62643075125067,32.05625429202808,42.05485068612317,0.97,1.01,1.01,0.32,1.28,-3.06,14669,107742.651,183330.207,26.664,41906.95,6,10,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5,0.03032204272878833,0.01221,0.030556715336313534,181.72484973667147,0.12251330395470031,0.12351616540819775,44.404317351507004,61.74567442589643,36.71336524938165,29.98707131816328,29.512548830815884,31.282800829552524,61.74567442589643,58.8922870476253,0.029569
107805.4925,183273.6275,28.6522848,42915.67,98.84199716745071,64.25718400465516,129.62941692857828,86.6152477926409,154.50460289705504,124.24284020675351,0.96,1.03,1.06,0.37,1.8,-3.18,23383,107805.822,183273.987,28.65,42915.67,7,10,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4,107805.4925,183273.6275,28.6522848,42915.67,98.84199716745071,64.25718400465516,129.62941692857828,86.6152477926409,154.50460289705504,124.24284020675351,0.96,1.03,1.06,0.37,1.8,-3.18,23383,107805.822,183273.987,28.65,42915.67,7,10,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4,0.01872077011101166,0.00504,0.01825761312143071,70.66696960372656,0.13615105535281205,0.13289336194053908,47.775438931532186,99.29908700306696,93.81445002685848,121.82488623110844,153.54209845858543,173.7526414296768,99.29908700306696,92.3180856250169,0.021222
107758.6659,183312.5732,27.35,42107.27,12.846825709687282,23.42794557705947,16.936834350195006,25.819920952739487,29.981565988131177,27.554334154054335,0.98,1.01,1.02,0.39,1.36,-2.79,15706,107758.685,183312.601,27.35,42107.27,8,10,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8,107758.6659,183312.5732,27.35,42107.27,12.846825709687282,23.42794557705947,16.936834350195006,25.819920952739487,29.981565988131177,27.554334154054335,0.98,1.01,1.02,0.39,1.36,-2.79,15706,107758.685,183312.601,27.35,42107.27,8,10,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8,0.018851409065389353,0.00512,0.020117102219763094,84.27454945343018,0.11874903348276758,0.12663707708633437,45.526291565360026,41.457616030912966,16.175641858065823,14.776663357270438,23.02779734203944,32.17649496627236,41.457616030912966,41.60780835150602,0.019365
107776.6894,183310.7317,27.5510368,42797.16,45.48872797124076,31.591296494030683,63.04771734860391,44.894575219023,81.01528462947698,67.95058072962635,0.95,1.05,1.0,0.5,1.44,-2.67,22198,107776.692,183310.756,27.5510368,42797.16,9,10,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3,107776.6894,183310.7317,27.5510368,42797.16,45.48872797124076,31.591296494030683,63.04771734860391,44.894575219023,81.01528462947698,67.95058072962635,0.95,1.05,1.0,0.5,1.44,-2.67,22198,107776.692,183310.756,27.5510368,42797.16,9,10,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3,0.016559194475144978,0.00384,0.016932936461671922,58.66332973236309,0.1077020778871218,0.11015498655929974,39.60094587510159,74.20833884171029,64.51962940242149,75.10915103869452,88.06466730997792,96.15469461532628,74.20833884171029,72.01960921381793,0.019185
107726.3815,183318.7508,26.563,40950.86,82.99857036483952,78.55474985642411,82.78392725036295,96.1768100269839,54.11963393764161,93.13831216313636,0.99,0.98,1.01,0.24,1.37,-3.35,5128,107726.371,183318.719,26.563,40950.86,10,10,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1,107726.3815,183318.7508,26.563,40950.86,82.99857036483952,78.55474985642411,82.78392725036295,96.1768100269839,54.11963393764161,93.13831216313636,0.99,0.98,1.01,0.24,1.37,-3.35,5128,107726.371,183318.719,26.563,40950.86,10,10,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1,0.03035432992037498,0.01223,0.03143475925286159,191.06416173218324,0.1445444281922618,0.14968392458623764,53.81168098750905,155.94891779248476,101.6651012380322,69.17811652301906,45.62540336962625,33.32795766437056,155.94891779248476,154.92484915871933,0.037889
