Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,91.34185122273811,76.6188371493695,49.5732042661579,42.01808669155757,32.66579352007431,1
1,107755.86151818182,183331.1214,22.01360966174385,14.868709944953476,45.1776011335423,28.16290112884596,28.774034588073857,2
2,107797.93544545454,183278.9048727273,84.07918321950557,87.78418565322214,81.3830755276164,86.596099109891,58.67619333045507,3
3,107764.40281538464,183318.4132153846,28.61242936573556,15.46023454645612,18.13038736581269,24.596704480048142,8.027829925585921,4
4,107723.42537142856,183309.4027142857,96.9862323465776,90.54440268453564,77.65765169310941,30.77775112326688,61.439248015159,5
5,107742.897625,183330.1258375,60.29467575923078,42.68992779087098,45.8841175827569,25.947774405001617,23.16237965661959,6
6,107806.755275,183274.783715,93.20820863393804,83.49868523896728,78.92449276900507,77.35794424716121,88.44394515754196,7
7,107758.59206,183312.54344,13.229082779233902,21.46630335869813,53.27604931717197,28.01933212055148,23.568836418382617,8
8,107776.02779,183310.31861,55.80833684979686,73.18193440816744,62.441393036670846,86.06519839007785,79.14479237216973,9
9,107726.3215,183318.8376333333,93.75928188643203,61.57215067905089,84.94129312553765,84.89657192744659,65.45926035316418,10
10,107766.74172,183327.35406,29.175304712761783,7.785506267543406,23.05191287213426,30.579688909832264,39.41973061010426,11
11,107777.31210000002,183299.6196181818,75.41741790693732,67.79440058420019,76.20057046383401,75.83986855900207,91.68857103325352,12
12,107751.80372307693,183298.45846153845,97.35222643487576,80.06989802060058,67.72600733054682,62.5973247977442,77.56775253688045,13
13,107732.68432857144,183327.4764857143,81.55021818870878,73.15010448458384,50.22420697661865,62.32202062981975,64.79276974122054,14
14,107776.3765111111,183291.22352222225,94.0911677076156,94.4080488831589,62.67124009803968,75.79020417958523,86.24471036078495,15
