Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9979,183326.6793,47.53048901221695,113.48879491039648,57.2805273682942,59.67577552901884,20.852912679396443,1
1,107755.6395,183331.2104,13.009628321653937,48.56026122319871,52.96089409687095,105.20510400515153,30.151889380042256,2
2,107797.4476,183278.6469,41.51654283520105,94.76695702460592,296.2385901182073,233.50181830379427,40.25932760618377,3
3,107764.0831,183318.0822,23.63397820999328,35.08832534010106,66.24517432259141,72.21093432630265,20.94106351236201,4
4,107723.0048,183309.1898,46.90846670689446,97.65014994542707,157.16708360599912,72.76551059402782,12.96133721737717,5
5,107742.871,183330.0981,41.55617550937056,35.727479541585794,70.74358499898042,55.83597415322146,33.35693937711474,6
6,107806.7161,183274.99,54.15805250931255,105.55861285532102,206.9467866121388,236.28296189469643,47.25659237893929,7
7,107758.6659,183312.5732,22.447249988087822,57.35796109922661,63.42458685608764,71.5451702694044,31.89301211132589,8
8,107775.383,183309.8767,51.43694529492728,69.82577775751422,154.56566792479964,141.54849876205387,30.828222449744604,9
9,107726.3815,183318.7508,45.44142482213838,116.5650096177498,188.9998084562025,96.80188531165612,29.766300664041854,10
10,107766.4694,183327.2822,20.678323070781413,53.678452997575455,60.44232195458528,54.01203009832537,21.83882616017504,11
11,107777.0025,183299.3846,37.16079039905686,71.90476210838867,164.3827743299946,156.0393802606318,39.95921775421103,12
12,107752.314,183298.7686,39.7438545987845,103.01284722220916,210.64465999612955,77.71931949561842,12.915771739132992,13
13,107732.7209,183327.4299,50.70865314884024,82.85655517514542,153.4915884008273,87.1111981911391,33.92820796247777,14
14,107776.5235,183291.4178,43.23011498371498,95.42266621233686,195.71185431358512,177.6187506085895,42.26372356973266,15
