,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,41564.53508,204206.635,53.14685370697334,51.37056269651915,137.08857615429164,172.58927811404126,222.07913492572666,177.349800567508,403.51737460811887,172.65339469473633,2001
1,41548.70351,204311.6093,14.658705262500387,84.08827653132798,124.99093099166224,109.5443908090197,317.3615170237267,198.6492032745924,173.90947883473098,218.9856321285409,2002
2,41589.68646,204167.8156,24.81200371725588,60.3301213700029,118.12762291636477,222.8027839731853,341.3414554593309,297.0285973704146,393.39292715952814,291.16439692494225,2003
3,41668.92012,204238.2888,41.68192174814285,139.6044694839433,265.92157193962726,158.47658241913092,233.99050101259886,319.9747194243277,301.9308385320162,243.31494753443312,2004
4,41521.64592,204334.5815,73.43137931485714,211.4219384278474,121.6226530162867,265.5115432342102,262.6139955828603,299.57609920140806,327.6809775949805,241.28075461866686,2005
5,41617.05436,204259.0171,58.18655211991737,110.35148378343506,72.59610544321684,97.50155386235465,219.3380959885697,337.3744496181938,342.64925226579663,276.53568004726543,2006
6,41576.95294,204271.2311,36.29064288813379,107.15847482595304,289.8616645241281,133.70154876852448,147.9735410144666,208.8747559247792,192.27421836015762,248.89029125369413,2007
7,41533.54743,204357.0333,44.51564382612086,147.47234211496706,158.7411476942833,104.72208421148507,447.53941245215566,181.51957404701832,245.96167075445504,143.40252673356818,2008
8,41642.94946,204299.055,61.20599396295079,132.0559897414753,157.21915119254385,158.99041256862864,279.29937742097707,205.0167349450694,235.61585785462066,214.28736364559074,2009
9,41701.0223,204261.7069,53.0856483098819,104.72779078556728,160.13411638589852,270.2683524475233,354.35413532447785,280.1326968896223,261.9709333055937,404.4158356144793,2010
10,41513.61527,204286.1329,62.06343181566727,174.8396296367841,181.76984864338715,122.37781128413415,374.98734765811264,429.46904185908585,240.56477252395018,177.2895790650914,2011
11,41619.48192,204273.3088,50.78084990988301,69.52466351407863,223.59593410213202,124.32035654021392,308.97434935421535,114.92007449052643,194.47049841608268,217.8475961638914,2012
12,41684.4859,204247.3604,31.105433213660543,145.95049868156468,200.71389399202175,290.0446549894698,284.3628552037282,447.00386530500316,246.12577220835783,474.31070266945056,2013
13,41591.14582,204181.2118,53.15952914621027,167.39754312695368,78.47628374100123,93.16914511423167,181.54993204673187,383.83356877476683,312.62991777980983,277.8979375087626,2014
14,41563.2081,204364.9004,43.282648968323215,252.97743514203955,182.79139934935932,203.42271028032417,266.6791933191721,336.6520589111419,195.982919404651,159.04781482541824,2015
