Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9979,183326.6793,88.03158281392855,77.31703470986574,56.43473363003699,40.427436304087365,34.634877571497064,1
1,107755.6395,183331.2104,27.28912553462922,40.7557068229352,42.181689307695216,27.12926708726877,20.474914537221416,2
2,107797.4476,183278.6469,80.63756109409766,75.49341680486414,86.10711951008994,73.32381496711037,78.30583371610588,3
3,107764.0831,183318.0822,16.790666369342006,34.560845497207566,37.17267555360095,21.16556809765159,34.24486472655831,4
4,107723.0048,183309.1898,88.93905714665509,77.17850570287304,61.166228829242414,57.62252821744011,41.0806042293672,5
5,107742.871,183330.0981,52.26133917445202,55.76642657234114,38.19567248161384,26.891941361874785,20.93216388128577,6
6,107806.7161,183274.99,85.74257701705275,95.3080124550516,87.95229408816131,90.32203415194866,88.88995672853277,7
7,107758.6659,183312.5732,28.46568247180566,21.263820609525496,23.898254747756923,29.39986995344909,37.35506543207352,8
8,107775.383,183309.8767,69.24954980317113,74.42128439890504,78.76867380875214,78.60179302675778,83.43760815584415,9
9,107726.3815,183318.7508,92.68237818526958,75.28949480935957,88.67884325738784,88.78572388492546,62.49304986922316,10
10,107766.4694,183327.2822,24.12145486038631,17.521773586982647,22.345988231170598,26.71994271280273,36.68876172478463,11
11,107777.0025,183299.3846,54.95888395679757,73.5816680507473,75.98681137260608,85.96978484705227,93.15684733613652,12
12,107752.314,183298.7686,90.64229136880142,78.7062561457479,72.70830451799296,58.84361798044949,67.33398464491779,13
13,107732.7209,183327.4299,69.41114237284971,80.66639392115654,70.2304882355256,65.91552668566955,69.80657370808797,14
14,107776.5235,183291.4178,78.70039818969593,92.08575158446286,81.77026725080123,67.57149327209069,69.99595910797932,15
