,Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,0,107719.9979,183326.6793,89.359395070905,79.4004468256988,61.85367928831658,44.71833796057666,24.00332500471394,1,-0.0431491462172357
1,1,107755.6395,183331.2104,32.1376142720007,50.3899014832677,41.56850470739319,25.608426495538023,13.987413625399594,2,-0.0431491462172357
2,2,107797.4476,183278.6469,76.31589275347179,93.70024287587935,84.59877775474227,77.19366633982335,59.79017771449363,3,-0.0431491462172357
3,3,107764.0831,183318.0822,17.49570717816994,30.8289440933345,22.373102443314195,18.097937690470765,12.732720387953838,4,-0.0431491462172357
4,4,107723.0048,183309.1898,86.50839257961151,83.92157113242082,70.57771399293468,56.55673966533277,32.17001481472945,5,-0.0431491462172357
5,5,107742.871,183330.0981,57.3698666674343,44.38427696975818,42.64929860855914,25.63471067948012,25.85932809723158,6,-0.0431491462172357
6,6,107806.7161,183274.99,90.02618095971603,82.40789508057205,75.91030182434449,75.86605419961253,93.44824522547468,7,-0.0431491462172357
7,7,107758.6659,183312.5732,44.847078061953695,26.01025069092715,33.8570004953456,31.57496227995156,29.133754124788105,8,-0.0431491462172357
8,8,107775.383,183309.8767,84.3325633034562,78.9977599182878,80.70128636641596,85.54834382730895,84.55598097412638,9,-0.0431491462172357
9,9,107726.3815,183318.7508,89.57649569976556,83.85422628290362,79.62549246350753,75.00218055814676,84.6001683877836,10,-0.0431491462172357
10,10,107766.4694,183327.2822,23.017464494571968,23.713227849849847,25.24038755062012,34.00875592585635,40.81181159385666,11,-0.0431491462172357
11,11,107777.0025,183299.3846,95.55369530456132,74.74437925534349,84.8994880422952,88.31546189268059,88.45617598976477,12,-0.0431491462172357
12,12,107752.314,183298.7686,85.68209393743538,87.06279346878864,88.28096069238588,79.39681970968657,39.391372527464334,13,-0.0431491462172357
13,13,107732.7209,183327.4299,88.18044915192121,72.00658626374562,69.0046212744198,65.79190102061233,70.35638110406238,14,-0.0431491462172357
14,14,107776.5235,183291.4178,74.70272526935516,85.85514717111131,74.43392115359727,76.40759414281517,93.2133239385609,15,-0.0431491462172357
