,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,41564.53508,204206.635,83.5076441774909,105.22009691674417,168.03682453937165,264.47881410498985,374.73844060571196,2001,0.8502188655032996
1,41548.70351,204311.6093,137.29061290200457,133.80186128411853,148.08984329750012,184.3609235087937,240.92852848628087,2002,0.8502188655032996
2,41589.68646,204167.8156,116.4560757977159,143.99104033376818,214.32700554014713,315.01469811705715,420.3912080948327,2003,0.8502188655032996
3,41668.92012,204238.2888,115.95159935875449,141.48984147224928,209.64356037378536,307.476103254334,408.2835571640916,2004,0.8502188655032996
4,41521.64592,204334.5815,210.29883736880217,209.77385529299985,234.4090336232838,282.9862751434671,344.63517051525366,2005,0.8502188655032996
5,41617.05436,204259.0171,110.42144488410638,134.3249644664914,190.78117071653188,269.2559092037802,349.50428276866603,2006,0.8502188655032996
6,41576.95294,204271.2311,52.81264240451847,73.94182883032555,135.01816626360602,228.96583437837688,336.79662724367796,2007,0.8502188655032996
7,41533.54743,204357.0333,162.1040049712566,159.25678485088702,178.50053897766162,222.2788644133344,285.1510853520104,2008,0.8502188655032996
8,41642.94946,204299.055,85.55900296121933,98.54816571523729,144.95631063316043,220.57140257191054,310.6859689972745,2009,0.8502188655032996
9,41701.0223,204261.7069,153.65357757519863,181.7113780060813,248.51118358236457,338.61837795224153,424.00794711094557,2010,0.8502188655032996
10,41513.61527,204286.1329,207.34791781776207,202.6374042758226,217.8573327519737,254.7376687954103,307.2447805264152,2011,0.8502188655032996
11,41619.48192,204273.3088,43.314800296895584,51.26957708977625,102.56016578761358,187.64985264011483,280.0076982075707,2012,0.8502188655032996
12,41684.4859,204247.3604,165.07013303341444,196.46906929965627,274.183312869511,383.7037321409855,496.25618545756765,2013,0.8502188655032996
13,41591.14582,204181.2118,117.65932142635137,142.98729537222488,210.0379142828711,306.56495681677546,407.0550615004637,2014,0.8502188655032996
14,41563.2081,204364.9004,234.65970210459182,223.1937856950275,225.85677199710307,247.39505935178744,286.31490436526036,2015,0.8502188655032996
