Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9979,183326.6793,42.953927747072925,86.02695294457375,102.83982114454284,67.81327442694689,31.230072004355115,1
1,107755.6395,183331.2104,12.847155797705842,25.94503948474331,68.86164459169643,53.98967096043954,30.571283935149328,2
2,107797.4476,183278.6469,50.07906273951068,104.69133965350018,218.20472621378693,223.4806169363279,36.53369408589949,3
3,107764.0831,183318.0822,30.8610023408312,54.34047847567007,60.03412758327433,64.68787899826137,33.62302678518226,4
4,107723.0048,183309.1898,51.25177856532444,98.4794890523676,88.5295535009487,75.78297117490901,39.65230605750336,5
5,107742.871,183330.0981,33.035928024348,34.56045574722611,65.76476563331637,64.61271819452396,36.79591505908481,6
6,107806.7161,183274.99,53.808268905469575,111.52487709690456,179.8511436243164,184.6846710799065,30.06091079027525,7
7,107758.6659,183312.5732,20.420297324769912,48.36218869154891,60.66045918499439,75.84889867187873,29.8075114200006,8
8,107775.383,183309.8767,50.04742817651625,78.79847407538172,113.12335695278372,98.61729925660453,34.76464567857452,9
9,107726.3815,183318.7508,48.00100773782118,105.02520635910828,127.02748791397454,86.34985114016415,45.59947726763453,10
10,107766.4694,183327.2822,11.699206142243812,55.26707486914931,114.0305706185312,65.23755585776546,15.17911148039787,11
11,107777.0025,183299.3846,35.09331132505601,87.46706824929078,119.69936629214484,111.48158350306213,36.16683027735755,12
12,107752.314,183298.7686,45.809309349122685,92.65212354775464,100.98171269775315,105.91125067260148,40.93122891527586,13
13,107732.7209,183327.4299,40.41361900500085,76.0474537665532,112.2550164626037,112.3559215379794,35.486193101395095,14
14,107776.5235,183291.4178,49.65935951297548,90.66758179081486,139.5690044940144,135.40868553302823,36.81352883936227,15
