,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,41564.53508,204206.635,29.910470840899468,103.204663922828,191.75970804283605,428.18699697752896,522.1965860461817,2001,-0.21992431295475923
1,41548.70351,204311.6093,50.27515223113204,95.51735792962685,236.04719104274054,261.4158339758499,342.70166609429987,2002,-0.21992431295475923
2,41589.68646,204167.8156,82.06538134219798,156.54709190655407,264.1233017970827,460.54335856675186,594.5868278511965,2003,-0.21992431295475923
3,41668.92012,204238.2888,60.638134826124826,190.42490251856333,226.54135817998895,419.51773191039274,640.989403578812,2004,-0.21992431295475923
4,41521.64592,204334.5815,42.565031138997945,191.2755594256692,340.9070810900329,452.5020633524636,528.5403624074438,2005,-0.21992431295475923
5,41617.05436,204259.0171,44.0221057701668,106.49675507638112,243.56629623071964,412.89028781513434,520.7897202717156,2006,-0.21992431295475923
6,41576.95294,204271.2311,40.32447972015468,127.34801511936055,191.23971499740395,300.1090214973825,424.0615200476205,2007,-0.21992431295475923
7,41533.54743,204357.0333,95.18235332341814,75.46392808602734,226.77333418711083,405.1279940780345,383.4779118849082,2008,-0.21992431295475923
8,41642.94946,204299.055,45.237392690926086,194.18270474103878,156.18438426832944,262.1690596052229,541.0861699940114,2009,-0.21992431295475923
9,41701.0223,204261.7069,38.5997730250492,181.63501317824384,353.66493375110133,539.8817603479622,671.569606407441,2010,-0.21992431295475923
10,41513.61527,204286.1329,88.26307093383495,162.49381249985717,339.1456214758883,408.4780625160661,456.69376909331754,2011,-0.21992431295475923
11,41619.48192,204273.3088,58.51051138669496,70.23919637421245,163.23332385784784,324.88044451597966,346.6837797839671,2012,-0.21992431295475923
12,41684.4859,204247.3604,58.47462967204291,166.88686387009966,387.2722980644301,634.4430882130711,754.3451408210028,2013,-0.21992431295475923
13,41591.14582,204181.2118,60.47383800706584,115.46334820460334,275.73697473504956,400.38372877110726,597.9689190993896,2014,-0.21992431295475923
14,41563.2081,204364.9004,71.08691805195454,215.01367090607724,252.76433900225823,421.2688868111737,470.12717566287324,2015,-0.21992431295475923
