Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,84.19522178885519,64.10228589501047,80.97486058322667,49.12146799275536,21.258288748287463,1
1,107755.86151818182,183331.1214,17.901640417129233,21.26389522461664,33.886328737810764,33.92250021856417,39.36350288469045,2
2,107797.93544545454,183278.9048727273,96.67929297311989,85.90140445231322,65.20644924585922,86.43079276793179,93.86037038108262,3
3,107764.40281538464,183318.4132153846,14.896854182596236,18.22223096712554,21.934503808004497,22.24035634565738,23.980912880451008,4
4,107723.42537142856,183309.4027142857,94.30543648860537,84.1227002774922,81.74172540362744,72.7734346171608,32.379617240450315,5
5,107742.897625,183330.1258375,37.04508798673919,51.74905581503178,45.90888202546113,42.861023869056496,26.286929016162286,6
6,107806.755275,183274.783715,74.09309039221176,93.07372929410984,95.85386003269024,86.41234930736003,96.31351243144968,7
7,107758.59206,183312.54344,19.11784374428188,19.83838980136653,25.73033912535938,30.023996618018582,31.77487913073643,8
8,107776.02779,183310.31861,59.46042501370721,53.76557706816384,68.7003682278003,85.38723976882709,90.52024617165075,9
9,107726.3215,183318.8376333333,92.39717793946797,91.83443410944456,81.15011315741239,74.9688592827591,58.00314815748287,10
10,107766.74172,183327.35406,26.955442730402424,17.967752969201246,29.234463453417828,35.79147757296432,22.05510509991908,11
11,107777.31210000002,183299.6196181818,64.3563828860816,70.013780821205,83.1600778568464,95.45590872119068,85.78818071595745,12
12,107751.80372307693,183298.45846153845,96.58690674492706,83.44234462954266,83.91578502869378,79.14081501777761,47.13918075009896,13
13,107732.68432857144,183327.4764857143,79.25155301764042,70.24966739163892,69.99652941829362,72.48966975397902,43.69484791645228,14
14,107776.3765111111,183291.22352222225,93.04252906068784,74.11458452857644,78.9931826935502,48.655564839063416,85.93345560883311,15
