,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,41564.53508,204206.635,40.7628820194478,42.698067082696696,147.72351430809786,135.4582637002818,212.0732922389989,272.9016272063458,526.1742678153869,679.5448007721898,2001,-0.01370292393746042
1,41548.70351,204311.6093,65.42816086756312,37.438695367921966,157.96198485510132,377.3661942278597,116.79197170847577,143.46393194890186,433.66164695296214,449.26620375063,2002,-0.01370292393746042
2,41589.68646,204167.8156,37.2943942323085,95.8258849353012,186.91917598743703,178.22724866989222,168.52565735568137,309.5450739253075,656.7805890858115,820.2569824630576,2003,-0.01370292393746042
3,41668.92012,204238.2888,41.733828059657334,56.668443628293765,117.42043758674387,188.42778022284764,183.71857853458965,388.2351659378753,478.3597244495827,807.2109762348747,2004,-0.01370292393746042
4,41521.64592,204334.5815,66.14794345331562,78.97078615074498,190.66399375080454,157.47331827273655,215.4744108709194,385.0614938927109,568.7048109257292,738.7317328107824,2005,-0.01370292393746042
5,41617.05436,204259.0171,48.01752112201256,46.657940283954034,176.26141577187943,125.70464844643733,143.06707250776543,312.76367483342506,463.87309996274917,715.4672050671435,2006,-0.01370292393746042
6,41576.95294,204271.2311,40.95693362043864,33.153427863574606,109.36748087809248,305.5377685442074,215.46027522278504,178.6784468435708,447.27019418355377,486.9027872548568,2007,-0.01370292393746042
7,41533.54743,204357.0333,62.90208627392285,45.09474160794241,105.23016771062098,199.63405724622285,91.88006810303659,289.1069827485095,294.22972254543623,489.27289193456465,2008,-0.01370292393746042
8,41642.94946,204299.055,60.380307397492615,33.64485305319853,96.17136760271293,280.81909220623913,163.2793072724736,208.8742940637935,281.3891250583636,313.5439065348294,2009,-0.01370292393746042
9,41701.0223,204261.7069,64.06771212225348,45.41732906831136,148.8959245935708,135.5260441649737,242.41451502053056,467.57562963193124,639.2082367110114,938.8289170985331,2010,-0.01370292393746042
10,41513.61527,204286.1329,63.270681741811124,71.98329702233937,175.33207823830156,214.51305144542718,284.49825746831186,319.3788125285062,483.34146848042315,533.6302701305718,2011,-0.01370292393746042
11,41619.48192,204273.3088,42.3465520347344,50.22796537127437,170.66290676114716,177.11870976668183,376.9380462519459,144.12544855265426,306.411327298628,306.1483069635587,2012,-0.01370292393746042
12,41684.4859,204247.3604,35.72635253762173,31.99161974046817,170.95676778893645,278.20905631145774,235.17779037327347,617.4806825050541,979.6394998352769,909.7945133197591,2013,-0.01370292393746042
13,41591.14582,204181.2118,41.9252428054172,73.99653111360239,96.76925066845683,124.78358655297879,235.25502307545318,155.5465649608938,777.8582937465061,808.5075444396812,2014,-0.01370292393746042
14,41563.2081,204364.9004,56.36923879483373,63.159981886374794,175.58479850787572,264.24142345629735,285.6950725473774,502.34841719943364,458.1004922811196,382.81797515530957,2015,-0.01370292393746042
