,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,107719.9979,183326.6793,69.50669020134124,77.42143532665051,70.49991789432445,49.76798801469974,51.151901327113805,60.97240283418339,62.46671554608787,31.6449212141659,1,-0.38054294826816437
1,107755.6395,183331.2104,48.44986809480441,19.86753980481681,26.0231137407689,27.130645018945067,29.351201038795413,30.767571272493427,26.368570723378397,24.425961246731525,2,-0.38054294826816437
2,107797.4476,183278.6469,91.79968777721497,63.678848217586264,51.906921844388535,72.2522130341185,66.99145035475676,76.60922924512369,80.83437980789766,88.82519800566273,3,-0.38054294826816437
3,107764.0831,183318.0822,29.895208296319552,30.20551296547412,20.46461548070226,24.912562128847615,35.82705655702789,27.848619803100497,29.042310912212045,9.373708141923384,4,-0.38054294826816437
4,107723.0048,183309.1898,83.99303127910618,70.57525166142366,82.87602542874195,86.42702182337449,83.85453522498716,52.07920970105356,41.022356661401496,54.34192267076403,5,-0.38054294826816437
5,107742.871,183330.0981,63.084514770166244,57.16165140769115,41.88401259389912,44.09896383400152,44.196390414154465,35.44682340381549,25.09979128724214,21.25716207848344,6,-0.38054294826816437
6,107806.7161,183274.99,81.18177191811316,67.72105545951865,61.02980268585929,59.623260853121934,68.11158464601188,93.044018648402,76.62056635533517,86.7429917669741,7,-0.38054294826816437
7,107758.6659,183312.5732,40.43703011347469,24.24936658204152,17.329499865362436,26.50181490407779,32.199332331798985,42.24070064053923,45.36831754175227,16.614845097164398,8,-0.38054294826816437
8,107775.383,183309.8767,82.80650457600353,75.14885158932562,85.56260382853279,85.9684100031365,85.11499524953638,68.20680458770313,88.08299468474291,81.9331650594537,9,-0.38054294826816437
9,107726.3815,183318.7508,86.3802924668454,87.68767525291507,59.245692360695166,64.7201846764119,64.22686983281866,77.12944783186516,44.061705980616495,52.540588891130426,10,-0.38054294826816437
10,107766.4694,183327.2822,33.66402447614797,29.648217242922744,30.92696590416341,35.04104808954918,45.921911140751455,39.15762989582397,33.49817934253429,18.634333465756946,11,-0.38054294826816437
11,107777.0025,183299.3846,66.5499084333845,86.25230148822028,56.36786837293649,39.67487131964519,74.26308767525447,86.0112278037606,82.08439986090215,82.74386230837312,12,-0.38054294826816437
12,107752.314,183298.7686,85.41937374648813,94.16963399351765,82.64774180154834,67.09702524193644,61.58446950083611,58.89618875687378,68.80007291304652,64.70745001206635,13,-0.38054294826816437
13,107732.7209,183327.4299,77.76753827964481,87.38768869236466,60.41865528974006,58.25768998961086,67.53655776671306,61.74269034653292,69.31034396827712,58.86723829574751,14,-0.38054294826816437
14,107776.5235,183291.4178,74.70419674467946,93.78166368109356,89.04143828502826,54.465884113427485,52.7258117833674,91.54639923885446,71.75578646360083,82.42767654167113,15,-0.38054294826816437
