,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,107719.99378888888,183326.6925333333,87.32460966649518,71.30228433098034,72.03292150412653,46.647138341846784,41.93673005419981,1,0.054714202860488004
1,107755.8615181818,183331.12140000003,22.195034425625664,19.633153548441474,23.47075486437413,29.586308570624237,37.82009135029214,2,0.054714202860488004
2,107797.93544545454,183278.9048727273,92.80705429130552,85.76545820807198,75.20501979975948,76.29235243201256,91.569793231618,3,0.054714202860488004
3,107764.40281538464,183318.4132153846,10.655046442189771,8.31541026035514,32.25622339025952,46.81743901008842,53.73615784515472,4,0.054714202860488004
4,107723.42537142856,183309.4027142857,93.36373373435639,68.54039365221621,73.02465471012452,70.07478747910753,83.98271097565151,5,0.054714202860488004
5,107742.897625,183330.1258375,50.890172425395086,35.962601697702176,35.04440525208869,41.62820438182476,39.759413004214835,6,0.054714202860488004
6,107806.75527500005,183274.783715,90.04813827771275,82.41402370396577,83.68273972323776,85.40102038261386,58.136915812603306,7,0.054714202860488004
7,107758.59205999998,183312.54344,21.010275186405728,33.95293402824769,25.032119498571205,24.782685550791534,35.5407373805596,8,0.054714202860488004
8,107776.02779,183310.31861,67.40819980971145,77.35319265437451,74.78298524541917,83.23721535211529,82.93143665918844,9,0.054714202860488004
9,107726.3215,183318.8376333333,83.2807001321151,96.16629672850667,69.96869327879524,81.37587639035424,84.19574201379832,10,0.054714202860488004
10,107766.74172,183327.35406,19.07909194271462,22.648562222908968,28.89675571181902,31.187403680263277,29.78101972168736,11,0.054714202860488004
11,107777.3121,183299.6196181818,81.0422779767422,75.59032785731831,80.58064294011939,76.80538111885373,88.37193979864873,12,0.054714202860488004
12,107751.80372307693,183298.45846153845,89.77815710301368,83.79798384526693,76.68765818461098,57.176489078362344,65.8876852883205,13,0.054714202860488004
13,107732.68432857144,183327.47648571432,76.9448441434252,73.27270204965917,72.24829076753784,70.10129806618177,71.87292476914686,14,0.054714202860488004
14,107776.37651111111,183291.22352222225,92.83904986713127,61.29782033944983,70.48894440145827,82.34621551922791,72.62949809811087,15,0.054714202860488004
