,Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,0,107719.9979,183326.6793,50.84482745922603,65.94611181294188,91.31063140972677,112.69187120047724,72.74557170216804,1,-0.4548827321810442
1,1,107755.6395,183331.2104,50.31309593024864,106.71570908973968,77.642906244237,105.75541593814516,70.95361046330507,2,-0.4548827321810442
2,2,107797.4476,183278.6469,88.6473243056687,136.8992379061468,173.21218377395323,163.01017807615332,108.94730792808764,3,-0.4548827321810442
3,3,107764.0831,183318.0822,48.51274840769349,45.18433908357824,105.396823108455,120.25515271845975,69.65298204778959,4,-0.4548827321810442
4,4,107723.0048,183309.1898,60.114708653345566,78.95809767761206,116.22182621954578,106.67102011585295,61.09188861514248,5,-0.4548827321810442
5,5,107742.871,183330.0981,30.69516467984,74.18332577812932,106.05956665910148,101.77937532193395,83.97293504466553,6,-0.4548827321810442
6,6,107806.7161,183274.99,87.72916620547666,126.09301972787712,141.2592412463844,160.3444256617801,111.58797239036188,7,-0.4548827321810442
7,7,107758.6659,183312.5732,26.218683369935043,70.54701657275801,132.818442168111,104.06059497914347,73.25437406248271,8,-0.4548827321810442
8,8,107775.383,183309.8767,77.71029705426692,67.75287086535513,101.17704852910008,102.22911616459284,94.3584359659316,9,-0.4548827321810442
9,9,107726.3815,183318.7508,83.32533294470409,86.39611046849794,96.08335982360096,97.992544930039,65.56062167241024,10,-0.4548827321810442
10,10,107766.4694,183327.2822,29.57423037594488,73.7710179465425,101.30759896542398,121.97227491339332,92.38248731695774,11,-0.4548827321810442
11,11,107777.0025,183299.3846,76.68143815211623,66.60715802187906,93.19969494930712,101.40579910463282,100.1688089515457,12,-0.4548827321810442
12,12,107752.314,183298.7686,89.80736749747108,125.1707325604496,84.98371309625497,99.0050587400562,89.05554664358694,13,-0.4548827321810442
13,13,107732.7209,183327.4299,35.55246161680285,72.15682448132083,103.80279470504124,97.14074574823468,89.1092766170469,14,-0.4548827321810442
14,14,107776.5235,183291.4178,80.46878119427093,89.54754175854424,123.39825258745184,124.6625485063798,93.18600237709104,15,-0.4548827321810442
