,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,107719.9979,183326.6793,90.0470354374462,81.83241584849178,58.24330909406168,54.04597872549583,62.28426010376838,56.293127996175826,53.81330232416526,26.323836948778013,1,-0.4101341087893966
1,107755.6395,183331.2104,20.995771206438953,22.16620310045972,30.806453430227858,49.22602108590465,22.786958305915213,39.77486142343741,36.130121349752834,33.57498640168055,2,-0.4101341087893966
2,107797.4476,183278.6469,52.98974843888275,71.66337758462699,96.67858104783353,84.08330373984236,67.50083347069332,99.45920459206066,79.35293491095193,77.61400008945024,3,-0.4101341087893966
3,107764.0831,183318.0822,39.188330201860005,26.967263839903268,19.87893545644298,9.732065030709276,25.315481391243967,16.610032876168624,31.16561965744721,12.746212328336512,4,-0.4101341087893966
4,107723.0048,183309.1898,93.94243163848091,73.35652622043766,74.97367379217383,50.21894192207936,68.04121872496604,57.28726253109695,54.08543844610111,38.65919762463865,5,-0.4101341087893966
5,107742.871,183330.0981,46.82950105334866,46.993386650885014,67.1402030896626,55.48328033733079,51.30611062935446,54.502968589752115,35.634230584235354,21.75926447223242,6,-0.4101341087893966
6,107806.7161,183274.99,95.26984902097888,91.53662264760874,75.86278823347293,69.5370226132095,86.08113423258531,84.6153172633966,86.39277139650072,63.8838101366539,7,-0.4101341087893966
7,107758.6659,183312.5732,40.33308512866816,40.07172595495125,26.95492689629168,22.625315065888234,35.15337748655649,20.37121038994967,22.88629407323,41.87331205278117,8,-0.4101341087893966
8,107775.383,183309.8767,79.49432152143955,91.42243404842719,71.16228789288219,57.370605704516855,53.70377328199346,72.36542384812407,75.58020043944856,75.7659311735534,9,-0.4101341087893966
9,107726.3815,183318.7508,75.45542953328459,80.96328727067709,59.74092437698495,49.62958327396534,78.11998521264363,82.90051750286284,79.15868978297199,59.71994386289596,10,-0.4101341087893966
10,107766.4694,183327.2822,27.203225834818177,25.079110229148288,32.533853081867925,27.387314732478483,36.17427593375874,34.09061390624713,16.81563475480953,26.80046167540545,11,-0.4101341087893966
11,107777.0025,183299.3846,71.18531005933454,84.6309682534402,88.57926328755552,82.04720644240457,61.43969693131114,60.45018316113876,60.57602678741389,77.1502826426453,12,-0.4101341087893966
12,107752.314,183298.7686,68.49921330284445,77.14078187855924,68.68531226556722,79.83690174967643,50.52257832210719,73.24775514496987,55.91679394334379,89.26627020184057,13,-0.4101341087893966
13,107732.7209,183327.4299,73.56261321113062,77.18734621222022,71.29251985320273,70.15314892993715,64.0299968251863,44.576298186702275,69.03428973312874,71.69038503229213,14,-0.4101341087893966
14,107776.5235,183291.4178,79.76089486268745,94.55528468265541,88.84729311764904,79.05531493735751,70.47849078012855,44.54468203715444,62.05359905415586,85.70967995720115,15,-0.4101341087893966
