,Unnamed: 0,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,0,41564.53508,204206.635,64.1307810015392,83.14299155304079,85.01305862345365,69.74935915425479,72.92128719213372,63.24710226680306,71.91041540969233,91.07222484779167,2001,-182.00118440131467
1,1,41548.70351,204311.6093,73.94070662944881,67.1725475598452,34.29464979192571,46.371335201447415,86.78509890363893,64.73536295798287,81.91634591979485,90.81771666649658,2002,-182.00118440131467
2,2,41589.68646,204167.8156,81.80434344528592,62.3082388961594,52.23863814499646,61.5866822632613,64.70297879159564,83.92357461165021,88.94279272005943,94.79983508208925,2003,-182.00118440131467
3,3,41668.92012,204238.2888,64.65645439077927,84.58782521086057,69.98832107556721,36.65206423105812,78.2671182285364,91.92105941281352,75.22056848090318,88.74092003548995,2004,-182.00118440131467
4,4,41521.64592,204334.5815,74.04258953759624,85.48799266225632,37.26070572805409,80.56275195834817,52.816423391150735,68.75275411942118,84.66479285072731,91.26442375899788,2005,-182.00118440131467
5,5,41617.05436,204259.0171,86.83245628967728,73.92894952266619,70.24100645252341,57.04016200176208,45.335707434797214,90.54141751275556,79.13887702551635,93.04976944128812,2006,-182.00118440131467
6,6,41576.95294,204271.2311,57.126334580584064,78.50994636504207,82.75823783179592,64.27165371065429,39.97728969745648,74.80225056387465,88.11424217324935,90.94426243121325,2007,-182.00118440131467
7,7,41533.54743,204357.0333,86.07327547313126,74.28053091932617,79.36933680655746,99.55731626709056,92.7648919302348,97.50319093992536,22.07539594487798,92.67510996552292,2008,-182.00118440131467
8,8,41642.94946,204299.055,58.560312720428655,56.36912166681743,59.653812312476845,62.08716994536852,56.93337149255633,66.1681005268664,88.64163077591141,98.39781252109935,2009,-182.00118440131467
9,9,41701.0223,204261.7069,74.22155595384422,72.19403285628042,48.28242746044717,75.17317707014108,60.838863246795896,48.629774779423,83.08734363279353,85.44568841110372,2010,-182.00118440131467
10,10,41513.61527,204286.1329,90.2543581936096,83.08094764921839,62.64519964001264,65.37945917417441,82.91359265837814,56.62374085808715,72.5320815121742,99.284060413705,2011,-182.00118440131467
11,11,41619.48192,204273.3088,40.80989534619552,75.36259490157568,71.96423875414554,61.59733081765537,86.73531405516763,77.60753718004443,81.37930883405323,93.82162144261848,2012,-182.00118440131467
12,12,41684.4859,204247.3604,15.194499158030464,65.92811508667106,97.25353176173532,74.09892144448524,93.15710095478576,97.24847432661626,66.15196716067047,89.0617915210356,2013,-182.00118440131467
13,13,41591.14582,204181.2118,56.11166603815144,79.3944827393134,66.08053182985813,61.642861536968375,59.99650859772712,68.14587142779564,83.49609042829081,94.86298710118,2014,-182.00118440131467
14,14,41563.2081,204364.9004,82.65243298166823,91.8030799092805,73.08123839658006,61.49474056329497,81.07784557475131,69.88734057207827,87.47502395215453,94.01103600140014,2015,-182.00118440131467
