,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,97.99150520947184,76.91423634745837,43.73105251236737,48.772804627491396,6.724795595187031,1
1,107755.86151818182,183331.1214,10.806621602685432,38.77549963144623,27.747072907813408,29.701099139425345,35.597413161192,2
2,107797.93544545454,183278.9048727273,89.91160787295686,87.41813858860604,89.9390743027305,74.82489835290428,70.0625231349594,3
3,107764.40281538464,183318.4132153846,13.873231576548962,16.370858558183173,11.881437602808543,16.691444360194378,48.908154674145244,4
4,107723.42537142856,183309.4027142857,86.89865246342521,94.38337355704454,75.99911260662499,85.06513408203749,35.91088435460354,5
5,107742.897625,183330.1258375,66.16990141129976,20.01145176502606,30.44007661709774,31.25205681118361,38.14380146459733,6
6,107806.755275,183274.783715,96.67491285146522,78.68105224619043,86.06037643602048,94.0775418444861,87.61193461101345,7
7,107758.59206,183312.54344,37.352708206683644,4.775453529677579,11.696713903174912,4.986740227711119,70.65190634267165,8
8,107776.02779,183310.31861,73.85286961261666,53.58823631824656,54.71757744813762,64.74861941431296,93.41357371918254,9
9,107726.3215,183318.8376333333,87.40105640706723,95.79502133172952,91.62102080610634,77.33271670931647,48.470093416928776,10
10,107766.74172,183327.35406,19.320048196442002,15.099981386526295,34.056409852107905,34.43759664616,34.05561446309877,11
11,107777.31210000002,183299.6196181818,58.20133283678955,81.73354832758099,91.05229359875761,92.01529368602888,76.66185381882902,12
12,107751.80372307693,183298.45846153845,89.96314711124298,71.85868427879424,70.80869489919093,52.53376977390093,76.11615225377466,13
13,107732.68432857144,183327.4764857143,92.34226580650112,50.04332103433324,43.49271573010665,72.33483813725488,69.43652094191496,14
14,107776.3765111111,183291.22352222225,78.83602140125109,77.67258507053698,86.15102388129624,97.52050000437006,73.75531749141467,15
