,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41564.53508,204206.635,51.06145983041161,181.51517577107165,253.39275343549187,215.1692577094272,388.7727937508096,2001
1,41548.70351,204311.6093,43.42041742774607,105.2923331737214,251.9070128122238,187.89853407820965,276.9023222199342,2002
2,41589.68646,204167.8156,46.765781315291676,172.06182074683005,262.3695018780092,229.88435683104242,464.1502286595243,2003
3,41668.92012,204238.2888,43.58459231779843,220.8769824136327,193.14109123549457,213.56487534105355,455.47387743519545,2004
4,41521.64592,204334.5815,68.76433211842907,204.02246080589396,243.41355225375855,376.9360884270884,319.451764041572,2005
5,41617.05436,204259.0171,50.911413772189256,149.5446745071749,260.24513544337685,230.54924596395338,349.41706006222904,2006
6,41576.95294,204271.2311,40.13352540250943,84.509732654477,188.46581975074636,249.23687025559582,280.269337926748,2007
7,41533.54743,204357.0333,63.33488060839942,148.76017194413222,253.17548776624344,329.2351163221818,255.2185011040047,2008
8,41642.94946,204299.055,79.67234336664768,128.35962828827334,139.62554488642783,259.1057507043662,299.2689030081384,2009
9,41701.0223,204261.7069,63.5370125743079,163.1482240660981,226.60031972383905,435.66792951976845,422.78131768022956,2010
10,41513.61527,204286.1329,80.60981049807567,244.86568158488262,258.14639074895956,241.3243982639034,317.87302155403955,2011
11,41619.48192,204273.3088,66.83557678673098,94.77267162434066,253.77930189188532,144.01259525907918,271.18231558063667,2012
12,41684.4859,204247.3604,56.361803760022234,174.47644240070716,415.98411554311855,487.5097550161976,462.0755985500742,2013
13,41591.14582,204181.2118,35.31490242771078,137.40054617451375,162.82285533179854,272.0462132988211,457.6888512728079,2014
14,41563.2081,204364.9004,67.77581193393848,366.21320136103725,204.8715832081209,237.55471725133626,295.78799978047203,2015
