,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,41564.53508,204206.635,45.91473136074864,55.385234054009025,91.08531810152826,229.4917678034429,216.00943220941866,300.52132659630627,295.5138733552768,468.88407779675873,2001,0.017181286463535894
1,41548.70351,204311.6093,52.965728258391096,107.9042185175467,160.15880149254156,129.3056134853771,124.61442284021278,298.83436399914046,327.47953110545336,377.852767999236,2002,0.017181286463535894
2,41589.68646,204167.8156,51.942356930685136,64.97808458289258,136.2279568906513,163.2132420864198,379.9625921705427,390.94893611174837,556.4432677012446,675.7654593238877,2003,0.017181286463535894
3,41668.92012,204238.2888,49.312258206320706,53.095650522904265,159.66978871806563,212.67825757346617,279.064343800999,387.9447434380461,536.2618998632466,671.1901736379148,2004,0.017181286463535894
4,41521.64592,204334.5815,53.48749778662604,81.09121413980469,172.69069351207028,234.26910291556868,288.7838707801827,400.4123408992752,496.58971982478585,608.4673226623803,2005,0.017181286463535894
5,41617.05436,204259.0171,41.545658578605426,33.18542466775724,135.56742896217213,201.69771687103645,238.24031557574912,315.29487522060055,376.10207047088846,615.5464068673865,2006,0.017181286463535894
6,41576.95294,204271.2311,51.8233167299767,73.80752073318664,145.33408938909523,160.8872721797247,145.62258206124292,150.89988711920873,327.777239150834,500.4811572531164,2007,0.017181286463535894
7,41533.54743,204357.0333,45.77353520847247,72.00403513240319,88.0069530119302,140.63930821504889,209.39723131997582,264.98733997231574,367.0979820104184,529.769379205977,2008,0.017181286463535894
8,41642.94946,204299.055,48.75757486687631,60.82145141793847,70.11112989000408,205.90209159660026,188.9806251769941,237.26796205796933,479.47052403441444,477.9125890228454,2009,0.017181286463535894
9,41701.0223,204261.7069,54.65612122490263,49.36792092760499,196.2083753382709,291.9363157123525,304.2650277986209,554.9813262828402,654.9291264330903,753.4396211510885,2010,0.017181286463535894
10,41513.61527,204286.1329,44.828049246156816,78.25622775449297,126.95631386744766,225.9295281292412,276.94361632383675,411.09516765789925,410.32051154025805,473.5997560265998,2011,0.017181286463535894
11,41619.48192,204273.3088,60.22090014425442,79.1562514700377,188.6038604303576,127.59360050695481,142.2595965553505,207.4232402793112,320.38725374409296,354.925029940308,2012,0.017181286463535894
12,41684.4859,204247.3604,59.26739387902953,100.60492468966896,120.27607602337507,235.73807088069287,399.6729813876097,498.9770347193867,745.584514083381,870.7383042929328,2013,0.017181286463535894
13,41591.14582,204181.2118,54.64413392666082,87.799060242343,182.32793523051527,273.1303887318893,373.0110465232945,433.4120553051682,657.4915776112018,684.3416941012418,2014,0.017181286463535894
14,41563.2081,204364.9004,50.49734975470769,101.53542187852524,162.99120008396892,233.797415490679,372.29159850758043,344.6159176383874,462.75479218530245,554.9237263674519,2015,0.017181286463535894
