,Unnamed: 0,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,0,41564.53508,204206.635,11.862998648499138,77.47526424680164,53.435389437799245,88.32767985730575,82.23510963947625,47.7308030037622,99.236530043001,95.89248941499775,2001,-463.9770023780674
1,1,41548.70351,204311.6093,47.24483776000564,90.62338743126357,43.61856924340972,88.04968542332956,80.19588158185782,92.43028134618612,84.62947358439015,91.99614569291283,2002,-463.9770023780674
2,2,41589.68646,204167.8156,77.18309888354058,74.98488889586274,51.59465192645958,62.906460890072616,89.89498576362543,68.71690352244069,82.87292094147463,91.47826041164691,2003,-463.9770023780674
3,3,41668.92012,204238.2888,80.82957240318616,65.15603439865883,79.79563078720314,82.62781283870261,89.98261770132085,76.69240218876574,73.90181261949034,91.30720302444035,2004,-463.9770023780674
4,4,41521.64592,204334.5815,57.31469137184216,92.87396172815068,32.249313213776404,84.8477540134114,79.66818000713478,82.34343968004431,76.44049372463425,87.08060568150421,2005,-463.9770023780674
5,5,41617.05436,204259.0171,94.45073931965896,90.1034290854809,93.72128943471276,56.633311594045495,42.06052963396774,66.67777900790027,94.55292782765952,80.37272089223198,2006,-463.9770023780674
6,6,41576.95294,204271.2311,68.56104144523043,57.51386436980709,79.24324446469126,71.95765424676316,85.31688779119992,97.33737855761368,82.16266571048654,95.35036265845544,2007,-463.9770023780674
7,7,41533.54743,204357.0333,79.37280053932497,76.42717541309817,75.39319153225829,86.29695662417191,80.1812889661974,79.43738892963238,74.55550919006583,86.59632222722642,2008,-463.9770023780674
8,8,41642.94946,204299.055,86.57613785540322,39.77691343806586,74.23735776375514,39.44358399538677,75.00558711640112,95.47202418208585,89.36669883729385,93.93340634999248,2009,-463.9770023780674
9,9,41701.0223,204261.7069,95.53941016074138,38.31134698767821,41.5954218879088,62.22406028895081,81.20703810300857,90.5896235966148,64.06972012808156,96.72487340609364,2010,-463.9770023780674
10,10,41513.61527,204286.1329,85.15562713547769,45.69507392714736,80.46952986952468,76.69127112138858,67.89893500947602,92.8648864522409,86.76767324065837,81.00620298699809,2011,-463.9770023780674
11,11,41619.48192,204273.3088,58.727568432801455,84.66057751394712,48.50875851815449,75.7560434528231,92.25680042323113,70.81304473652763,74.85987111136545,88.05759635331547,2012,-463.9770023780674
12,12,41684.4859,204247.3604,74.37763857106016,76.49719597848787,69.97369682473911,90.71788655793344,71.63275730702198,81.49187371108293,48.31467958362577,81.48998396978327,2013,-463.9770023780674
13,13,41591.14582,204181.2118,41.36180272426052,67.998611511567,54.47751521954467,62.81422124994148,56.91027884343398,58.27305271839039,76.07657408603404,93.41700988799582,2014,-463.9770023780674
14,14,41563.2081,204364.9004,85.35213865868089,87.39614183826912,58.67428809480997,75.4156400651241,88.09095260376658,73.27646283864163,81.97261055839343,89.38336025534002,2015,-463.9770023780674
