,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,107719.9937888889,183326.6925333333,89.24520325072092,91.66798098582821,94.4824546648766,59.33588498598436,51.819931031191075,31.859884831848614,34.182107854620504,21.582585562266978,1
1,107755.86151818182,183331.1214,22.394543337970475,31.588155169689834,37.212861872152956,31.690932701023264,40.18180028506062,47.249605527716874,29.767664966414518,19.559022943458167,2
2,107797.93544545454,183278.9048727273,91.00528554468167,95.15346093756621,85.77923141351448,71.82538910831201,47.878908506946054,72.61476183064778,59.71804034592747,77.1585492247146,3
3,107764.40281538464,183318.4132153846,8.457310682648892,42.960105451806854,60.57996820082381,33.25253886363264,8.37659779162426,14.024140332238012,18.102615830030604,17.437316155488897,4
4,107723.42537142856,183309.4027142857,89.6289505147931,82.42835620557861,64.8821325066535,67.9279574323367,93.94998946438044,53.17021851674136,59.24648543811468,16.431115082260874,5
5,107742.897625,183330.1258375,54.028182779426764,59.469544084445694,34.37433269649032,34.81566887971918,47.63503307149741,43.55615532910253,17.076198957250046,33.784001516007024,6
6,107806.755275,183274.783715,48.40044877071097,94.61655116348575,73.14802392134528,88.03089660914921,53.5146070260688,78.69628398449868,87.44305604301903,80.03316231969342,7
7,107758.59206,183312.54344,21.04710454530969,12.15458255636317,28.01327030698079,27.862091352839496,44.273383566739824,62.93486820472907,22.17899129879982,22.19634873573382,8
8,107776.02779,183310.31861,65.64656357069605,79.7318849688464,88.93503819408186,83.81726073892342,71.0725730221435,79.1842620387641,75.2206894436382,80.0113231101695,9
9,107726.3215,183318.8376333333,87.61878956563424,92.00989225733703,83.98489609309155,58.50464519290863,62.53921081449746,63.14023393943761,52.94949401768877,67.13396615378004,10
10,107766.74172,183327.35406,28.846803875836766,16.032018009259968,38.842645738349596,39.659209924628215,48.340441735464374,39.30938241097737,31.252801523935766,35.603469389741505,11
11,107777.31210000002,183299.6196181818,78.23663387521039,75.91798544968515,61.35232441410877,84.80065887465292,71.34131125939393,86.80710631056353,71.5366749551669,86.28435061661727,12
12,107751.80372307693,183298.45846153845,82.27157432012781,78.46669350511687,88.26161309929864,90.93130534278642,86.4028204580805,78.5749018423047,76.22354109363587,50.993055412793126,13
13,107732.68432857144,183327.4764857143,88.41043101207647,57.415272503195794,25.72138164624768,62.796927344355,72.2505433140539,85.28457967382332,77.37994527873374,60.860779194575954,14
14,107776.3765111111,183291.22352222225,61.25128865767099,80.32387906251758,51.17293248583003,74.26409464121642,64.32668862396328,79.63084789508387,77.86546527472518,76.91044813273096,15
