,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41565.59265666668,204206.96052222225,-24.57541514997223,32.273432595301166,185.2926591512387,428.6723052727891,709.736949032106,2001
1,41549.1776,204310.533875,115.44352704976453,101.23871065743474,141.46634270541372,251.602128968587,415.8746298676047,2002
2,41589.569225,204168.115775,-17.77619544891858,61.265524348163524,247.8837526066706,528.7787674703435,839.8530401634968,2003
3,41668.75582,204238.61746666665,-16.18477032485093,61.67476544456267,244.14361098592315,515.7570829605445,811.9616689042585,2004
4,41521.489305,204334.882175,139.69152619717607,156.82619765818754,250.88271825413503,425.9609246472203,646.054270789295,2005
5,41617.044348,204259.03512,-0.9692100880650472,65.6949232194398,213.02135120088153,428.7218207824003,663.106624213781,2006
6,41576.955798,204271.22694,-51.56685314298393,3.9680789202979696,148.9950129918663,377.38198951306737,639.6212142284155,2007
7,41532.757848,204357.01175,113.48129112816746,112.57434612795451,178.14850853832957,320.79791681631025,514.7871255189137,2008
8,41642.451125,204298.9764,15.04740555155037,47.96234977068765,150.84469735006428,322.3439424291053,526.2060052846138,2009
9,41701.9493775,204262.2071625,33.210955678292976,113.00754125476534,292.4119825907733,553.7516556144973,833.2519363964608,2010
10,41513.514865000005,204286.3595,145.04437045986532,149.4144627220577,224.94265546259825,378.9881717099672,580.744867004405,2011
11,41619.62907333334,204273.00583333336,-56.724445265932964,-18.89052684115239,109.53494547366704,314.00918149204233,535.7381936754448,2012
12,41684.651975,204247.00405,9.964166211823347,105.74454511870243,324.67998234025816,649.3200562556615,1004.6071505240128,2013
13,41591.159478,204181.23082,-12.327568592634535,63.88378070677307,242.71143507802864,510.26525826259103,804.3671415947249,2014
14,41562.70514875,204364.9238625,205.08918867047964,187.2010712817909,228.61885920472662,343.9826803880293,513.9522838354433,2015
