,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,107719.99378888888,183326.6925333333,118.16390307618292,68.07132667019971,41.328544825316534,27.404270623393174,24.064455921017284,1,0.8990052699685097
1,107755.8615181818,183331.12140000003,35.97171636081082,17.91386844601508,19.066033122510227,26.53240210059759,33.47233194141602,2,0.8990052699685097
2,107797.93544545454,183278.9048727273,115.19195473937395,109.77735932821402,130.8459664738223,153.89459556353845,168.2206278743708,3,0.8990052699685097
3,107764.40281538464,183318.4132153846,28.487113322695308,2.060672313513377,1.4965427244859453,13.916203464401459,27.97158073160729,4,0.8990052699685097
4,107723.42537142856,183309.4027142857,151.8808477169599,89.24482039938398,51.89667999133673,29.125169068014248,20.751539035973906,5,0.8990052699685097
5,107742.897625,183330.1258375,62.91935710051805,36.97373432682049,29.80213066356226,29.29655588372298,31.202434642328907,6,0.8990052699685097
6,107806.75527500005,183274.783715,99.18589675721113,94.77078791125525,123.06410153425188,154.3527867094678,173.8644067998167,7,0.8990052699685097
7,107758.59205999998,183312.54344,36.16251807196362,13.74143627772512,12.950649941198913,22.2859561580049,32.983488221250184,8,0.8990052699685097
8,107776.02779,183310.31861,63.38711476736939,57.94516850281917,72.37369053213233,88.54104502085502,98.42879812642302,9,0.8990052699685097
9,107726.3215,183318.8376333333,157.18155064164432,102.00846607492008,69.33703947903865,46.3025113093298,34.84809302244865,10,0.8990052699685097
10,107766.74172,183327.35406,25.79284737014242,12.66043609297402,18.81214022848394,31.644707080313896,42.60285517514838,11,0.8990052699685097
11,107777.3121,183299.6196181818,60.024102329161565,59.790705725997576,80.59683109379382,102.37391278723832,115.42397764711484,12,0.8990052699685097
12,107751.80372307693,183298.45846153845,116.73006769113017,80.28074839941044,67.27486923737192,60.77535275238705,58.001730333768286,13,0.8990052699685097
13,107732.68432857144,183327.47648571432,87.63653934416523,64.09275256375354,60.94359249631948,61.990005368461176,62.96052635863018,14,0.8990052699685097
14,107776.37651111111,183291.22352222225,93.23232214017642,81.53008448422355,93.49284870434849,109.33492416750018,120.27954058021088,15,0.8990052699685097
