DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20220817,141122.38,,,,,,,,,$PDLM1,152251,+71.8,+0.83,+22.8,-0.04,,,,,,,
20220817,141122.4,,,,,,,,,$PDLM2,152251,+121.3,+4.79,+62.9,+1.31,,,,,,,
20220817,141122.41,,,,,,,,,$PDLM4,152251,+146.8,+16.11,+130.2,+7.77,,,,,,,
20220817,141122.42,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141122.58,,,,,,,,,$PDLM1,152251,+72.5,+0.85,+22.5,-0.05,,,,,,,
20220817,141122.6,,,,,,,,,$PDLM2,152251,+122.1,+4.90,+62.6,+1.29,,,,,,,
20220817,141122.61,,,,,,,,,$PDLM4,152251,+147.4,+16.45,+129.5,+7.66,,,,,,,
20220817,141122.62,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141122.78,,,,,,,,,$PDLM1,152251,+72.7,+0.84,+22.6,-0.05,,,,,,,
20220817,141122.8,,,,,,,,,$PDLM2,152251,+122.1,+4.89,+62.8,+1.29,,,,,,,
20220817,141122.81,,,,,,,,,$PDLM4,152251,+147.4,+16.34,+129.3,+7.65,,,,,,,
20220817,141122.82,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141122.98,,,,,,,,,$PDLM1,152252,+72.0,+0.82,+22.9,-0.05,,,,,,,
20220817,141123.0,,,,,,,,,$PDLM2,152252,+121.4,+4.79,+63.1,+1.30,,,,,,,
20220817,141123.01,,,,,,,,,$PDLM4,152252,+147.1,+16.08,+130.1,+7.58,,,,,,,
20220817,141123.03,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.6,,,,,,,,
20220817,141123.17,,,,,,,,,$PDLM1,152252,+71.6,+0.83,+22.9,-0.05,,,,,,,
20220817,141123.19,,,,,,,,,$PDLM2,152252,+121.5,+4.77,+63.3,+1.31,,,,,,,
20220817,141123.21,,,,,,,,,$PDLM4,152252,+147.2,+16.06,+130.7,+7.61,,,,,,,
20220817,141123.22,,,,,,,,,$PDLMA,+12.45,+24.8,-0.3,-4.7,,,,,,,,
20220817,141123.37,,,,,,,,,$PDLM1,152252,+72.0,+0.84,+22.9,-0.05,,,,,,,
20220817,141123.39,,,,,,,,,$PDLM2,152252,+121.9,+4.77,+63.7,+1.30,,,,,,,
20220817,141123.41,,,,,,,,,$PDLM4,152252,+147.2,+16.06,+130.6,+7.85,,,,,,,
20220817,141123.43,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.6,,,,,,,,
20220817,141123.57,,,,,,,,,$PDLM1,152252,+72.2,+0.83,+22.6,-0.04,,,,,,,
20220817,141123.59,,,,,,,,,$PDLM2,152252,+121.8,+4.76,+63.2,+1.30,,,,,,,
20220817,141123.61,,,,,,,,,$PDLM4,152252,+147.1,+16.02,+130.2,+7.91,,,,,,,
20220817,141123.63,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.6,,,,,,,,
20220817,141123.77,,,,,,,,,$PDLM1,152252,+72.2,+0.83,+22.7,-0.04,,,,,,,
20220817,141123.82,,,,,,,,,$PDLM2,152252,+121.3,+4.73,+63.1,+1.30,,,,,,,
20220817,141123.84,,,,,,,,,$PDLM4,152252,+146.9,+15.91,+130.5,+7.91,,,,,,,
20220817,141123.86,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141123.97,,,,,,,,,$PDLM1,152253,+72.1,+0.81,+23.0,-0.04,,,,,,,
20220817,141124,20908,2.8180820,51.1390115,2,46.5,0,136,gps,,,,,,,,,,,,,
20220817,141124.02,,,,,,,,,$PDLM2,152253,+121.1,+4.61,+64.0,+1.35,,,,,,,
20220817,141124.04,,,,,,,,,$PDLM4,152253,+146.6,+15.40,+132.0,+7.94,,,,,,,
20220817,141124.06,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141124.16,,,,,,,,,$PDLM1,152253,+72.1,+0.81,+23.1,-0.04,,,,,,,
20220817,141124.19,,,,,,,,,$PDLM2,152253,+121.3,+4.63,+64.1,+1.33,,,,,,,
20220817,141124.21,,,,,,,,,$PDLM4,152253,+146.5,+15.51,+131.9,+7.91,,,,,,,
20220817,141124.24,,,,,,,,,$PDLMA,+12.45,+24.8,-0.3,-4.6,,,,,,,,
20220817,141124.36,,,,,,,,,$PDLM1,152253,+72.2,+0.82,+22.7,-0.04,,,,,,,
20220817,141124.39,,,,,,,,,$PDLM2,152253,+121.6,+4.75,+63.3,+1.30,,,,,,,
20220817,141124.42,,,,,,,,,$PDLM4,152253,+146.8,+15.98,+131.0,+7.78,,,,,,,
20220817,141124.44,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141124.56,,,,,,,,,$PDLM1,152253,+72.4,+0.82,+22.6,-0.04,,,,,,,
20220817,141124.59,,,,,,,,,$PDLM2,152253,+121.6,+4.76,+62.8,+1.31,,,,,,,
20220817,141124.62,,,,,,,,,$PDLM4,152253,+147.0,+16.04,+130.5,+7.95,,,,,,,
20220817,141124.65,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141124.76,,,,,,,,,$PDLM1,152253,+72.2,+0.82,+22.8,-0.04,,,,,,,
20220817,141124.79,,,,,,,,,$PDLM2,152253,+121.5,+4.75,+63.0,+1.31,,,,,,,
20220817,141124.82,,,,,,,,,$PDLM4,152253,+147.0,+16.02,+130.5,+8.05,,,,,,,
20220817,141124.85,,,,,,,,,$PDLMA,+12.48,+24.8,-0.3,-4.6,,,,,,,,
20220817,141124.96,,,,,,,,,$PDLM1,152254,+72.3,+0.82,+23.1,-0.04,,,,,,,
20220817,141125,20908,2.8180820,51.1390115,2,46.5,0,136,gps,,,,,,,,,,,,,
20220817,141125.04,,,,,,,,,$PDLM2,152254,+121.6,+4.74,+63.6,+1.32,,,,,,,
20220817,141125.05,,,,,,,,,$PDLM4,152254,+146.9,+16.05,+130.8,+8.01,,,,,,,
20220817,141125.05,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.6,,,,,,,,
20220817,141125.11,,,,,,,,,$PDLM1,152254,+71.0,+0.81,+23.5,-0.04,,,,,,,
20220817,141125.12,,,,,,,,,$PDLM2,152254,+121.1,+4.68,+64.8,+1.34,,,,,,,
20220817,141125.13,,,,,,,,,$PDLM4,152254,+146.6,+16.03,+131.8,+7.99,,,,,,,
20220817,141125.14,,,,,,,,,$PDLMA,+12.45,+24.8,-0.3,-4.6,,,,,,,,
20220817,141125.31,,,,,,,,,$PDLM1,152254,+65.3,+0.73,+25.6,-0.03,,,,,,,
20220817,141125.32,,,,,,,,,$PDLM2,152254,+118.5,+4.35,+69.0,+1.39,,,,,,,
20220817,141125.35,,,,,,,,,$PDLM4,152254,+145.6,+15.49,+133.5,+8.04,,,,,,,
20220817,141125.36,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.6,,,,,,,,
20220817,141125.51,,,,,,,,,$PDLM1,152254,+66.3,+0.74,+25.3,-0.04,,,,,,,
20220817,141125.52,,,,,,,,,$PDLM2,152254,+118.8,+4.41,+68.0,+1.34,,,,,,,
20220817,141125.55,,,,,,,,,$PDLM4,152254,+145.9,+15.53,+133.2,+7.75,,,,,,,
20220817,141125.57,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141125.71,,,,,,,,,$PDLM1,152254,+71.6,+0.82,+22.9,-0.05,,,,,,,
20220817,141125.72,,,,,,,,,$PDLM2,152254,+120.9,+4.74,+63.3,+1.23,,,,,,,
20220817,141125.75,,,,,,,,,$PDLM4,152254,+146.7,+16.02,+131.6,+7.18,,,,,,,
20220817,141125.77,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141125.91,,,,,,,,,$PDLM1,152255,+72.2,+0.83,+22.6,-0.04,,,,,,,
20220817,141126,20908,2.8180820,51.1390115,2,46.5,0,136,gps,,,,,,,,,,,,,
20220817,141126.02,,,,,,,,,$PDLM2,152255,+120.9,+4.77,+62.7,+1.30,,,,,,,
20220817,141126.04,,,,,,,,,$PDLM4,152255,+146.8,+16.03,+130.3,+7.74,,,,,,,
20220817,141126.06,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141126.18,,,,,,,,,$PDLM1,152255,+72.2,+0.83,+22.8,-0.04,,,,,,,
20220817,141126.2,,,,,,,,,$PDLM2,152255,+121.2,+4.75,+62.7,+1.36,,,,,,,
20220817,141126.23,,,,,,,,,$PDLM4,152255,+147.1,+16.00,+129.8,+7.99,,,,,,,
20220817,141126.25,,,,,,,,,$PDLMA,+12.45,+24.8,-0.3,-4.7,,,,,,,,
20220817,141126.38,,,,,,,,,$PDLM1,152255,+72.2,+0.83,+23.0,-0.04,,,,,,,
20220817,141126.4,,,,,,,,,$PDLM2,152255,+121.2,+4.75,+63.4,+1.33,,,,,,,
20220817,141126.43,,,,,,,,,$PDLM4,152255,+147.0,+16.02,+130.6,+7.84,,,,,,,
20220817,141126.45,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141126.58,,,,,,,,,$PDLM1,152255,+73.0,+0.84,+22.7,-0.05,,,,,,,
20220817,141126.6,,,,,,,,,$PDLM2,152255,+121.4,+4.74,+63.5,+1.28,,,,,,,
20220817,141126.63,,,,,,,,,$PDLM4,152255,+147.0,+16.01,+131.4,+7.66,,,,,,,
20220817,141126.66,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.7,,,,,,,,
20220817,141126.78,,,,,,,,,$PDLM1,152255,+78.8,+0.90,+20.3,-0.06,,,,,,,
20220817,141126.8,,,,,,,,,$PDLM2,152255,+123.8,+4.69,+59.2,+1.23,,,,,,,
20220817,141126.83,,,,,,,,,$PDLM4,152255,+148.1,+15.98,+129.0,+7.51,,,,,,,
20220817,141126.85,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.6,,,,,,,,
20220817,141126.98,,,,,,,,,$PDLM1,152256,+78.9,+0.89,+20.4,-0.06,,,,,,,
20220817,141127,20908,2.8180822,51.1390115,2,46.5,0,136,gps,,,,,,,,,,,,,
20220817,141127.03,,,,,,,,,$PDLM2,152256,+123.9,+4.68,+58.6,+1.25,,,,,,,
20220817,141127.05,,,,,,,,,$PDLM4,152256,+148.2,+15.98,+128.0,+7.59,,,,,,,
20220817,141127.08,,,,,,,,,$PDLMA,+12.47,+24.8,-0.3,-4.6,,,,,,,,
20220817,141127.16,,,,,,,,,$PDLM1,152256,+73.3,+0.84,+22.5,-0.05,,,,,,,
20220817,141127.22,,,,,,,,,$PDLM2,152256,+122.0,+4.74,+62.6,+1.30,,,,,,,
20220817,141127.25,,,,,,,,,$PDLM4,152256,+147.2,+15.98,+129.9,+7.76,,,,,,,
20220817,141127.28,,,,,,,,,$PDLMA,+12.46,+24.8,-0.3,-4.6,,,,,,,,
20220817,141127.37,,,,,,,,,$PDLM1,152256,+72.5,+0.83,+22.6,-0.04,,,,,,,
20220817,141127.4,,,,,,,,,$PDLM2,152256,+121.9,+4.73,+63.0,+1.30,,,,,,,
20220817,141127.43,,,,,,,,,$PDLM4,152256,+147.2,+16.07,+129.8,+7.77,,,,,,,
