Target,BestFeatureLT,LT,BestFeatureLS,LS,BestFeatureLS2,LS2,BestFeature10,Top_layer,BestFeature50,Bottom_layer
vwc,HCPHQP,0.092,PRPHQP,0.068,PRPHQP,0.066,HCPHQP,0.02,PRPHQP,0.092
CEC,HCPHQP,7.7325,PRPHQP,5.2355,PRPHQP,5.2355,PRPHQP,2.5155,PRPHQP,7.204
clay,HCPHQP,14.094,PRPHQP,9.9815,PRPHQP,9.9815,PRPHQP,4.105,PRPHQP,13.7655
bd,HCPHQP,0.168,PRPHQP,0.116,PRPHQP,0.113,HCPHQP,0.048,PRPHQP,0.1505
water_ec_hp,HCPHQP,0.018,PRPHQP,0.011,PRPHQP,0.01,PRPHQP,0.011,PRPHQP,0.009
