Target,BestFeatureLT,LT,BestFeatureLS,LS,BestFeatureLS2,LS2,BestFeature10,Top_layer,BestFeature50,Bottom_layer
vwc,HCP1QP,0.057,HCP4QP,0.05,HCP4QP,0.05,HCP4QP,0.058499999999999996,HCP4QP,0.0405
CEC,HCP1QP,1.528,HCP4QP,1.3170000000000002,HCP4QP,1.3170000000000002,HCP4QP,1.0825,HCP4QP,1.5474999999999999
clay,HCP1QP,7.882,HCP1QP,7.6955,HCP1QP,7.6955,HCP1QP,4.0745000000000005,HCP1QP,8.922
bd,HCP1QP,0.093,PRP2QP,0.083,PRP4QP,0.083,PRP1QP,0.051,PRP4QP,0.09
water_ec_hp,HCP1QP,0.014,HCP4QP,0.01,HCP4QP,0.01,HCP4QP,0.014,HCP2QP,0.004
