Target,BestFeatureLT,LT,BestFeatureLS,LS,BestFeatureLS2,LS2,BestFeature10,Top_layer,BestFeature50,Bottom_layer
vwc,HCP1QP,-0.1905,HCP4QP,0.1745,HCP4QP,0.1745,HCP4QP,0.1375,HCP4QP,0.0365
CEC,HCP1QP,-0.1085,HCP4QP,0.173,HCP4QP,0.173,HCP4QP,0.0375,HCP4QP,-0.10600000000000001
clay,HCP1QP,-0.057999999999999996,HCP1QP,-0.006500000000000001,HCP1QP,-0.006500000000000001,HCP1QP,-0.315,HCP1QP,-0.1785
bd,HCP1QP,-0.119,PRP2QP,0.0685,PRP4QP,0.08449999999999999,PRP1QP,0.347,PRP4QP,0.0215
water_ec_hp,HCP1QP,-0.087,HCP4QP,0.394,HCP4QP,0.394,HCP4QP,0.257,HCP2QP,-0.1065
