x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
41564.55393,204206.5969,0.55,46700.42,127.9650838,41.64762464,171.6290931,82.34684288,203.4974155,160.8660435,2.067101176,0.180755578,7.770489026,0.538402351,36.63529416,3.798646292,1,41565.381,204207.342,0,0,50,2.806,8.5,22.136,28.516,64.364,7.121,3.2,17.92,1.469,0.32284,18,25.0,25.104,36.484,0.04327499036628776,0.02046,0.04325062032429554,300.00334608689684,0.1640446943377095,0.1640446943377095,58.974407464232684,46.81944679943885,96.98818236440928,149.16839396808507,160.1356113154187,537.5383711460129,96.98818236440928,92.42,0.060556
41548.70964,204311.5916,0.849275,48080.26,119.1453972,56.31595268,134.343235,80.38460195,152.379428,121.4925778,1.837964212,0.124699581,5.854514283,0.054209604,27.6365686,3.494158435,2,41549.211,204310.992,0,0,50,4.294,8.79,18.516,41.816,50.414,7.769,16.1,21.47,1.369,0.40142,23,25.0,36.536,49.772,0.06194457926853959,0.03338,0.061909695563536135,489.4482743099031,0.15231025145940394,0.15231025145940394,54.755850939348626,53.946241989472895,162.38209699617607,150.34206108515676,157.61820651995143,213.0303095571849,162.38209699617607,155.85,0.124644
41589.74878,204167.8323,0.55,46944.42,148.8332632,49.99773964,200.0610339,105.0163024,217.4009285,196.2838179,2.168736664,0.157302919,8.153296967,0.831595381,39.38649994,7.244980974,3,41588.221,204167.503,0,0,50,4.55,8.62,23.378,30.686,64.001,5.313,9.6,22.75,1.432,0.30815,6,25.0,22.713,31.887,0.03881262065853241,0.01756,0.03879076357232001,257.4808776777082,0.16592794595642563,0.16592794595642563,59.651440322675526,41.27601596322916,69.61504453600033,326.5036652288647,335.97274794652213,427.7648760605918,69.61504453600033,66.01,0.062734
41668.9388,204238.3062,0.45,53527.92,145.4558097,47.91038353,197.7696885,104.2742844,213.4192099,196.4158332,2.145959594,0.230278537,8.112905987,0.838216143,38.60310612,6.876355262,4,41668.451,204238.44,0,0,50,3.452,8.73,20.368,25.121,62.385,12.494,3.4,17.26,1.352,0.27097,422,25.0,31.41,47.845,0.05476535726846976,0.02825,0.05473451649773694,414.2274939860624,0.15984051738334845,0.15984051738334845,57.46299713938666,45.23299209807941,64.50427692588465,447.2937687371456,154.98520165175665,505.6254997775644,64.50427692588465,61.089999999999996,0.045959
41521.70418,204334.5502,0.85,47262.62,157.7394359,75.02450617,188.0486773,119.5296548,193.0281441,188.8432803,1.986834627,0.198394473,6.649910466,0.587118178,32.30806083,7.688163455,5,41520.385,204334.195,0,0,50,2.584,8.74,22.371,26.333,68.302,5.365,3.9,17.62,1.528,0.33342,2,25.0,27.804,38.97,0.04749210257266308,0.02326,0.04746535769012934,341.0595224819756,0.15961049427882062,0.15961049427882062,57.38030335677224,54.24036769558612,280.32149028084467,263.8401721012592,402.6328058564503,187.1984168560024,280.32149028084467,270.7,0.05639
41617.19729,204259.1306,0.6149792,51612.3,138.2951645,46.11219117,184.0293382,96.59639533,192.0492401,174.0881661,2.081723252,0.205264904,7.487065438,0.525779305,33.5700398,3.689382222,6,41615.875,204258.051,0,0,50,1.146,8.73,18.542,25.639,63.887,10.474,9.5,17.13,1.611,0.34154,9,25.0,18.975,24.261,0.03161656879729187,0.01301,0.03159876412298187,190.7645910357052,0.1689032055948814,0.1689032055948814,60.721052326517345,25.498184787249105,222.6371680352439,120.61730000820052,287.696334453185,430.8352571666391,222.6371680352439,214.48000000000002,0.055397
41576.96635,204271.1857,1.15,48437.26,110.4238387,33.45831507,150.2689518,65.51878429,191.1399432,138.7228221,2.040263287,0.177746401,7.358026708,0.404398325,33.13088356,2.66203931,7,41578.212,204271.787,0,0,50,3.694,8.39,21.116,27.217,57.237,15.546,1.1,19.84,1.401,0.3022,3,25.0,25.267,33.202,0.04242332341408742,0.0199,0.04239943298304861,291.79211080788116,0.15958366827135909,0.15958366827135909,57.37065935151463,23.050241801794744,183.34759500787635,171.86771697440446,170.715371570475,423.3476883321048,183.34759500787635,176.24,0.055027
41533.47094,204357.0106,0.65,48325.06,132.3142948,62.5193218,154.0683514,92.9928194,172.4188662,145.1635084,1.883736581,0.076436004,6.122762923,0.100182514,28.96878615,3.245043982,8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,61.627,13.808,6.7,19.12,1.585,0.39937,12,25.0,35.786,55.569,0.0626765914105752,0.03392,0.06264129547748136,497.36625118609686,0.15774640762744654,0.15774640762744654,56.710160343792744,62.84579928489735,202.73662807981407,130.32425761592603,273.74251721935644,208.0930988638459,202.73662807981407,195.1,0.06575
41643.02475,204298.6941,0.65,53586.61,117.2404466,41.07499843,151.739994,75.8664763,181.030865,151.4188489,1.982046998,0.127854874,6.720578134,0.219375305,31.36190367,2.598813793,9,41642.385,204297.786,0,0,50,1.628,8.63,22.144,46.729,42.481,10.79,8.317,18.12,1.514,0.325,470,25.0,28.698,47.318,0.050944208663516406,0.0256,0.050915519748882754,375.37075561214857,0.16501484707592975,0.16501484707592975,59.32317938347903,51.97539754136687,148.61445507329452,232.84995690088016,203.39317010307195,301.16309675732185,148.61445507329452,142.47000000000003,0.104775
41701.02319,204261.7082,0.05,54124.14,165.3291519,56.74369917,219.4711925,124.1791421,216.7470935,220.1456756,2.196182767,0.209979717,8.44363389,0.98633453,40.20182086,8.009360204,10,41702.154,204262.206,0,0,50,2.258,8.9,22.885,35.65,58.597,5.753,3.425,15.4,1.251,0.28289,14,25.0,36.388,60.008,0.06459783414841766,0.03533,0.06456145627941112,518.0409685850473,0.15955992132497882,0.15955992132497882,57.3621222750946,26.67604919662862,188.55990239238244,409.1214758149304,351.28701518303967,429.0604779775337,188.55990239238244,181.31,0.07336
41513.57857,204286.157,0.1585536,46209.19,150.7678006,74.01260037,176.9217373,114.0372545,179.4931059,170.7343537,2.009878575,0.187166177,6.906112812,0.570876669,33.43756899,6.365240168,11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,47.839,5.119,14.933,20.58,1.366,0.32572,404,25.0,29.935,49.938,0.05327462173216467,0.02721,0.053244620459888384,398.97805703931886,0.16433274488425578,0.16433274488425578,59.07796223246764,71.96768498145951,252.01512755852696,234.8761690261379,335.6201707480649,221.60654172388908,252.01512755852696,243.10000000000002,0.117298
41619.51167,204273.2636,0.65,52247.32,107.5447327,38.24281305,141.4943,72.62956917,167.0195111,138.7649476,2.004829691,0.133774546,6.83263884,0.482768466,29.58866049,1.900633547,12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,59.544,13.993,1.3,17.0,1.487,0.29367,416,25.0,26.077,34.227,0.04376944760711283,0.02078,0.0437447991145971,304.69548053204875,0.15860650489509562,0.15860650489509562,57.01936709336788,47.33810500004298,292.8788288833223,93.0822406488579,196.77826396048337,310.13852441209286,292.8788288833223,282.95,0.049178
41684.47119,204247.369,0.35,53809.54,181.0685371,62.74375744,240.6834173,135.8503021,241.3855271,236.9495714,2.238695671,0.219373339,8.903834498,1.03112713,43.01828411,9.326447484,13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,0.04215731182788475,0.01973,0.04213357119961819,289.2994143838942,0.16662145873379675,0.16662145873379675,59.900759602884236,25.33962847994748,297.3018621990162,301.6505887781112,386.5628734137091,606.7372161880639,297.3018621990162,287.26,0.110408
41590.81011,204181.1298,0.45,47210.22,145.5929834,50.16630596,195.5247246,103.854567,212.3766525,195.2699925,2.169085598,0.127806144,8.043686387,0.793383955,39.75341403,7.344405035,14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,45.749,13.236,3.942,21.04,1.379,0.35335,21,25.0,27.238,36.878,0.046104816553360566,0.02233,0.04607885291233051,327.423006750753,0.15872215011054502,0.15872215011054502,57.06094178790303,27.616454999977297,160.8562156748737,312.9549680377686,281.88731200985234,393.8821054717035,160.8562156748737,154.37,0.104865
41563.16722,204364.8672,0.7354848,51506.51,157.0371558,80.48821434,172.4539911,118.0752743,171.8137009,167.5789991,1.893063125,0.11521223,6.083389757,0.258601448,28.61432157,3.251052655,15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,0.05819411183135966,0.03067,0.05816134017879483,449.7117607275233,0.15878338835295952,0.15878338835295952,57.08295706291772,51.947831818091295,314.39658477762293,223.886584712707,300.20760009114224,233.5313460504888,314.39658477762293,303.94,0.083134
41513.57857,204286.157,0.1585536,46209.19,150.7678006,74.01260037,176.9217373,114.0372545,179.4931059,170.7343537,2.009878575,0.187166177,6.906112812,0.570876669,33.43756899,6.365240168,11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4,0.04041327431801672,0.01859,0.035650147099743706,214.70854464590377,0.15543567045391046,0.1370930050361398,49.28521932476113,71.96768498145951,252.01512755852696,234.8761690261379,335.6201707480649,221.60654172388908,71.96768498145951,60.223666198075684,0.099158
41619.51167,204273.2636,0.65,52247.32,107.5447327,38.24281305,141.4943,72.62956917,167.0195111,138.7649476,2.004829691,0.133774546,6.83263884,0.482768466,29.58866049,1.900633547,12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13.0,12.8,0.019905222558735593,0.00575,0.017336001606008476,64.69952026800911,0.17693531163320525,0.15399824528110684,55.362688215251495,47.33810500004298,292.8788288833223,93.0822406488579,196.77826396048337,310.13852441209286,47.33810500004298,38.860775827930944,0.072715
41684.47119,204247.369,0.35,53809.54,181.0685371,62.74375744,240.6834173,135.8503021,241.3855271,236.9495714,2.238695671,0.219373339,8.903834498,1.03112713,43.01828411,9.326447484,13,41685.271,204247.395,0,0,10,2.474,8.23,23.505,29.156,63.239,7.605,1.133,13.73,1.38,0.26512,423,30.4,11.0,11.0,0.016938199880836207,0.00404,0.015221909389537908,48.433587797858095,0.19357942720955665,0.1740268450979816,62.563011342476884,25.33962847994748,297.3018621990162,301.6505887781112,386.5628734137091,606.7372161880639,25.33962847994748,21.235652041261865,0.058961
41590.81011,204181.1298,0.45,47210.22,145.5929834,50.16630596,195.5247246,103.854567,212.3766525,195.2699925,2.169085598,0.127806144,8.043686387,0.793383955,39.75341403,7.344405035,14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3,0.020963297065049718,0.00639,0.018733815371352693,75.75434205989055,0.1711289556330589,0.15296258014280656,54.99036445245497,27.616454999977297,160.8562156748737,312.9549680377686,281.88731200985234,393.8821054717035,27.616454999977297,23.047190378878515,0.07043
41563.16722,204364.8672,0.7354848,51506.51,157.0371558,80.48821434,172.4539911,118.0752743,171.8137009,167.5789991,1.893063125,0.11521223,6.083389757,0.258601448,28.61432157,3.251052655,15,41563.215,204365.006,0,0,10,2.168,8.25,21.544,44.312,46.326,9.362,2.725,14.11,1.438,0.39557,17,25.6,24.8,29.4,0.04041327431801672,0.01859,0.0398965119002978,266.5523935992257,0.15543567045391046,0.1535580996817619,55.20445496044156,51.947831818091295,314.39658477762293,223.886584712707,300.20760009114224,233.5313460504888,51.947831818091295,48.403055963211955,0.128833
