x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
41564.55393,204206.5969,0.55,46700.42,127.9650838,41.64762464,171.6290931,82.34684288,203.4974155,160.8660435,2.067101176,0.180755578,7.770489026,0.538402351,36.63529416,3.798646292,1,41565.381,204207.342,0,0,10,2.516,7.84,20.725,22.106,65.499,12.396,0.0,12.58,1.281,0.26224,13,32.7,10.7,10.3,0.016246876858885706,0.00368,0.013997448479539093,40.49149884286161,0.1939925595090831,0.166944266297576,60.01680959082022,46.81944679943885,96.98818236440928,149.16839396808507,160.1356113154187,537.5383711460129,46.81944679943885,38.01145489568393,0.050424
41548.70964,204311.5916,0.849275,48080.26,119.1453972,56.31595268,134.343235,80.38460195,152.379428,121.4925778,1.837964212,0.124699581,5.854514283,0.054209604,27.6365686,3.494158435,2,41549.211,204310.992,0,0,10,1.162,8.32,20.482,25.616,59.907,14.477,2.1,8.27,1.403,0.41344,20,31.1,28.1,35.1,0.04650911557076831,0.0226,0.04125521851712108,263.9593051668345,0.15438710562910643,0.13694804579843334,49.233106178494985,53.946241989472895,162.38209699617607,150.34206108515676,157.61820651995143,213.0303095571849,53.946241989472895,45.19443893206234,0.087446
41589.74878,204167.8323,0.55,46944.42,148.8332632,49.99773964,200.0610339,105.0163024,217.4009285,196.2838179,2.168736664,0.157302919,8.153296967,0.831595381,39.38649994,7.244980974,3,41588.221,204167.503,0,0,10,2.714,8.32,23.113,24.67,66.901,8.43,4.0,18.31,1.386,0.30754,22,28.3,8.7,6.4,0.011783451552174664,0.00186,0.011023040292947971,24.115068624696114,0.200569388122122,0.18779696156259987,67.51339673892588,41.27601596322916,69.61504453600033,326.5036652288647,335.97274794652213,427.7648760605918,41.27601596322916,36.31486260859345,0.059971
41668.9388,204238.3062,0.45,53527.92,145.4558097,47.91038353,197.7696885,104.2742844,213.4192099,196.4158332,2.145959594,0.230278537,8.112905987,0.838216143,38.60310612,6.876355262,4,41668.451,204238.44,0,0,10,1.622,8.17,24.345,27.206,66.315,6.478,1.7,10.14,1.279,0.32295,24,31.6,16.7,18.5,0.02663667595400924,0.00991,0.023411137429174618,113.6068525813899,0.16779008474966453,0.14742830774763838,53.00078206109276,45.23299209807941,64.50427692588465,447.2937687371456,154.98520165175665,505.6254997775644,45.23299209807941,37.44140057884086,0.073566
41521.70418,204334.5502,0.85,47262.62,157.7394359,75.02450617,188.0486773,119.5296548,193.0281441,188.8432803,1.986834627,0.198394473,6.649910466,0.587118178,32.30806083,7.688163455,5,41520.385,204334.195,0,0,10,1.686,8.18,20.992,26.516,58.833,14.65,2.4,11.35,1.413,0.41837,7,26.2,17.6,20.7,0.028610810964985647,0.01114,0.027902971650821014,156.19643678284004,0.1682988880293273,0.1642719917455984,59.05612135325862,54.24036769558612,280.32149028084467,263.8401721012592,402.6328058564503,187.1984168560024,54.24036769558612,49.96255574233695,0.085313
41617.19729,204259.1306,0.6149792,51612.3,138.2951645,46.11219117,184.0293382,96.59639533,192.0492401,174.0881661,2.081723252,0.205264904,7.487065438,0.525779305,33.5700398,3.689382222,6,41615.875,204258.051,0,0,10,2.89,8.29,22.163,23.213,64.251,12.535,1.5,16.25,1.436,0.35694,5,28.3,11.3,6.4,0.013320385904920006,0.00239,0.012460792994091058,30.986566673668662,0.14597683183473978,0.13668090496644975,49.137068495963774,25.498184787249105,222.6371680352439,120.61730000820052,287.696334453185,430.8352571666391,25.498184787249105,22.245425884398564,0.060897
41576.96635,204271.1857,1.15,48437.26,110.4238387,33.45831507,150.2689518,65.51878429,191.1399432,138.7228221,2.040263287,0.177746401,7.358026708,0.404398325,33.13088356,2.66203931,7,41578.212,204271.787,0,0,10,1.758,8.19,21.157,25.013,59.196,15.791,1.1,10.11,1.306,0.27939,4,31.1,13.3,13.1,0.020367205053177455,0.00603,0.018066426005743284,70.42808009539877,0.1752017638983007,0.15541154870764876,55.87077372502052,23.050241801794744,183.34759500787635,171.86771697440446,170.715371570475,423.3476883321048,23.050241801794744,19.02690314215382,0.056264
41533.47094,204357.0106,0.65,48325.06,132.3142948,62.5193218,154.0683514,92.9928194,172.4188662,145.1635084,1.883736581,0.076436004,6.122762923,0.100182514,28.96878615,3.245043982,8,41533.32,204357.264,0,0,10,2.594,8.21,22.041,25.989,58.685,15.325,2.0,15.4,1.435,0.44652,15,25.4,17.1,18.5,0.02706194969602102,0.01018,0.026825355224202017,147.05847737055964,0.16526381493753292,0.1639286338672111,58.93268348464714,62.84579928489735,202.73662807981407,130.32425761592603,273.74251721935644,208.0930988638459,62.84579928489735,58.96989685567329,0.088678
41643.02475,204298.6941,0.65,53586.61,117.2404466,41.07499843,151.739994,75.8664763,181.030865,151.4188489,1.982046998,0.127854874,6.720578134,0.219375305,31.36190367,2.598813793,9,41642.385,204297.786,0,0,10,3.398,8.34,22.787,21.302,65.61,13.088,2.2,16.99,1.366,0.36434,16,28.6,20.2,20.3,0.031160107299936474,0.01273,0.028979942351390557,163.20946610397243,0.15387707308610604,0.1432357440351627,51.49354672076356,51.97539754136687,148.61445507329452,232.84995690088016,203.39317010307195,301.16309675732185,51.97539754136687,45.627441461413675,0.062406
41701.02319,204261.7082,0.05,54124.14,165.3291519,56.74369917,219.4711925,124.1791421,216.7470935,220.1456756,2.196182767,0.209979717,8.44363389,0.98633453,40.20182086,8.009360204,10,41702.154,204262.206,0,0,10,1.758,8.17,23.295,31.426,60.784,7.79,1.383,10.45,1.366,0.32171,8,27.2,12.1,13.7,0.019436373358178726,0.00547,0.018579664252737344,73.88866685889906,0.19196418131534546,0.18367525986293617,66.03163643900675,26.67604919662862,188.55990239238244,409.1214758149304,351.28701518303967,429.0604779775337,26.67604919662862,23.802467228202637,0.076544
