,Extract,Samples loc.,Interface,Forward model,Min. method,Alpha,Remove coil,Start avg.,Constrain,Det. approach,R2,RMSE,MAE,STD,0R2,0RMSE,R2_INV
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,TRUE,TRUE,LT,-10.765,0.178,0.152,0.185,0.694,0.106,0.986343869
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,TRUE,TRUE,ID,-11.102,0.166,0.147,0.178,0.749,0.096,0.986343869
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,TRUE,TRUE,LS,-10.462,0.174,0.148,0.183,0.672,0.108,0.986343869
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,TRUE,FALSE,LT,-10.765,0.178,0.152,0.185,0.694,0.106,0.986343869
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,TRUE,FALSE,ID,-11.102,0.166,0.147,0.178,0.749,0.096,0.986343869
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,TRUE,FALSE,LS,-10.462,0.174,0.148,0.183,0.672,0.108,0.986343869
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,FALSE,TRUE,LT,-11.006,0.174,0.148,0.172,0.599,0.12,0.987973047
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,FALSE,TRUE,ID,-10.691,0.168,0.147,0.168,0.622,0.115,0.987973047
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,FALSE,TRUE,LS,-10.7,0.172,0.147,0.17,0.56,0.125,0.987973047
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,FALSE,FALSE,LT,-11.006,0.174,0.148,0.172,0.599,0.12,0.987973047
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,FALSE,FALSE,ID,-10.691,0.168,0.147,0.168,0.622,0.115,0.987973047
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,TRUE,FALSE,FALSE,LS,-10.7,0.172,0.147,0.17,0.56,0.125,0.987973047
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,TRUE,TRUE,LT,-10.425,0.176,0.149,0.182,0.507,0.132,0.98799837
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,TRUE,TRUE,ID,-11.268,0.172,0.147,0.182,0.523,0.132,0.98799837
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,TRUE,TRUE,LS,-10.193,0.174,0.149,0.181,0.464,0.138,0.98799837
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,TRUE,FALSE,LT,-10.425,0.176,0.149,0.182,0.507,0.132,0.98799837
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,TRUE,FALSE,ID,-11.268,0.172,0.147,0.182,0.523,0.132,0.98799837
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,TRUE,FALSE,LS,-10.193,0.174,0.149,0.181,0.464,0.138,0.98799837
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,FALSE,TRUE,LT,-11.154,0.178,0.15,0.178,0.428,0.144,0.989399574
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,FALSE,TRUE,ID,-11.459,0.176,0.154,0.176,0.444,0.144,0.989399574
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,FALSE,TRUE,LS,-10.851,0.178,0.152,0.177,0.385,0.149,0.989399574
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,FALSE,FALSE,LT,-11.154,0.178,0.15,0.178,0.428,0.144,0.989399574
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,FALSE,FALSE,ID,-11.459,0.176,0.154,0.176,0.444,0.144,0.989399574
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,FALSE,FALSE,FALSE,LS,-10.851,0.178,0.152,0.177,0.385,0.149,0.989399574
