,cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,False,True,False,LS,-8.958,0.269,-2.482,0.348
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,False,False,True,LT,-7.59,0.252,-2.339,0.335
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,False,False,True,ID,-11.922,0.305,-2.796,0.375
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,False,False,True,LS,-8.958,0.269,-2.482,0.348
0,0.2,10,mean,FSeq,Gauss-Newton,0.01,False,False,False,LT,-7.59,0.252,-2.339,0.335
1,0.2,10,mean,FSeq,Gauss-Newton,0.01,False,False,False,ID,-11.922,0.305,-2.796,0.375
2,0.2,10,mean,FSeq,Gauss-Newton,0.01,False,False,False,LS,-8.958,0.269,-2.482,0.348
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,True,True,LT,-8.046,0.262,-1.725,0.309
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,True,True,ID,-9.644,0.286,-1.995,0.332
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,True,True,LS,-7.733,0.256,-1.705,0.311
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,True,False,LT,-8.046,0.262,-1.725,0.309
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,True,False,ID,-9.644,0.286,-1.995,0.332
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,True,False,LS,-7.733,0.256,-1.705,0.311
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,False,True,LT,-8.046,0.262,-1.725,0.309
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,False,True,ID,-9.644,0.286,-1.995,0.332
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,False,True,LS,-7.733,0.256,-1.705,0.311
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,False,False,LT,-8.046,0.262,-1.725,0.309
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,False,False,ID,-9.644,0.286,-1.995,0.332
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,True,False,False,LS,-7.733,0.256,-1.705,0.311
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,True,True,LT,-6.616,0.24,-1.7,0.306
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,True,True,ID,-9.17,0.278,-2.229,0.336
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,True,True,LS,-6.645,0.239,-1.771,0.31
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,True,False,LT,-6.616,0.24,-1.7,0.306
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,True,False,ID,-9.17,0.278,-2.229,0.336
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,True,False,LS,-6.645,0.239,-1.771,0.31
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,False,True,LT,-6.616,0.24,-1.7,0.306
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,False,True,ID,-9.17,0.278,-2.229,0.336
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,False,True,LS,-6.645,0.239,-1.771,0.31
0,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,False,False,LT,-6.616,0.24,-1.7,0.306
1,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,False,False,ID,-9.17,0.278,-2.229,0.336
2,0.2,10,mean,FSeq,Gauss-Newton,0.07,False,False,False,LS,-6.645,0.239,-1.771,0.31
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,True,True,LT,-7.94,0.26,-1.637,0.31
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,True,True,ID,-9.68,0.286,-1.912,0.336
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,True,True,LS,-7.662,0.254,-1.668,0.312
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,True,False,LT,-7.94,0.26,-1.637,0.31
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,True,False,ID,-9.68,0.286,-1.912,0.336
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,True,False,LS,-7.662,0.254,-1.668,0.312
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,False,True,LT,-7.94,0.26,-1.637,0.31
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,False,True,ID,-9.68,0.286,-1.912,0.336
