,cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0,0.2,10,FSeq,Gauss-Newton,0.01,True,True,True,LT,-8.168,0.264,0.052,0.169
1,0.2,10,FSeq,Gauss-Newton,0.01,True,True,True,ID,-9.843,0.294,0.893,0.057
2,0.2,10,FSeq,Gauss-Newton,0.01,True,True,True,LS,-8.044,0.26,0.335,0.14
0,0.2,10,FSeq,Gauss-Newton,0.01,True,True,False,LT,-8.168,0.264,0.052,0.169
1,0.2,10,FSeq,Gauss-Newton,0.01,True,True,False,ID,-9.843,0.294,0.893,0.057
2,0.2,10,FSeq,Gauss-Newton,0.01,True,True,False,LS,-8.044,0.26,0.335,0.14
0,0.2,10,FSeq,Gauss-Newton,0.01,True,False,True,LT,-8.168,0.264,0.052,0.169
1,0.2,10,FSeq,Gauss-Newton,0.01,True,False,True,ID,-9.843,0.294,0.893,0.057
2,0.2,10,FSeq,Gauss-Newton,0.01,True,False,True,LS,-8.044,0.26,0.335,0.14
0,0.2,10,FSeq,Gauss-Newton,0.01,True,False,False,LT,-8.168,0.264,0.052,0.169
1,0.2,10,FSeq,Gauss-Newton,0.01,True,False,False,ID,-9.843,0.294,0.893,0.057
2,0.2,10,FSeq,Gauss-Newton,0.01,True,False,False,LS,-8.044,0.26,0.335,0.14
0,0.2,10,FSeq,Gauss-Newton,0.01,False,True,True,LT,-7.76,0.254,0.344,0.138
1,0.2,10,FSeq,Gauss-Newton,0.01,False,True,True,ID,-11.864,0.304,0.366,0.132
2,0.2,10,FSeq,Gauss-Newton,0.01,False,True,True,LS,-9.117,0.271,0.242,0.152
0,0.2,10,FSeq,Gauss-Newton,0.01,False,True,False,LT,-7.76,0.254,0.344,0.138
1,0.2,10,FSeq,Gauss-Newton,0.01,False,True,False,ID,-11.864,0.304,0.366,0.132
2,0.2,10,FSeq,Gauss-Newton,0.01,False,True,False,LS,-9.117,0.271,0.242,0.152
0,0.2,10,FSeq,Gauss-Newton,0.01,False,False,True,LT,-7.76,0.254,0.344,0.138
1,0.2,10,FSeq,Gauss-Newton,0.01,False,False,True,ID,-11.864,0.304,0.366,0.132
2,0.2,10,FSeq,Gauss-Newton,0.01,False,False,True,LS,-9.117,0.271,0.242,0.152
0,0.2,10,FSeq,Gauss-Newton,0.01,False,False,False,LT,-7.76,0.254,0.344,0.138
1,0.2,10,FSeq,Gauss-Newton,0.01,False,False,False,ID,-11.864,0.304,0.366,0.132
2,0.2,10,FSeq,Gauss-Newton,0.01,False,False,False,LS,-9.117,0.271,0.242,0.152
0,0.2,10,FSeq,Gauss-Newton,0.07,True,True,True,LT,-8.18,0.264,0.006,0.173
1,0.2,10,FSeq,Gauss-Newton,0.07,True,True,True,ID,-9.894,0.293,0.851,0.066
2,0.2,10,FSeq,Gauss-Newton,0.07,True,True,True,LS,-7.942,0.258,0.288,0.144
0,0.2,10,FSeq,Gauss-Newton,0.07,True,True,False,LT,-8.18,0.264,0.006,0.173
1,0.2,10,FSeq,Gauss-Newton,0.07,True,True,False,ID,-9.894,0.293,0.851,0.066
2,0.2,10,FSeq,Gauss-Newton,0.07,True,True,False,LS,-7.942,0.258,0.288,0.144
0,0.2,10,FSeq,Gauss-Newton,0.07,True,False,True,LT,-8.18,0.264,0.006,0.173
