    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   27   30        28   29       -0.77410           19.51136       19.31456         0.95378E+02    0.76361E+02    1
   23   34        28   29       -0.50268            5.58332        5.48792         0.38180E+02    0.29167E+02    1
    9   45        25   29       -0.47661            1.98640        1.92740         0.15807E+02    0.15807E+02    0
    5   49        25   29        0.26690            1.66752        1.71860         0.88465E+01    0.88465E+01    0
    7   47        25   29        0.16210            1.79861        1.82400         0.11566E+02    0.11566E+02    0
   19   37        27   29       -0.67815            2.56711        2.49731         0.29848E+02    0.24598E+02    1
   21   35        27   29       -0.44267            3.43161        3.37793         0.35923E+02    0.28079E+02    1
   17   39        27   29       -0.50985            2.19846        2.14839         0.23326E+02    0.22130E+02    1
    5    8         6    7        1.65158           16.61503       16.91633         0.91899E+02    0.91899E+02    0
    1   12         6    7       -2.49558           11.71281       10.87531         0.45315E+02    0.33639E+02    1
    3   10         6    7       -2.21102           15.64525       15.04935         0.59887E+02    0.56938E+02    1
    7    8         6    9        1.59150           27.09560       27.51792         0.10290E+03    0.10290E+03    0
    5   12         8    9       -0.67637           14.11601       13.95369         0.58480E+02    0.58480E+02    0
    7   10         8    9        0.79511           17.59686       17.74774         0.93127E+02    0.93127E+02    0
    3   14         8    9       -1.66726           10.86917       10.46982         0.44539E+02    0.44539E+02    0
    1   15         7    9       -2.41166           10.57778        9.79409         0.46604E+02    0.31330E+02    1
   24   28         6   46        0.63659            1.73639        1.83826         0.11166E+02    0.11166E+02    0
   36   38        28   46       -1.26324            2.39573        2.26041         0.29375E+02    0.21727E+02    1
   20   67        41   46        0.44567            1.56831        1.64665         0.91430E+01    0.91430E+01    0
   18   69        41   46        0.43038            1.53118        1.62078         0.75682E+01    0.75682E+01    0
   16   71        41   46        0.26757            1.57848        1.64280         0.66993E+01    0.66993E+01    0
   30   59        43   46        0.13594            1.73681        1.75168         0.15947E+02    0.15947E+02    0
   32   57        43   46       -0.06246            1.84681        1.84088         0.22904E+02    0.19440E+02    1
   28   61        43   46        0.09643            1.62967        1.64336         0.11528E+02    0.11528E+02    0
   14   72        40   46        0.32484            1.55711        1.62950         0.71487E+01    0.71487E+01    0
   12   74        40   46        0.29456            1.54447        1.61966         0.61969E+01    0.61969E+01    0
   10   76        40   46        0.39785            1.51445        1.63123         0.53563E+01    0.53563E+01    0
   24   64        42   46        0.18443            1.56384        1.59279         0.10056E+02    0.10056E+02    0
   26   62        42   46        0.23510            1.59247        1.62229         0.12672E+02    0.12672E+02    0
   22   66        42   46        0.21738            1.55582        1.59734         0.82539E+01    0.82539E+01    0
   38   52        44   46       -1.15791            2.73966        2.62427         0.34100E+02    0.26909E+02    1
   34   56        44   46       -0.73688            1.95089        1.86789         0.20700E+02    0.16950E+02    1
   36   54        44   46       -1.01242            2.25428        2.14779         0.28965E+02    0.20920E+02    1
   44   47        45   46       -0.04352           16.93083       16.92285         0.92300E+02    0.92300E+02    0
   40   51        45   46        0.30577            3.18053        3.20967         0.33522E+02    0.33522E+02    0
    2   16         8   10       -1.42075            8.82940        8.53061         0.44697E+02    0.41269E+02    1
    4   15         9   10        0.17275           12.43075       12.47758         0.45943E+02    0.45943E+02    0
