,x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,name,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,TOC,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm
12715,41533.471,204357.011,0.65,48325.06,137.7643463,94.49888388,159.3156198,113.5326563,173.5342957,151.5660375,1.883736581,0.076436004,6.122762923,0.100182514,28.96878615,3.245043982,8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,37.924,61.627,13.808,6.7,19.12,1.585,0.39937,12,25,35.786,55.569
25563,41643.025,204298.694,0.65,53586.61,114.7244588,50.71331802,156.3455109,85.95319066,181.3919948,159.9760364,1.982046998,0.127854874,6.720578134,0.219375305,31.36190367,2.598813793,9,41642.385,204297.786,0,0,50,1.628,8.63,22.144,46.729,28.037,42.481,10.79,8.317,18.12,1.514,0.325,470,25,28.698,47.318
28254,41701.023,204261.708,0.05,54124.14,188.2264832,82.70607043,242.7450621,163.7536585,213.9799436,252.3758888,2.196182767,0.209979717,8.44363389,0.98633453,40.20182086,8.009360204,10,41702.154,204262.206,0,0,50,2.258,8.9,22.885,35.65,39.338,58.597,5.753,3.425,15.4,1.251,0.28289,14,25,36.388,60.008
3337,41513.579,204286.157,0.1585536,46209.19,165.9699306,117.9661529,188.4679503,147.4216348,179.9889235,185.9447866,2.009878575,0.187166177,6.906112812,0.570876669,33.43756899,6.365240168,11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,28.305,47.839,5.119,14.933,20.58,1.366,0.32572,404,25,29.935,49.938
22549,41619.512,204273.264,0.65,52247.32,99.90487503,44.93048974,143.2758564,80.74062611,168.6078543,142.9634859,2.004829691,0.133774546,6.83263884,0.482768466,29.58866049,1.900633547,12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,36.388,59.544,13.993,1.3,17,1.487,0.29367,416,25,26.077,34.227
26684,41684.471,204247.369,0.35,53809.54,212.2836221,94.95714229,269.803888,182.5483511,236.4603691,274.9679037,2.238695671,0.219373339,8.903834498,1.03112713,43.01828411,9.326447484,13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,26.383,47.969,6.46,5.35,19.25,1.252,0.30199,1,25,24.241,36.528
8342,41590.81,204181.13,0.45,47210.22,158.0603905,69.27618138,212.1983698,131.0239089,209.9922967,218.9317513,2.169085598,0.127806144,8.043686387,0.793383955,39.75341403,7.344405035,14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,21.691,45.749,13.236,3.942,21.04,1.379,0.35335,21,25,27.238,36.878
18845,41563.167,204364.867,0.7354848,51506.51,175.5524364,131.1882265,182.7687855,153.9242739,172.982135,181.7025669,1.893063125,0.11521223,6.083389757,0.258601448,28.61432157,3.251052655,15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,43.889,68.788,4.203,8.1,42.61,1.425,0.42207,19,25,33.32,51.121
3337,41513.579,204286.157,0.1585536,46209.19,165.9699306,117.9661529,188.4679503,147.4216348,179.9889235,185.9447866,2.009878575,0.187166177,6.906112812,0.570876669,33.43756899,6.365240168,11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,37.143,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4
22549,41619.512,204273.264,0.65,52247.32,99.90487503,44.93048974,143.2758564,80.74062611,168.6078543,142.9634859,2.004829691,0.133774546,6.83263884,0.482768466,29.58866049,1.900633547,12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,33.224,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13,12.8
26684,41684.471,204247.369,0.35,53809.54,212.2836221,94.95714229,269.803888,182.5483511,236.4603691,274.9679037,2.238695671,0.219373339,8.903834498,1.03112713,43.01828411,9.326447484,13,41685.271,204247.395,0,0,10,2.474,8.23,23.505,29.156,41.064,63.239,7.605,1.133,13.73,1.38,0.26512,423,30.4,11,11
8342,41590.81,204181.13,0.45,47210.22,158.0603905,69.27618138,212.1983698,131.0239089,209.9922967,218.9317513,2.169085598,0.127806144,8.043686387,0.793383955,39.75341403,7.344405035,14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,39.434,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3
18845,41563.167,204364.867,0.7354848,51506.51,175.5524364,131.1882265,182.7687855,153.9242739,172.982135,181.7025669,1.893063125,0.11521223,6.083389757,0.258601448,28.61432157,3.251052655,15,41563.215,204365.006,0,0,10,2.168,8.25,21.544,44.312,24.976,46.326,9.362,2.725,14.11,1.438,0.39557,17,25.6,24.8,29.4
