,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,geometry,x,y,pos
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.192,204315.995,0.0
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.192,204315.994,0.0006424063486270861
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.192,204315.994,0.0012848126972541721
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.192,204315.993,0.0019272190458812582
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.193,204315.993,0.0025696253945083443
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.193,204315.992,0.0032120317431354305
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.193,204315.991,0.0038544380917625164
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.193,204315.991,0.004496844440389602
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.193,204315.99,0.0051392507890166885
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.193,204315.989,0.005781657137643775
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.194,204315.989,0.006424063486270861
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.194,204315.988,0.007066469834897947
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.194,204315.988,0.007708876183525033
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.194,204315.987,0.008351282532152119
27489,41668.192,204315.995,0.7431391999997186,53970.54999999999,100.6450254988072,63.54861320789562,149.41408234268752,89.46165624511545,244.05547889390635,135.16818106907238,1.9186001658285536,0.1194861316989191,6.288811183,0.234712419,26.791725046521687,0.6001806743096267,POINT (487462.3320411383 5665268.728916366),41668.194,204315.986,0.008993688880779204
