,x,y,EC_0.40,EC_0.80,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,Unnamed: 0,x_clhs,y_clhs,z.1,t.1,name,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_dc_hp_t,water_ec_hp,water_ec_hp_t,iperm_water_t
17,107758.569,183312.798,0.0019202827477989967,-9.961790142666413e-05,-0.00014384936889613815,27.35,34485.9,0.001158334,0.001169132,0.000462501,0.000379428,0.000194122,0.000156824,15706,107758.685,183312.601,27.35,42107.27,8,50,6.33,7.612,16.873,46.152,36.975,0.0,0.0,1.876,0.15773,423,22.4,12.7,9.4,0.017251434507493765,0.00421,0.0044444310396269966,0.15863388052867833,0.1673949569997102,60.17883383192909
18,107776.575,183310.642,0.004322584634206995,5.923799263422847e-05,-0.0004507118297431275,26.9900192,35105.74,0.003380486,0.002008791,0.000996457,0.000841031,0.000227769,0.000278477,22198,107776.692,183310.756,27.5510368,42797.16,9,50,7.24,8.751,18.018,45.765,36.217,0.0,0.0,1.78,0.30722,4,23.9,16.3,15.6,0.0246960924542596,0.00871,0.008906585208751297,0.16062499157242016,0.16428321658094258,59.060156704819235
19,107726.042,183318.485,0.007429035798442913,-0.0012277052419228632,-0.0014135128707763042,26.6481,33298.53,0.004525772,0.004375727,0.000733495,0.001165576,0.000174871,0.00021127,5128,107726.371,183318.719,26.563,40950.86,10,50,7.19,33.2,64.061,30.681,5.259,0.0,0.0,1.24,0.48412,23,23.7,58.6,79.3,0.09917697407186195,0.06288,0.06457015175882767,0.14531424772433985,0.14923869297891912,53.65161930229598
20,107765.719,183326.718,0.0016979185927676725,2.724838618524283e-05,-6.533405730466132e-05,26.6479608,35158.36,0.001187756,0.000922597,0.000493874,0.000355606,0.000190083,0.000146468,22744,107766.469,183327.314,27.1795488,42851.76,11,50,6.75,4.891,12.692,54.808,32.5,0.0,0.0,1.681,0.21031,8,23.7,21.3,12.2,0.025273329487892054,0.00906,0.009303523774411238,0.11687088780528117,0.12002717432383346,43.150017828568544
21,107776.924,183299.388,0.004868553260162959,0.00014816522395809606,-0.0004982864919954285,27.65,34851.56,0.003888067,0.002187786,0.001187434,0.000968702,0.000238522,0.000304697,19443,107777.021,183299.37,27.85,42500.46,12,50,7.24,8.064,16.931,50.535,32.534,0.0,0.0,1.898,0.16165,415,23.0,21.8,21.0,0.03310994624624087,0.01395,0.014538912326931509,0.14880874717411624,0.15506556344369274,55.74639130585397
22,107752.723,183299.072,0.005607342604485716,-0.0006361416983657908,-0.0009581372897316621,26.5620769,33749.13,0.003549386,0.003156172,0.000736195,0.000999247,0.0001834,0.000247109,9680,107752.33,183298.809,27.45,41407.83,13,50,7.34,19.254,32.385,27.489,40.126,0.0,0.0,1.382,0.40536,470,23.7,30.8,38.6,0.05102676438816131,0.02565,0.026339446447422542,0.1523186996661532,0.15643231142446115,56.23774003641895
23,107732.312,183327.436,0.005000170620432421,-0.00032795355206270487,-0.0007193233220470303,25.681,33762.93,0.003505548,0.002604719,0.000873725,0.000900401,0.000191826,0.000229494,9811,107732.66,183327.436,26.5541536,41420.95,14,50,6.92,7.14,12.707,11.525,75.767,0.0,0.0,1.628,0.14206,17,25.1,18.2,16.1,0.026739038191895485,0.00998,0.009953857534108938,0.15064246868673514,0.15033671360213308,54.046359991100225
24,107776.631,183291.31,0.006192356615560294,-0.0001102626394699338,-0.0007786326564944717,28.05,34623.93,0.004748554,0.002942747,0.001274411,0.001141099,0.000243864,0.000317476,17044,107776.543,183291.428,27.95,42241.07,15,50,7.45,10.744,22.892,50.941,26.167,0.0,0.0,1.724,0.30856,400,22.8,30.7,32.4,0.04817847354827262,0.02372,0.024827058882488647,0.14435497692366328,0.15105444947328409,54.304387523705564
25,107765.719,183326.718,0.0016979185927676725,2.724838618524283e-05,-6.533405730466132e-05,26.6479608,35158.36,0.001187756,0.000922597,0.000493874,0.000355606,0.000190083,0.000146468,22744,107766.469,183327.314,27.1795488,42851.76,11,10,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3,0.016559194475144978,0.00384,0.00397668062011686,0.1077020778871218,0.1115315886323461,40.095837172255116
26,107776.924,183299.388,0.004868553260162959,0.00014816522395809606,-0.0004982864919954285,27.65,34851.56,0.003888067,0.002187786,0.001187434,0.000968702,0.000238522,0.000304697,19443,107777.021,183299.37,27.85,42500.46,12,10,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4,0.017888538094142058,0.00457,0.0048038073301888175,0.12231479038729613,0.12852883152569752,46.206381205440685
27,107752.723,183299.072,0.005607342604485716,-0.0006361416983657908,-0.0009581372897316621,26.5620769,33749.13,0.003549386,0.003156172,0.000736195,0.000999247,0.0001834,0.000247109,9680,107752.33,183298.809,27.45,41407.83,13,10,6.6,11.743,20.303,39.878,39.819,19.0,3.8,1.588,0.23165,416,23.0,13.4,10.4,0.018608700171410555,0.00498,0.005190235368323936,0.15837191635243025,0.1650308258701515,59.32892379310486
28,107732.312,183327.436,0.005000170620432421,-0.00032795355206270487,-0.0007193233220470303,25.681,33762.93,0.003505548,0.002604719,0.000873725,0.000900401,0.000191826,0.000229494,9811,107732.66,183327.436,26.5541536,41420.95,14,10,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6,0.0345686060044355,0.01487,0.014892318099376394,0.13424701360945826,0.13452038603781155,48.36035746519192
29,107776.631,183291.31,0.006192356615560294,-0.0001102626394699338,-0.0007786326564944717,28.05,34623.93,0.004748554,0.002942747,0.001274411,0.001141099,0.000243864,0.000317476,17044,107776.543,183291.428,27.95,42241.07,15,10,6.76,9.322,15.223,46.155,38.621,14.0,2.8,1.679,0.27536,422,23.0,20.6,12.5,0.02525825051341801,0.00906,0.009442476392974873,0.12172650849840003,0.12684462428980836,45.60090521498249
