,x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,geometry,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_1.60,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv
5793,41564.55392755495,204206.5968874237,0.55,46700.42,150.15899423299444,72.92417882730524,226.95325226106596,115.02570517882089,373.3654681192153,196.75726857529972,2.0671011756335806,0.1807555776873853,7.770489026137091,0.5384023507755578,36.63529415745221,3.798646292324941,POINT (487360.76526475744 5665157.486637767),1.0,41565.381,204207.342,0.0,0.0,10.0,2.516,7.84,20.725,22.106,65.499,12.396,0.0,12.58,1.281,26.224,13.0,32.7,10.7,10.3,0.016246876858885706,0.00368,0.013997448479539093,40.49149884286161,0.1939925595090831,0.166944266297576,60.01680959082022,6.570619454,74.00869346,164.7898958,251.1074427,313.3791687,6.570619454,5.091742938202449
11585,41548.70963634274,204311.5916441949,0.849275,48080.26000000001,134.08676255263964,115.13103017690156,161.88066425473164,111.22574313712632,252.6922385354732,134.48362318794753,1.8379642122975983,0.124699581,5.854514282853306,0.054209604,27.636568597328235,3.4941584354017525,POINT (487342.9987127892 5665262.130157874),2.0,41549.211,204310.992,0.0,0.0,10.0,1.162,8.32,20.482,25.616,59.907,14.477,2.1,8.27,1.403,41.344,20.0,31.1,28.1,35.1,0.04650911557076831,0.0226,0.04125521851712108,263.9593051668345,0.15438710562910643,0.13694804579843334,49.233106178494985,89.86299028,107.0712981,133.4581747,163.2179575,187.8368777,89.86299028,75.87698343961948
7013,41589.74878156025,204167.83234439415,0.55,46944.42,188.63810437628436,96.9411277386728,279.0106734275826,159.0685624011051,412.4524601463253,254.3305223634662,2.168736664114081,0.1573029187395643,8.153296966536114,0.8315953811481879,39.38649994,7.244980973537875,POINT (487386.65881477407 5665119.207605073),3.0,41588.221,204167.503,0.0,0.0,10.0,2.714,8.32,23.113,24.67,66.901,8.43,4.0,18.31,1.386,30.754,22.0,28.3,8.7,6.4,0.011783451552174664,0.00186,0.011023040292947971,24.115068624696114,0.200569388122122,0.18779696156259987,67.51339673892588,23.21018222,104.7500115,213.3088085,313.4337125,383.3197021,23.21018222,20.21546061235715
25276,41668.938801234064,204238.3061650535,0.4499999999999999,53527.92000000001,182.36875202612745,90.93495777029509,274.7372961,157.62279713274916,400.9166031747745,254.5479525842809,2.1459595944254297,0.2302785370779613,8.112905987148217,0.8382161425109486,38.60310612111756,6.876355262464826,POINT (487464.5074292817 5665191.097936004),4.0,41668.451,204238.44,0.0,0.0,10.0,1.622,8.17,24.345,27.206,66.315,6.478,1.7,10.14,1.279,32.295,24.0,31.6,16.7,18.5,0.02663667595400924,0.00991,0.023411137429174618,113.6068525813899,0.16779008474966453,0.14742830774763838,53.00078206109276,18.1175988,99.36588392,208.7935997,309.5262324,379.3105651,18.1175988,14.748044641149054
8604,41521.70417504899,204334.55016341156,0.8499999999999999,47262.62,205.2447262404439,169.07865180234583,256.759837,187.403245282668,345.96608861741174,242.11027787698367,1.986834627,0.1983944732942697,6.649910466176886,0.5871181776858914,32.30806083119628,7.688163454519501,POINT (487315.5863337485 5665284.578860254),5.0,41520.385,204334.195,0.0,0.0,10.0,1.686,8.18,20.992,26.516,58.833,14.65,2.4,11.35,1.413,41.837,7.0,26.2,17.6,20.7,0.028610810964985647,0.01114,0.027902971650821014,156.19643678284004,0.1682988880293273,0.1642719917455984,59.05612135325862,130.8882851,164.9466781,216.2089986,268.3412409,307.381633,130.8882851,122.1610332282867
19374,41617.19729464456,204259.13055548072,0.6149791999987124,51612.29999999999,169.1294416823018,85.76212638,249.39865097121225,142.6795158429794,343.4848811274472,218.0747756978785,2.081723252,0.2052649039440646,7.487065437778894,0.5257793047894748,33.57003980443932,3.689382222406211,POINT (487412.4123405985 5665210.958720175),6.0,41615.875,204258.051,0.0,0.0,10.0,2.89,8.29,22.163,23.213,64.251,12.535,1.5,16.25,1.436,35.694,5.0,28.3,11.3,6.4,0.013320385904920006,0.00239,0.012460792994091058,30.986566673668662,0.14597683183473978,0.13668090496644975,49.137068495963774,19.76562456,92.70062541,189.7062819,278.9876701,341.1650996,19.76562456,17.15648068628552
13276,41576.96634533012,204271.18567882103,1.15,48437.26000000001,118.31070476465943,49.39499614111679,189.2290274289236,82.50133849,341.1916415504773,161.5156399,2.040263287445333,0.1777464005540082,7.358026708,0.4043983245354617,33.13088355788783,2.6620393101568727,POINT (487371.98255947966 5665222.266962964),7.0,41578.212,204271.787,0.0,0.0,10.0,1.758,8.19,21.157,25.013,59.196,15.791,1.1,10.11,1.306,27.939,4.0,31.1,13.3,13.1,0.020367205053177455,0.00603,0.018066426005743284,70.42808009539877,0.1752017638983007,0.15541154870764876,55.87077372502052,-12.51406188,46.71866366,128.1312354,207.3606626,265.6288449,-12.51406188,0.0
12715,41533.47094282546,204357.0105559174,0.6500000000000001,48325.06,158.12716524843367,133.0046593863828,195.85204127221851,135.67634137140118,296.3329814371737,171.70751710606217,1.8837365805608344,0.076436004,6.122762922976481,0.1001825138875129,28.96878615054323,3.245043981574992,POINT (487326.9332620322 5665307.242896381),8.0,41533.32,204357.264,0.0,0.0,10.0,2.594,8.21,22.041,25.989,58.685,15.325,2.0,15.4,1.435,44.652,15.0,25.4,17.1,18.5,0.02706194969602102,0.01018,0.026825355224202017,147.05847737055964,0.16526381493753292,0.1639286338672111,58.93268348464714,101.8894752,125.1799538,161.1831373,200.2750482,231.392401,101.8894752,96.32047196950367
25563,41643.02475027197,204298.69405943248,0.6500000000000001,53586.60999999999,130.6308510301104,71.27811831037296,191.7888247144672,102.48367689288044,316.4326056485537,181.65202420215644,1.982046998145564,0.1278548735921684,6.720578133698479,0.2193753049832719,31.36190366806186,2.598813792934392,POINT (487437.4973464073 5665250.974765834),9.0,41642.385,204297.786,0.0,0.0,10.0,3.398,8.34,22.787,21.302,65.61,13.088,2.2,16.99,1.366,36.434,16.0,28.6,20.2,20.3,0.031160107299936474,0.01273,0.028979942351390557,163.20946610397243,0.15387707308610604,0.1432357440351627,51.49354672076356,19.1518175,70.23943048,140.362948,208.0206691,257.305327,19.1518175,16.51739421840006
28254,41701.02319091729,204261.7082008617,0.05,54124.140000000014,219.48050030756016,116.36303045852566,315.7622493,196.50328103271,410.5382524819613,293.9809186759225,2.196182766590673,0.2099797165768335,8.443633890435107,0.98633453,40.20182086198531,8.009360203594158,POINT (487496.1430815388 5665215.0768141),10.0,41702.154,204262.206,0.0,0.0,10.0,1.758,8.17,23.295,31.426,60.784,7.79,1.383,10.45,1.366,32.171,8.0,27.2,12.1,13.7,0.019436373358178726,0.00547,0.018579664252737344,73.88866685889906,0.19196418131534546,0.18367525986293617,66.03163643900675,40.20295774,132.1417481,251.7574577,358.3527105,430.2226286,40.20295774,36.124306688906735
5793,41564.55392755495,204206.5968874237,0.55,46700.42,150.15899423299444,72.92417882730524,226.95325226106596,115.02570517882089,373.3654681192153,196.75726857529972,2.0671011756335806,0.1807555776873853,7.770489026137091,0.5384023507755578,36.63529415745221,3.798646292324941,POINT (487360.76526475744 5665157.486637767),1.0,41565.381,204207.342,0.0,0.0,50.0,2.806,8.5,22.136,28.516,64.364,7.121,3.2,17.92,1.469,32.284,18.0,25.0,25.104,36.484,0.04327499036628776,0.02046,0.04325062032429554,300.00334608689684,0.1640446943377095,0.1640446943377095,58.974407464232684,6.570619454,74.00869346,164.7898958,251.1074427,313.3791687,74.00869346,70.24
11585,41548.70963634274,204311.5916441949,0.849275,48080.26000000001,134.08676255263964,115.13103017690156,161.88066425473164,111.22574313712632,252.6922385354732,134.48362318794753,1.8379642122975983,0.124699581,5.854514282853306,0.054209604,27.636568597328235,3.4941584354017525,POINT (487342.9987127892 5665262.130157874),2.0,41549.211,204310.992,0.0,0.0,50.0,4.294,8.79,18.516,41.816,50.414,7.769,16.1,21.47,1.369,40.142,23.0,25.0,36.536,49.772,0.06194457926853959,0.03338,0.061909695563536135,489.4482743099031,0.15231025145940394,0.15231025145940394,54.755850939348626,89.86299028,107.0712981,133.4581747,163.2179575,187.8368777,107.0712981,102.18
7013,41589.74878156025,204167.83234439415,0.55,46944.42,188.63810437628436,96.9411277386728,279.0106734275826,159.0685624011051,412.4524601463253,254.3305223634662,2.168736664114081,0.1573029187395643,8.153296966536114,0.8315953811481879,39.38649994,7.244980973537875,POINT (487386.65881477407 5665119.207605073),3.0,41588.221,204167.503,0.0,0.0,50.0,4.55,8.62,23.378,30.686,64.001,5.313,9.6,22.75,1.432,30.815,6.0,25.0,22.713,31.887,0.03881262065853241,0.01756,0.03879076357232001,257.4808776777082,0.16592794595642563,0.16592794595642563,59.651440322675526,23.21018222,104.7500115,213.3088085,313.4337125,383.3197021,104.7500115,99.93
25276,41668.938801234064,204238.3061650535,0.4499999999999999,53527.92000000001,182.36875202612745,90.93495777029509,274.7372961,157.62279713274916,400.9166031747745,254.5479525842809,2.1459595944254297,0.2302785370779613,8.112905987148217,0.8382161425109486,38.60310612111756,6.876355262464826,POINT (487464.5074292817 5665191.097936004),4.0,41668.451,204238.44,0.0,0.0,50.0,3.452,8.73,20.368,25.121,62.385,12.494,3.4,17.26,1.352,27.097,422.0,25.0,31.41,47.845,0.05476535726846976,0.02825,0.05473451649773694,414.2274939860624,0.15984051738334845,0.15984051738334845,57.46299713938666,18.1175988,99.36588392,208.7935997,309.5262324,379.3105651,99.36588392,94.72
8604,41521.70417504899,204334.55016341156,0.8499999999999999,47262.62,205.2447262404439,169.07865180234583,256.759837,187.403245282668,345.96608861741174,242.11027787698367,1.986834627,0.1983944732942697,6.649910466176886,0.5871181776858914,32.30806083119628,7.688163454519501,POINT (487315.5863337485 5665284.578860254),5.0,41520.385,204334.195,0.0,0.0,50.0,2.584,8.74,22.371,26.333,68.302,5.365,3.9,17.62,1.528,33.342,2.0,25.0,27.804,38.97,0.04749210257266308,0.02326,0.04746535769012934,341.0595224819756,0.15961049427882062,0.15961049427882062,57.38030335677224,130.8882851,164.9466781,216.2089986,268.3412409,307.381633,164.9466781,158.34
19374,41617.19729464456,204259.13055548072,0.6149791999987124,51612.29999999999,169.1294416823018,85.76212638,249.39865097121225,142.6795158429794,343.4848811274472,218.0747756978785,2.081723252,0.2052649039440646,7.487065437778894,0.5257793047894748,33.57003980443932,3.689382222406211,POINT (487412.4123405985 5665210.958720175),6.0,41615.875,204258.051,0.0,0.0,50.0,1.146,8.73,18.542,25.639,63.887,10.474,9.5,17.13,1.611,34.154,9.0,25.0,18.975,24.261,0.03161656879729187,0.01301,0.03159876412298187,190.7645910357052,0.1689032055948814,0.1689032055948814,60.721052326517345,19.76562456,92.70062541,189.7062819,278.9876701,341.1650996,92.70062541,88.28
13276,41576.96634533012,204271.18567882103,1.15,48437.26000000001,118.31070476465943,49.39499614111679,189.2290274289236,82.50133849,341.1916415504773,161.5156399,2.040263287445333,0.1777464005540082,7.358026708,0.4043983245354617,33.13088355788783,2.6620393101568727,POINT (487371.98255947966 5665222.266962964),7.0,41578.212,204271.787,0.0,0.0,50.0,3.694,8.39,21.116,27.217,57.237,15.546,1.1,19.84,1.401,30.22,3.0,25.0,25.267,33.202,0.04242332341408742,0.0199,0.04239943298304861,291.79211080788116,0.15958366827135909,0.15958366827135909,57.37065935151463,-12.51406188,46.71866366,128.1312354,207.3606626,265.6288449,46.71866366,44.019999999999996
