,x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,geometry,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_1.60,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv
12715,41533.47094282546,204357.0105559174,0.6500000000000001,48325.06,158.12716524843367,133.0046593863828,195.85204127221851,135.67634137140118,296.3329814371737,171.70751710606217,1.8837365805608344,0.076436004,6.122762922976481,0.1001825138875129,28.96878615054323,3.245043981574992,POINT (487326.9332620322 5665307.242896381),8.0,41533.32,204357.264,0.0,0.0,50.0,3.824,8.7,19.43,24.565,61.627,13.808,6.7,19.12,1.585,39.937,12.0,25.0,35.786,55.569,0.0626765914105752,0.03392,0.06264129547748136,497.36625118609686,0.15774640762744654,0.15774640762744654,56.710160343792744,101.8894752,125.1799538,161.1831373,200.2750482,231.392401,125.1799538,119.73
25563,41643.02475027197,204298.69405943248,0.6500000000000001,53586.60999999999,130.6308510301104,71.27811831037296,191.7888247144672,102.48367689288044,316.4326056485537,181.65202420215644,1.982046998145564,0.1278548735921684,6.720578133698479,0.2193753049832719,31.36190366806186,2.598813792934392,POINT (487437.4973464073 5665250.974765834),9.0,41642.385,204297.786,0.0,0.0,50.0,1.628,8.63,22.144,46.729,42.481,10.79,8.317,18.12,1.514,32.5,470.0,25.0,28.698,47.318,0.050944208663516406,0.0256,0.050915519748882754,375.37075561214857,0.16501484707592975,0.16501484707592975,59.32317938347903,19.1518175,70.23943048,140.362948,208.0206691,257.305327,70.23943048,66.61
28254,41701.02319091729,204261.7082008617,0.05,54124.140000000014,219.48050030756016,116.36303045852566,315.7622493,196.50328103271,410.5382524819613,293.9809186759225,2.196182766590673,0.2099797165768335,8.443633890435107,0.98633453,40.20182086198531,8.009360203594158,POINT (487496.1430815388 5665215.0768141),10.0,41702.154,204262.206,0.0,0.0,50.0,2.258,8.9,22.885,35.65,58.597,5.753,3.425,15.4,1.251,28.289,14.0,25.0,36.388,60.008,0.06459783414841766,0.03533,0.06456145627941112,518.0409685850473,0.15955992132497882,0.15955992132497882,57.3621222750946,40.20295774,132.1417481,251.7574577,358.3527105,430.2226286,132.1417481,126.48
3337,41513.578573637205,204286.157,0.1585535999993816,46209.19,192.23612490249337,166.1574473079543,236.48440551926276,176.6676801890809,312.7792657922773,212.6479328058075,2.009878575416842,0.1871661765275836,6.906112811983133,0.5708766687607431,33.43756899,6.365240167782894,POINT (487308.3555046476 5665236.063805602),11.0,41514.141,204286.566,0.0,0.0,50.0,0.532,8.82,20.185,47.042,47.839,5.119,14.933,20.58,1.366,32.572,404.0,25.0,29.935,49.938,0.05327462173216467,0.02721,0.053244620459888384,398.97805703931886,0.16433274488425578,0.16433274488425578,59.07796223246764,134.4329573,159.6316977,200.3075832,243.5993436,276.9508064,159.6316977,153.18
22549,41619.51167168554,204273.26360305023,0.6500000000000001,52247.32000000001,113.12928996139529,63.13857076,174.0780615134184,96.2270339998286,284.16181368243826,161.58214499667278,2.0048296905276666,0.1337745462242463,6.83263884,0.4827684663261002,29.588660487238325,1.9006335474552023,POINT (487414.4654333954 5665225.126289492),12.0,41619.55,204273.12,0.0,0.0,50.0,3.088,8.09,22.131,26.464,59.544,13.993,1.3,17.0,1.487,29.367,416.0,25.0,26.077,34.227,0.04376944760711283,0.02078,0.0437447991145971,304.69548053204875,0.15860650489509562,0.15860650489509562,57.01936709336788,17.62606542,60.83671563,124.6247702,187.2917648,232.6838768,60.83671563,57.56
26684,41684.47119294455,204247.36901336536,0.3500000000000001,53809.54000000001,249.2415182782055,133.65158692984556,357.0624951422837,219.39491816940537,488.8912322023895,322.3323482571882,2.238695670720152,0.219373339,8.903834498294355,1.0311271296673623,43.018284110742265,9.326447483635706,POINT (487479.86427031975 5665200.441330475),13.0,41685.271,204247.395,0.0,0.0,50.0,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,30.199,1.0,25.0,24.241,36.528,0.04215731182788475,0.01973,0.04213357119961819,289.2994143838942,0.16662145873379675,0.16662145873379675,59.900759602884236,47.16056502,151.8043728,286.5526549,406.6351088,488.0022842,151.8043728,145.57
8342,41590.81011,204181.1297664037,0.4499999999999999,47210.22,182.62307170547732,97.42623194514044,270.5637125402049,156.80513426268243,397.9431838254819,252.6614550569168,2.1690855979719297,0.1278061435323765,8.043686386803824,0.7933839548807023,39.75341402663337,7.344405035193606,POINT (487387.47494066425 5665132.516978115),14.0,41592.391,204181.865,0.0,0.0,50.0,3.262,8.31,22.432,41.016,45.749,13.236,3.942,21.04,1.379,35.335,21.0,25.0,27.238,36.878,0.046104816553360566,0.02233,0.04607885291233051,327.423006750753,0.15872215011054502,0.15872215011054502,57.06094178790303,27.7508564,103.661375,206.5583354,302.2362019,369.192213,103.661375,98.88
18845,41563.16722123715,204364.86717313997,0.7354848000010195,51506.51000000001,203.93135358501087,184.8579584136263,228.4339582679963,184.55898153021369,294.9528372,207.55442430645795,1.893063125100624,0.1152122296052014,6.083389757,0.2586014482723486,28.614321570057346,3.251052654719603,POINT (487356.4681085908 5665315.641272521),15.0,41563.215,204365.006,0.0,0.0,50.0,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,42.207,19.0,25.0,33.32,51.121,0.05819411183135966,0.03067,0.05816134017879483,449.7117607275233,0.15878338835295952,0.15878338835295952,57.08295706291772,162.3041143,180.0629566,205.3795911,232.4005401,254.0564202,180.0629566,173.04
3337,41513.578573637205,204286.157,0.1585535999993816,46209.19,192.23612490249337,166.1574473079543,236.48440551926276,176.6676801890809,312.7792657922773,212.6479328058075,2.009878575416842,0.1871661765275836,6.906112811983133,0.5708766687607431,33.43756899,6.365240167782894,POINT (487308.3555046476 5665236.063805602),11.0,41514.141,204286.566,0.0,0.0,10.0,3.126,8.42,21.276,27.858,59.514,12.629,1.75,17.73,1.491,44.477,405.0,31.4,24.8,29.4,0.04041327431801672,0.01859,0.035650147099743706,214.70854464590377,0.15543567045391046,0.1370930050361398,49.28521932476113,134.4329573,159.6316977,200.3075832,243.5993436,276.9508064,134.4329573,113.53135842525766
22549,41619.51167168554,204273.26360305023,0.6500000000000001,52247.32000000001,113.12928996139529,63.13857076,174.0780615134184,96.2270339998286,284.16181368243826,161.58214499667278,2.0048296905276666,0.1337745462242463,6.83263884,0.4827684663261002,29.588660487238325,1.9006335474552023,POINT (487414.4654333954 5665225.126289492),12.0,41619.55,204273.12,0.0,0.0,10.0,2.568,7.92,23.295,29.943,59.065,10.993,1.067,14.12,1.284,29.285,400.0,32.1,13.0,12.8,0.019905222558735593,0.00575,0.017336001606008476,64.69952026800911,0.17693531163320525,0.15399824528110684,55.362688215251495,17.62606542,60.83671563,124.6247702,187.2917648,232.6838768,17.62606542,14.204824154046477
26684,41684.47119294455,204247.36901336536,0.3500000000000001,53809.54000000001,249.2415182782055,133.65158692984556,357.0624951422837,219.39491816940537,488.8912322023895,322.3323482571882,2.238695670720152,0.219373339,8.903834498294355,1.0311271296673623,43.018284110742265,9.326447483635706,POINT (487479.86427031975 5665200.441330475),13.0,41685.271,204247.395,0.0,0.0,10.0,2.474,8.23,23.505,29.156,63.239,7.605,1.133,13.73,1.38,26.512,423.0,30.4,11.0,11.0,0.016938199880836207,0.00404,0.015221909389537908,48.433587797858095,0.19357942720955665,0.1740268450979816,62.563011342476884,47.16056502,151.8043728,286.5526549,406.6351088,488.0022842,47.16056502,39.94603187617817
8342,41590.81011,204181.1297664037,0.4499999999999999,47210.22,182.62307170547732,97.42623194514044,270.5637125402049,156.80513426268243,397.9431838254819,252.6614550569168,2.1690855979719297,0.1278061435323765,8.043686386803824,0.7933839548807023,39.75341402663337,7.344405035193606,POINT (487387.47494066425 5665132.516978115),14.0,41592.391,204181.865,0.0,0.0,10.0,3.244,8.28,23.247,29.681,61.906,8.412,2.133,18.78,1.431,31.524,415.0,30.7,13.8,13.3,0.020963297065049718,0.00639,0.018733815371352693,75.75434205989055,0.1711289556330589,0.15296258014280656,54.99036445245497,27.7508564,103.661375,206.5583354,302.2362019,369.192213,27.7508564,23.163364661517296
18845,41563.16722123715,204364.86717313997,0.7354848000010195,51506.51000000001,203.93135358501087,184.8579584136263,228.4339582679963,184.55898153021369,294.9528372,207.55442430645795,1.893063125100624,0.1152122296052014,6.083389757,0.2586014482723486,28.614321570057346,3.251052654719603,POINT (487356.4681085908 5665315.641272521),15.0,41563.215,204365.006,0.0,0.0,10.0,2.168,8.25,21.544,44.312,46.326,9.362,2.725,14.11,1.438,39.557,17.0,25.6,24.8,29.4,0.04041327431801672,0.01859,0.0398965119002978,266.5523935992257,0.15543567045391046,0.1535580996817619,55.20445496044156,162.3041143,180.0629566,205.3795911,232.4005401,254.0564202,162.3041143,153.77817718518307
