,x,y,z,t,HCP1.0f9000h0.165,PRP1.1f9000h0.165,HCP2.0f9000h0.165,PRP2.1f9000h0.165,HCP4.0f9000h0.165,PRP4.1f9000h0.165,HCP1.0f9000h0.165_inph,PRP1.1f9000h0.165_inph,HCP2.0f9000h0.165_inph,PRP2.1f9000h0.165_inph,HCP4.0f9000h0.165_inph,PRP4.1f9000h0.165_inph,geometry,name,ID,x_clhs,y_clhs,ec_i-10cm,ec_i-50cm
5793,41564.55392755495,204206.5968874237,0.55,46700.42,150.15899423299444,72.92417882730524,226.95325226106596,115.02570517882089,373.3654681192153,196.75726857529972,2.0671011756335806,0.1807555776873853,7.770489026137091,0.5384023507755578,36.63529415745221,3.798646292324941,POINT (487360.76526475744 5665157.486637767),m_clhs1,2001,41565.381,204207.342,50.393,60.524
11585,41548.70963634274,204311.5916441949,0.849275000000332,48080.26000000001,134.08676255263964,115.13103017690156,161.88066425473164,111.22574313712632,252.6922385354732,134.48362318794753,1.8379642122975983,0.124699581450089,5.854514282853306,0.05420960387093,27.636568597328235,3.4941584354017525,POINT (487342.9987127892 5665262.130157874),m_clhs2,2002,41549.211,204310.992,87.394,124.725
7013,41589.74878156025,204167.83234439415,0.55,46944.42,188.63810437628436,96.9411277386728,279.0106734275826,159.0685624011051,412.4524601463253,254.3305223634662,2.168736664114081,0.1573029187395643,8.153296966536114,0.8315953811481879,39.3864999354529,7.244980973537875,POINT (487386.65881477407 5665119.207605073),m_clhs3,2003,41588.221,204167.503,59.971,62.696
25276,41668.938801234064,204238.3061650535,0.4499999999999999,53527.92000000001,182.36875202612745,90.93495777029509,274.73729612067,157.62279713274916,400.9166031747745,254.5479525842809,2.1459595944254297,0.2302785370779613,8.112905987148217,0.8382161425109486,38.60310612111756,6.876355262464826,POINT (487464.5074292817 5665191.097936004),m_clhs4,2004,41668.451,204238.44,73.607,45.947
8604,41521.70417504899,204334.55016341156,0.8499999999999999,47262.62,205.2447262404439,169.07865180234583,256.759837010801,187.403245282668,345.96608861741174,242.11027787698367,1.9868346266062,0.1983944732942697,6.649910466176886,0.5871181776858914,32.30806083119628,7.688163454519501,POINT (487315.5863337485 5665284.578860254),m_clhs5,2005,41520.385,204334.195,85.292,56.424
19374,41617.19729464456,204259.13055548072,0.6149791999987124,51612.29999999999,169.1294416823018,85.7621263758446,249.39865097121225,142.6795158429794,343.4848811274472,218.0747756978785,2.08172325218433,0.2052649039440646,7.487065437778894,0.5257793047894748,33.57003980443932,3.689382222406211,POINT (487412.4123405985 5665210.958720175),m_clhs6,2006,41615.875,204258.051,60.908,55.403
13276,41576.96634533012,204271.18567882103,1.15,48437.26000000001,118.31070476465943,49.39499614111679,189.2290274289236,82.5013384887923,341.1916415504773,161.515639930983,2.040263287445333,0.1777464005540082,7.35802670788859,0.4043983245354617,33.13088355788783,2.6620393101568727,POINT (487371.98255947966 5665222.266962964),m_clhs7,2007,41578.212,204271.787,56.274,55.054
12715,41533.47094282546,204357.0105559174,0.6500000000000001,48325.06,158.12716524843367,133.0046593863828,195.85204127221851,135.67634137140118,296.3329814371737,171.70751710606217,1.8837365805608344,0.0764360036332716,6.122762922976481,0.1001825138875129,28.96878615054323,3.245043981574992,POINT (487326.9332620322 5665307.242896381),m_clhs8,2008,41533.328,204357.264,88.73,65.738
25563,41643.02475027197,204298.69405943248,0.6500000000000001,53586.60999999999,130.6308510301104,71.27811831037296,191.7888247144672,102.48367689288044,316.4326056485537,181.65202420215644,1.982046998145564,0.1278548735921684,6.720578133698479,0.2193753049832719,31.36190366806186,2.598813792934392,POINT (487437.4973464073 5665250.974765834),m_clhs9,2009,41642.385,204297.786,62.364,104.71
28254,41701.02319091729,204261.7082008617,0.05,54124.140000000014,219.48050030756016,116.36303045852566,315.762249301989,196.50328103271,410.5382524819613,293.9809186759225,2.196182766590673,0.2099797165768335,8.443633890435107,0.986334530029041,40.20182086198531,8.009360203594158,POINT (487496.1430815388 5665215.0768141),m_clhs10,2010,41702.154,204262.206,76.492,73.352
3337,41513.578573637205,204286.157007345,0.1585535999993816,46209.19,192.23612490249337,166.1574473079543,236.48440551926276,176.6676801890809,312.7792657922773,212.6479328058075,2.009878575416842,0.1871661765275836,6.906112811983133,0.5708766687607431,33.437568991771,6.365240167782894,POINT (487308.3555046476 5665236.063805602),m_clhs11,2011,41514.141,204286.566,99.209,117.203
22549,41619.51167168554,204273.26360305023,0.6500000000000001,52247.32000000001,113.12928996139529,63.1385707614375,174.0780615134184,96.2270339998286,284.16181368243826,161.58214499667278,2.0048296905276666,0.1337745462242463,6.83263883991897,0.4827684663261002,29.588660487238325,1.9006335474552023,POINT (487414.4654333954 5665225.126289492),m_clhs12,2012,41619.55,204273.12,72.767,49.168
26684,41684.47119294455,204247.36901336536,0.3500000000000001,53809.54000000001,249.2415182782055,133.65158692984556,357.0624951422837,219.39491816940537,488.8912322023895,322.3323482571882,2.238695670720152,0.219373338552097,8.903834498294355,1.0311271296673623,43.018284110742265,9.326447483635706,POINT (487479.86427031975 5665200.441330475),m_clhs13,2013,41685.271,204247.395,58.982,110.328
