x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP
553905.3577302893,5645531.573868503,26.55,43456.009999999995,20.2,7.3,37.0,14.5,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3577305136,5645531.573868506,26.55,43456.100000000006,20.2,7.3,37.0,14.5,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3577307786,5645531.573868508,26.55,43456.2,20.2,7.3,37.1,14.5,52.9,24.7,0.96,0.97,1.03,0.45,1.44,-3.11
553905.3577310605,5645531.573868511,26.55,43456.3,20.2,7.3,37.1,14.5,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3577313601,5645531.573868514,26.55,43456.399999999994,20.2,7.3,37.0,14.5,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3577317107,5645531.573868518,26.55,43456.509999999995,20.2,7.3,37.0,14.5,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3577320491,5645531.5738685215,26.55,43456.61,20.2,7.3,37.1,14.5,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3581890782,5645531.573873276,26.55,43456.71000000001,20.2,7.3,37.3,14.5,52.9,24.7,0.96,0.97,1.05,0.45,1.44,-3.11
553905.3593202,5645531.573885045,26.55,43456.81,20.2,7.3,37.5,14.5,52.9,24.7,0.96,0.97,1.05,0.44,1.44,-3.11
553905.3609371431,5645531.573901869,26.55,43456.91,20.2,7.3,37.3,14.5,52.9,24.7,0.96,0.97,1.04,0.44,1.44,-3.11
553905.3630764044,5645531.573924128,26.55,43457.020000000004,20.2,7.3,37.0,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3647531765,5645531.573941574,26.55,43457.100000000006,20.2,7.3,37.0,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3668320697,5645531.573963204,26.55,43457.2,20.2,7.3,37.0,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3687434542,5645531.573983092,26.55,43457.3,20.2,7.3,37.1,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3703193592,5645531.57399949,26.55,43457.399999999994,20.2,7.3,37.4,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3714530958,5645531.574011286,26.55,43457.509999999995,20.2,7.3,37.6,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3715119709,5645531.574011898,26.55,43457.67999999999,20.2,7.3,37.4,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3705663562,5645531.574002059,26.55,43457.78,20.2,7.3,37.4,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
553905.3690837432,5645531.573986633,26.55,43457.880000000005,20.2,7.3,37.7,14.4,52.9,24.7,0.96,0.97,1.04,0.45,1.44,-3.11
