,x,y,z,t,HCP1.0f9000h0.165,PRP1.1f9000h0.165,HCP2.0f9000h0.165,PRP2.1f9000h0.165,HCP4.0f9000h0.165,PRP4.1f9000h0.165,HCP1.0f9000h0.165_inph,PRP1.1f9000h0.165_inph,HCP2.0f9000h0.165_inph,PRP2.1f9000h0.165_inph,HCP4.0f9000h0.165_inph,PRP4.1f9000h0.165_inph,name,ID,x_clhs,y_clhs
5707,41564.53508,204206.635,0.55,46700.42,155.34800143262763,75.82595136713635,232.67286969009177,118.58093611526888,375.2340201731205,199.00983854534292,2.04,0.13,7.76,0.63,37.08,4.53,m_clhs1,2001,41565.381,204207.342
11480,41548.70351,204311.6093,0.849275,48080.26,140.81917618831045,113.12235396007912,164.07705254630918,113.92469028270084,243.39938215394267,137.78944716539596,1.86,0.07,5.91,0.16,28.12,4.28,m_clhs2,2002,41549.211,204310.992
6927,41589.68646,204167.8156,0.55,46944.42,192.7078192534464,95.96371141087258,282.37652752790734,161.18194285524984,415.8913983122732,257.22116749522974,2.16,0.1,8.15,0.93,39.79,7.78,m_clhs3,2003,41588.221,204167.503
25046,41668.92012,204238.2888,0.45,53527.92,183.95146662408064,95.1469615888872,275.825855975799,159.308336032333,402.3507682807372,256.5640495833622,2.21,0.21,8.25,0.79,38.92,7.47,m_clhs4,2004,41668.451,204238.44
8518,41521.64592,204334.5815,0.85,47262.62,208.65558030296663,164.6769673155706,260.0506704427019,188.21420781400508,345.4803914697204,242.6461702067744,1.96,0.13,6.65,0.66,32.71,8.17,m_clhs5,2005,41520.385,204334.195
19201,41617.05436,204259.0171,0.6149792,51612.3,173.95592742815566,88.06971570597004,251.0426102069786,146.0192928596107,340.2939395192377,222.1748651358988,2.08,0.13,7.49,0.54,33.88,4.6,m_clhs6,2006,41615.875,204258.051
13168,41576.95294,204271.2311,1.15,48437.26,124.78807824673063,53.53247148075245,190.96344984094864,88.64637558592317,335.9709598503841,166.44919381322444,2.05,0.14,7.4,0.55,33.61,3.4,m_clhs7,2007,41578.212,204271.787
12607,41533.54743,204357.0333,0.65,48325.06,164.00142406054437,131.65753600853722,197.7853119477544,138.72979554513367,288.21861659584124,176.0872525775766,1.9,0.03,6.17,0.24,29.45,4.1,m_clhs8,2008,41533.328,204357.264
25333,41642.94946,204299.055,0.65,53586.61,132.61049499559755,76.36997540991591,192.35954793253663,106.10883541495808,310.0800947839147,166.29154828958653,2.04,0.11,6.84,0.18,31.61,2.0,m_clhs9,2009,41642.385,204297.786
28024,41701.0223,204261.7069,0.05,54124.14,218.4186132895855,118.02723807896676,315.99748616783114,197.99991905257733,413.0240835230648,296.339009908047,2.22,0.19,8.53,1.0,40.11,7.95,m_clhs10,2010,41702.154,204262.206
3251,41513.61527,204286.1329,0.1585536,46209.19,197.0973732972693,162.4923772477154,240.4610817811001,177.50223272892416,308.8101287879529,215.07071314007047,2.0,0.11,6.91,0.65,33.87,7.52,m_clhs11,2011,41514.141,204286.566
22376,41619.48192,204273.3088,0.65,52247.32,66.24971825274203,46.74015901862735,165.26967788385548,97.18662293448452,274.59062844524993,161.88211453828717,0.87,-0.27,5.62,0.11,29.04,2.18,m_clhs12,2012,41619.55,204273.12
26454,41684.4859,204247.3604,0.35,53809.54,247.91919433221904,130.83948529704622,357.1610108174292,215.9106541941113,493.7859748531809,320.041776232003,2.28,0.19,8.98,1.01,43.05,9.3,m_clhs13,2013,41685.271,204247.395
8256,41591.14582,204181.2118,0.45,47210.22,186.31996540043428,96.50822789472996,273.77370541197206,158.7463459861562,401.730685727091,253.60942665671436,2.14,0.06,8.04,0.87,40.15,7.84,m_clhs14,2014,41592.391,204181.865
18672,41563.2081,204364.9004,0.7354848,51506.51,205.34800362270377,181.88795674828947,230.14759333279144,186.52182346836156,288.94728119715154,211.84912420004616,1.89,0.05,6.11,0.29,28.96,4.2,m_clhs15,2015,41563.215,204365.006
