,x,y,Unnamed: 0,z,HCP1.0f9000h0.165,PRP1.1f9000h0.165,HCP2.0f9000h0.165,PRP2.1f9000h0.165,HCP4.0f9000h0.165,PRP4.1f9000h0.165,HCP1.0f9000h0.165_inph,PRP1.1f9000h0.165_inph,HCP2.0f9000h0.165_inph,PRP2.1f9000h0.165_inph,HCP4.0f9000h0.165_inph,PRP4.1f9000h0.165_inph,PRP4IP,query_index,name,ID,x_query,y_query
0,41565.59265767437,204206.96051053808,5807.666666666667,0.55,46720.43777777777,153.06769429713273,79.2956203794939,224.65044681539138,122.71504758026703,363.27537397814496,197.86927506104772,2.0511111111111107,0.12777777777777777,7.655555555555556,0.6933333333333334,36.85333333333333,4.6,0,m_clhs1,2001,41565.381,204207.342
1,41549.177599929426,204310.53386158822,11480.5,0.8028562499998606,48080.59,140.2200757341933,124.13055410101018,157.91724939089156,112.20014234334502,246.83690559718764,134.0971950067083,1.88,0.09000000000000001,5.887500000000001,0.25,28.169999999999998,3.7199999999999998,1,m_clhs2,2002,41549.211,204310.992
2,41589.56922525029,204168.11578193097,6926.5,0.55,46944.322499999995,193.73004862169174,99.8939558380017,281.7831975890708,162.51105408145136,413.4718701659848,256.204380157865,2.15,0.12,8.17,0.9425000000000001,39.910000000000004,7.9325,2,m_clhs3,2003,41588.221,204167.503
3,41668.75582241412,204238.61746810935,25045.5,0.4499999999999999,53527.823333333334,186.30316917637856,97.65233703539883,277.187332624685,160.94990555667593,400.3590178830037,257.507863386349,2.2216666666666667,0.17833333333333334,8.246666666666666,0.79,39.04333333333333,7.395,3,m_clhs4,2004,41668.451,204238.44
4,41521.48930564001,204334.88217007206,8518.5,0.8499999999999999,47262.72750000001,213.1328233146877,169.34322308310647,260.28524565263876,191.80235078833908,343.98697360442156,242.33360627268758,1.975,0.0875,6.6674999999999995,0.6225,32.6225,7.34,4,m_clhs5,2005,41520.385,204334.195
5,41617.04434725253,204259.0351044491,19201.0,0.612823859999555,51612.304,170.41930520364934,84.96116529746293,248.74425174361437,143.40193663063343,338.7162175426977,221.25424558637877,2.0699999999999994,0.10400000000000001,7.558,0.544,33.862,5.076,5,m_clhs6,2006,41615.875,204258.051
6,41576.95579888796,204271.22695254814,13168.0,1.15,48437.262,124.57434002660439,53.6506269141438,191.19037061704813,89.81943249267452,332.03943869653216,166.8958022338571,2.048,0.11600000000000002,7.303999999999999,0.576,33.513999999999996,3.1399999999999997,6,m_clhs7,2007,41578.212,204271.787
7,41532.757848653055,204357.01175098447,12409.7,0.4900000000000001,48277.912,162.9102391152583,136.69942045093507,196.32109433744168,140.19319448673124,289.6634186845461,174.22173425379452,1.889,0.066,6.1450000000000005,0.343,29.534,3.9019999999999997,7,m_clhs8,2008,41533.328,204357.264
8,41642.45112455621,204298.9764092397,25270.0,0.6500000000000002,53573.55499999999,130.53025090108576,77.99569519366237,188.84680153244076,106.50807560385844,285.2683719536191,160.66665418896523,2.0366666666666666,0.12333333333333334,6.808333333333333,0.23999999999999996,30.100000000000005,2.0216666666666665,8,m_clhs9,2009,41642.385,204297.786
9,41701.9493746323,204262.2071445469,28114.0,0.09365404999993975,54142.14,222.15082784381508,129.01845564256962,314.7330408863753,206.4981966695869,407.80646062965667,297.0437348966894,2.21,0.225,8.51875,0.9937500000000001,40.1425,7.74875,9,m_clhs10,2010,41702.154,204262.206
10,41513.51486284274,204286.3594851303,3250.5,0.17066756666662944,46209.11333333334,194.77698779811578,164.55973941417582,235.9092843347005,174.5702073588917,317.6565751875179,218.77180425190727,1.998333333333333,0.07833333333333332,6.896666666666666,0.6583333333333333,33.92666666666667,7.378333333333334,10,m_clhs11,2011,41514.141,204286.566
11,41619.6290713296,204273.005852461,22376.5,0.637044099999954,52247.42333333334,63.97207583833744,42.964391324984796,165.40934971351302,95.19841050251,280.1906053733039,163.37818178089805,0.8500000000000001,-0.2966666666666667,5.596666666666667,0.08666666666666667,29.14166666666667,2.9899999999999998,11,m_clhs12,2012,41619.55,204273.12
12,41684.651974933826,204247.0040242467,26454.5,0.3500000000000001,53809.64666666667,247.96602645810378,137.79048151385248,353.3113857922008,221.39142433476778,478.2227325902461,321.4481728892231,2.2699999999999996,0.20999999999999996,8.926666666666668,1.0250000000000001,42.94666666666668,9.123333333333333,12,m_clhs13,2013,41685.271,204247.395
13,41591.159478938076,204181.23084117527,8256.0,0.4499999999999999,47210.21800000001,188.49682623653302,98.49124013440915,273.6351640096118,160.0967671055117,398.20288260966345,252.96995875800243,2.1399999999999997,0.06400000000000002,8.139999999999999,0.8760000000000001,40.024,7.83,13,m_clhs14,2014,41592.391,204181.865
14,41562.70514880396,204364.92384592,18543.75,0.7279185000002608,51480.85875,205.93668725270993,191.44047107960438,229.79641585114862,189.72539958886773,293.43547405322676,212.38014862963243,1.8987499999999997,0.10125,6.108750000000001,0.31125,28.94875,4.445,14,m_clhs15,2015,41563.215,204365.006
